Time,Players,LFMs
20-2-2020T00:00,1256.90,60.44
21-2-2020T00:00,1377.66,68.63
22-2-2020T00:00,1766.27,78.03
23-2-2020T00:00,1845.20,82.23
24-2-2020T00:00,1351.24,70.69
25-2-2020T00:00,1285.69,69.24
26-2-2020T00:00,1249.20,62.72
27-2-2020T00:00,1293.59,60.10
28-2-2020T00:00,1386.86,67.87
29-2-2020T00:00,1827.98,84.86
1-3-2020T00:00,1907.00,85.42
2-3-2020T00:00,1341.16,70.49
3-3-2020T00:00,1281.96,64.89
4-3-2020T00:00,1213.56,60.55
5-3-2020T00:00,1276.88,62.71
6-3-2020T00:00,1381.36,65.58
7-3-2020T00:00,1683.76,76.64
8-3-2020T00:00,1814.51,81.85
9-3-2020T00:00,1316.30,66.42
10-3-2020T00:00,1286.33,65.62
11-3-2020T00:00,1184.31,57.23
12-3-2020T00:00,1267.65,62.99
13-3-2020T00:00,1410.82,69.24
14-3-2020T00:00,1864.25,77.57
15-3-2020T00:00,1968.43,86.72
16-3-2020T00:00,1495.65,81.61
17-3-2020T00:00,1526.57,77.97
18-3-2020T00:00,1538.39,79.89
19-3-2020T00:00,1738.18,80.64
20-3-2020T00:00,2101.44,88.91
21-3-2020T00:00,2678.57,101.47
22-3-2020T00:00,2764.69,111.59
23-3-2020T00:00,2226.41,101.31
24-3-2020T00:00,2272.70,105.60
25-3-2020T00:00,2204.33,95.09
26-3-2020T00:00,2316.41,94.28
27-3-2020T00:00,2500.33,97.93
28-3-2020T00:00,3066.59,106.78
29-3-2020T00:00,3077.97,109.78
30-3-2020T00:00,2462.38,93.74
31-3-2020T00:00,2309.79,88.58
1-4-2020T00:00,2308.86,92.09
2-4-2020T00:00,2327.24,91.52
3-4-2020T00:00,2547.59,96.11
4-4-2020T00:00,3092.62,108.24
5-4-2020T00:00,3202.81,107.97
6-4-2020T00:00,2617.30,94.80
7-4-2020T00:00,2564.03,94.19
8-4-2020T00:00,2535.98,96.93
9-4-2020T00:00,2389.82,92.11
10-4-2020T00:00,2812.65,102.85
11-4-2020T00:00,3074.34,110.47
