Time,Players,LFMs
20-2-2020T0:00,935.00,52.00
20-2-2020T1:00,918.33,50.33
20-2-2020T2:00,831.67,41.33
20-2-2020T3:00,684.42,36.00
20-2-2020T4:00,615.17,40.08
20-2-2020T5:00,649.75,43.50
20-2-2020T6:00,703.50,43.08
20-2-2020T7:00,766.25,45.92
20-2-2020T8:00,849.25,51.33
20-2-2020T9:00,954.75,57.00
20-2-2020T10:00,1040.92,57.67
20-2-2020T11:00,1180.83,57.42
20-2-2020T12:00,1282.25,73.33
20-2-2020T13:00,1323.58,67.92
20-2-2020T14:00,1434.83,64.17
20-2-2020T15:00,1565.00,74.50
20-2-2020T16:00,1645.25,71.33
20-2-2020T17:00,1669.33,70.33
20-2-2020T18:00,1682.25,73.67
20-2-2020T19:00,1757.83,81.42
20-2-2020T20:00,2003.00,76.50
20-2-2020T21:00,2099.92,80.08
20-2-2020T22:00,1962.33,73.75
20-2-2020T23:00,1610.17,67.83
21-2-2020T0:00,1299.25,62.58
21-2-2020T1:00,1016.67,51.83
21-2-2020T2:00,809.58,40.92
21-2-2020T3:00,703.33,33.33
21-2-2020T4:00,668.83,36.08
21-2-2020T5:00,701.42,37.67
21-2-2020T6:00,753.83,46.17
21-2-2020T7:00,835.08,52.67
21-2-2020T8:00,942.83,55.33
21-2-2020T9:00,1068.08,57.33
21-2-2020T10:00,1180.92,62.08
21-2-2020T11:00,1242.33,78.00
21-2-2020T12:00,1322.92,83.17
21-2-2020T13:00,1394.25,74.08
21-2-2020T14:00,1490.67,85.58
21-2-2020T15:00,1706.33,84.33
21-2-2020T16:00,1819.92,89.33
21-2-2020T17:00,1822.67,90.17
21-2-2020T18:00,1824.58,93.42
21-2-2020T19:00,1967.58,90.17
21-2-2020T20:00,2143.08,90.25
21-2-2020T21:00,2237.42,86.33
21-2-2020T22:00,2185.50,92.17
21-2-2020T23:00,1926.83,74.00
22-2-2020T0:00,1614.00,70.25
22-2-2020T1:00,1327.33,62.33
22-2-2020T2:00,1108.17,59.75
22-2-2020T3:00,975.83,54.08
22-2-2020T4:00,906.42,44.42
22-2-2020T5:00,898.08,49.33
22-2-2020T6:00,986.83,51.92
22-2-2020T7:00,1133.17,58.67
22-2-2020T8:00,1367.58,69.00
22-2-2020T9:00,1613.33,80.00
22-2-2020T10:00,1763.75,80.92
22-2-2020T11:00,1854.58,93.75
22-2-2020T12:00,1933.75,85.50
22-2-2020T13:00,2055.75,92.42
22-2-2020T14:00,2220.33,96.17
22-2-2020T15:00,2363.75,93.92
22-2-2020T16:00,2401.58,106.17
22-2-2020T17:00,2315.42,96.17
22-2-2020T18:00,2236.00,92.92
22-2-2020T19:00,2252.83,90.67
22-2-2020T20:00,2377.08,89.67
22-2-2020T21:00,2388.25,93.67
22-2-2020T22:00,2283.00,86.33
22-2-2020T23:00,2013.67,74.75
23-2-2020T0:00,1774.75,70.83
23-2-2020T1:00,1484.58,65.83
23-2-2020T2:00,1227.58,56.67
