Time,Players,LFMs
05-06-2021T01:00,1166.91,54.64
05-06-2021T02:00,1048.92,44.25
05-06-2021T03:00,945.33,41.58
05-06-2021T04:00,920.08,45.83
05-06-2021T05:00,973.5,53.5
05-06-2021T06:00,1126.25,56.83
05-06-2021T07:00,1380.33,69.58
05-06-2021T08:00,1660.17,76.17
05-06-2021T09:00,1894.08,91.25
05-06-2021T10:00,2045.5,88
05-06-2021T11:00,2082.08,84.42
05-06-2021T12:00,2198.25,85.42
05-06-2021T13:00,2359.08,84
05-06-2021T14:00,2528.17,92.75
05-06-2021T15:00,2546.17,80.58
05-06-2021T16:00,2449.33,97.33
05-06-2021T17:00,2301,83.42
05-06-2021T18:00,2291.25,92.08
05-06-2021T19:00,2424.42,91.25
05-06-2021T20:00,2526.33,99.08
05-06-2021T21:00,2533.18,90
05-06-2021T22:00,2345.67,94.5
05-06-2021T23:00,1935.92,83.08
06-06-2021T00:00,1532.67,67
06-06-2021T01:00,1246.17,53.17
06-06-2021T02:00,1094.42,46.75
06-06-2021T03:00,991.75,45.33
06-06-2021T04:00,975.33,48.17
06-06-2021T05:00,1013.08,46.33
06-06-2021T06:00,1160.58,52.5
06-06-2021T07:00,1388.17,60.33
06-06-2021T08:00,1676.17,72.33
06-06-2021T09:00,1987.08,86.92
06-06-2021T10:00,2246.5,90.67
06-06-2021T11:00,2393.11,92.11
06-06-2021T12:00,2471.25,85.42
06-06-2021T13:00,2609.33,95.67
06-06-2021T14:00,2694.67,97.25
06-06-2021T15:00,2702.92,99.25
06-06-2021T16:00,2600,97
06-06-2021T17:00,2413.42,85
06-06-2021T18:00,2416.25,90
06-06-2021T19:00,2514.17,83.58
06-06-2021T20:00,2459.75,79.83
06-06-2021T21:00,2254.08,84.58
06-06-2021T22:00,1950.83,84.5
06-06-2021T23:00,1526.5,70.83
07-06-2021T00:00,1141.58,50.67
07-06-2021T01:00,912.5,38
07-06-2021T02:00,792.92,30.17
07-06-2021T03:00,688.67,28.92
07-06-2021T04:00,683.33,35.75
07-06-2021T05:00,708.92,41
07-06-2021T06:00,819.42,43.42
07-06-2021T07:00,979.08,47.17
07-06-2021T08:00,1127.33,53.92
07-06-2021T09:00,1275.08,63.67
07-06-2021T10:00,1383.67,55.42
07-06-2021T11:00,1490.58,62.83
07-06-2021T12:00,1537.92,66.17
07-06-2021T13:00,1745.67,78.5
07-06-2021T14:00,1946.42,74.92
07-06-2021T15:00,1952.17,70.25
07-06-2021T16:00,1913.58,77.08
07-06-2021T17:00,1907.67,73.42
07-06-2021T18:00,2116.92,85.92
07-06-2021T19:00,2344.58,87
07-06-2021T20:00,2444.25,85
07-06-2021T21:00,2275.92,87.58
07-06-2021T22:00,1857,72.33
07-06-2021T23:00,1437.42,59.83
08-06-2021T00:00,1117.83,49.75
08-06-2021T01:00,902.17,43.5
08-06-2021T02:00,773.42,37.92
08-06-2021T03:00,722.58,38.17
08-06-2021T04:00,744.58,32.08
08-06-2021T05:00,786.67,41.42
08-06-2021T06:00,862.17,46.67
08-06-2021T07:00,956.08,52.42
08-06-2021T08:00,1115.5,50.92
08-06-2021T09:00,1234.08,59.08
08-06-2021T10:00,1299.17,65
08-06-2021T11:00,1391.75,66.92
08-06-2021T12:00,1521.42,71.33
08-06-2021T13:00,1669.33,70.17
08-06-2021T14:00,1824.42,80.17
08-06-2021T15:00,1911.17,90.25
08-06-2021T16:00,1865.83,80.83
08-06-2021T17:00,1874.17,68.83
08-06-2021T18:00,2040.5,81.17
08-06-2021T19:00,2223.83,73.67
08-06-2021T20:00,2292.75,80.42
08-06-2021T21:00,2152.58,79.42
08-06-2021T22:00,1802.33,75.83
08-06-2021T23:00,1454.75,60.08
09-06-2021T00:00,1127.08,57.08
09-06-2021T01:00,898.33,46.75
09-06-2021T02:00,751.17,37.42
09-06-2021T03:00,700.92,43.83
09-06-2021T04:00,681,40.42
09-06-2021T05:00,734.67,39.67
09-06-2021T06:00,813.75,39.83
09-06-2021T07:00,787.58,33.17
09-06-2021T08:00,368,12
09-06-2021T09:00,706.07,45.49
09-06-2021T10:00,1182,66.33
09-06-2021T11:00,1398.25,71
09-06-2021T12:00,1478.08,74.08
09-06-2021T13:00,1609,87.75
09-06-2021T14:00,1797.08,79.75
09-06-2021T15:00,1850.58,86
09-06-2021T16:00,1803.58,80.42
09-06-2021T17:00,1813.92,80.25
09-06-2021T18:00,1952.92,79.75
09-06-2021T19:00,2127.08,86.33
09-06-2021T20:00,2226.83,89
09-06-2021T21:00,2144,78.5
09-06-2021T22:00,1769.75,67.58
09-06-2021T23:00,1355.58,50.08
10-06-2021T00:00,1061.25,45.58
10-06-2021T01:00,886.42,40.25
10-06-2021T10:00,771.33,52.83
10-06-2021T11:00,1439,73.33
10-06-2021T12:00,1545.25,77.25
10-06-2021T13:00,1639,85.33
10-06-2021T14:00,1780.75,79.92
10-06-2021T15:00,1814.08,81.17
10-06-2021T16:00,1812.67,81.17
10-06-2021T17:00,1847.17,83.17
10-06-2021T18:00,1975.17,82.5
10-06-2021T19:00,2164,86.83
10-06-2021T20:00,2316.92,92.92
10-06-2021T21:00,2185.58,78.92
10-06-2021T22:00,1841.5,79.33
10-06-2021T23:00,1516.92,63.75
11-06-2021T00:00,1178.75,53.58
11-06-2021T01:00,927.75,51.25
11-06-2021T02:00,756.92,43.67
11-06-2021T03:00,702,44.58
