Time,Players,LFMs
11-06-2021T01:55,824,46
11-06-2021T02:00,814,40
11-06-2021T02:05,811,47
11-06-2021T02:10,804,43
11-06-2021T02:15,788,47
11-06-2021T02:20,774,45
11-06-2021T02:25,765,44
11-06-2021T02:30,753,43
11-06-2021T02:35,732,35
11-06-2021T02:40,709,41
11-06-2021T02:45,732,43
11-06-2021T02:50,703,48
11-06-2021T02:55,698,48
11-06-2021T03:00,705,41
11-06-2021T03:05,698,42
11-06-2021T03:10,688,39
11-06-2021T03:15,688,40
11-06-2021T03:20,683,46
11-06-2021T03:25,690,47
11-06-2021T03:30,696,38
11-06-2021T03:35,713,47
11-06-2021T03:40,715,51
11-06-2021T03:45,711,47
11-06-2021T03:50,709,49
11-06-2021T03:55,728,48
11-06-2021T04:00,711,38
11-06-2021T04:05,698,41
11-06-2021T04:10,697,45
11-06-2021T04:15,693,49
11-06-2021T04:20,690,43
11-06-2021T04:25,687,47
11-06-2021T04:30,688,39
11-06-2021T04:35,680,44
11-06-2021T04:40,695,38
11-06-2021T04:45,696,36
11-06-2021T04:50,697,41
11-06-2021T04:55,697,42
11-06-2021T05:00,700,36
11-06-2021T05:05,697,37
11-06-2021T05:10,698,40
11-06-2021T05:15,703,34
11-06-2021T05:20,698,35
11-06-2021T05:25,695,35
11-06-2021T05:30,694,34
11-06-2021T05:35,704,32
11-06-2021T05:40,697,31
11-06-2021T05:45,700,33
11-06-2021T05:50,718,37
11-06-2021T05:55,753,33
11-06-2021T06:00,758,34
11-06-2021T06:05,770,50
11-06-2021T06:10,769,44
11-06-2021T06:15,767,44
11-06-2021T06:20,794,42
11-06-2021T06:25,817,46
11-06-2021T06:30,839,49
11-06-2021T06:35,858,50
11-06-2021T06:40,893,48
11-06-2021T06:45,894,45
11-06-2021T06:50,913,50
11-06-2021T06:55,924,44
11-06-2021T07:00,957,47
11-06-2021T07:05,974,47
11-06-2021T07:10,1010,46
11-06-2021T07:15,1025,43
11-06-2021T07:20,1020,46
11-06-2021T07:25,1039,44
11-06-2021T07:30,1049,52
11-06-2021T07:35,1063,51
11-06-2021T07:40,1069,50
11-06-2021T07:45,1081,49
11-06-2021T07:50,1076,49
11-06-2021T07:55,1110,57
11-06-2021T08:00,1119,53
11-06-2021T08:05,1116,58
11-06-2021T08:10,1138,60
11-06-2021T08:15,1140,56
11-06-2021T08:20,1176,62
11-06-2021T08:25,1173,62
11-06-2021T08:30,1193,65
11-06-2021T08:35,1184,66
11-06-2021T08:40,1191,65
11-06-2021T08:45,1221,65
11-06-2021T08:50,1239,62
11-06-2021T08:55,1264,63
11-06-2021T09:00,1286,68
11-06-2021T09:05,1317,65
11-06-2021T09:10,1348,60
11-06-2021T09:15,1353,61
11-06-2021T09:20,1363,65
11-06-2021T09:25,1353,64
11-06-2021T09:30,1368,70
11-06-2021T09:35,1385,65
11-06-2021T09:40,1385,67
11-06-2021T09:45,1397,56
11-06-2021T09:50,1421,60
11-06-2021T09:55,1438,61
11-06-2021T10:00,1431,59
11-06-2021T10:05,1424,61
11-06-2021T10:10,1419,69
11-06-2021T10:15,1425,63
11-06-2021T10:20,1421,60
11-06-2021T10:25,1411,58
11-06-2021T10:30,1427,63
11-06-2021T10:35,1417,67
11-06-2021T10:40,1426,64
11-06-2021T10:45,1415,67
11-06-2021T10:50,1419,68
11-06-2021T10:55,1431,62
11-06-2021T11:00,1448,60
11-06-2021T11:05,1442,68
11-06-2021T11:10,1452,65
11-06-2021T11:15,1441,55
11-06-2021T11:20,1443,62
11-06-2021T11:25,1435,59
11-06-2021T11:30,1446,65
11-06-2021T11:35,1447,65
11-06-2021T11:40,1479,70
11-06-2021T11:45,1473,68
11-06-2021T11:50,1480,62
11-06-2021T11:55,1499,63
11-06-2021T12:00,1494,69
11-06-2021T12:05,1498,70
11-06-2021T12:10,1498,69
11-06-2021T12:15,1506,67
11-06-2021T12:20,1521,67
11-06-2021T12:25,1527,66
11-06-2021T12:30,1548,61
11-06-2021T12:35,1564,70
11-06-2021T12:40,1584,73
11-06-2021T12:45,1568,68
11-06-2021T12:50,1606,61
11-06-2021T12:55,1610,56
11-06-2021T13:00,1606,68
11-06-2021T13:05,1626,70
11-06-2021T13:10,1657,72
11-06-2021T13:15,1680,79
11-06-2021T13:20,1686,72
11-06-2021T13:25,1715,71
11-06-2021T13:30,1719,74
11-06-2021T13:35,1723,71
11-06-2021T13:40,1755,69
11-06-2021T13:45,1766,73
11-06-2021T13:50,1782,71
11-06-2021T13:55,1795,73
11-06-2021T14:00,1807,82
11-06-2021T14:05,1844,80
11-06-2021T14:10,1860,80
11-06-2021T14:15,1850,79
11-06-2021T14:20,1882,80
11-06-2021T14:25,1877,81
11-06-2021T14:30,1887,86
11-06-2021T14:35,1897,86
11-06-2021T14:40,1894,80
11-06-2021T14:45,1915,78
11-06-2021T14:50,1933,84
11-06-2021T14:55,1935,94
11-06-2021T15:00,1952,100
11-06-2021T15:05,1977,98
11-06-2021T15:10,2013,91
11-06-2021T15:15,2016,87
11-06-2021T15:20,2023,84
11-06-2021T15:25,2034,92
11-06-2021T15:30,2025,86
11-06-2021T15:35,2035,88
11-06-2021T15:40,2026,89
11-06-2021T15:45,2047,95
11-06-2021T15:50,2055,91
11-06-2021T15:55,2068,87
11-06-2021T16:00,2081,88
11-06-2021T16:05,2092,95
11-06-2021T16:10,2084,95
11-06-2021T16:15,2081,91
11-06-2021T16:20,2080,85
11-06-2021T16:25,2059,79
11-06-2021T16:30,2040,77
11-06-2021T16:35,2034,81
11-06-2021T16:40,2019,85
11-06-2021T16:45,2035,92
11-06-2021T16:50,2013,89
11-06-2021T16:55,1979,82
11-06-2021T17:00,1978,88
