Time,Players,LFMs
2-5-2020T00:15,2583,89
2-5-2020T00:30,2406,80
2-5-2020T00:45,2304,82
2-5-2020T01:00,2204,88
2-5-2020T01:15,2086,87
2-5-2020T01:30,2034,78
2-5-2020T01:45,1925,85
2-5-2020T02:00,1823,85
2-5-2020T02:15,1759,74
2-5-2020T02:30,1707,73
2-5-2020T02:45,1607,70
2-5-2020T03:00,1544,68
2-5-2020T03:15,1478,74
2-5-2020T03:30,1462,61
2-5-2020T03:45,1485,66
2-5-2020T04:00,1475,71
2-5-2020T04:15,1482,64
2-5-2020T04:30,1484,59
2-5-2020T04:45,1521,57
2-5-2020T05:00,1505,56
2-5-2020T05:15,1559,58
2-5-2020T05:30,1570,61
2-5-2020T05:45,1624,57
2-5-2020T06:00,1693,65
2-5-2020T06:15,1717,67
2-5-2020T06:30,1751,72
2-5-2020T06:45,1815,82
2-5-2020T07:00,1877,92
2-5-2020T07:15,1986,82
2-5-2020T07:30,2123,83
2-5-2020T07:45,2223,91
2-5-2020T08:00,2318,97
2-5-2020T08:15,2410,83
2-5-2020T08:30,2494,90
2-5-2020T08:45,2597,97
2-5-2020T09:00,2656,80
2-5-2020T09:15,2751,79
2-5-2020T09:30,2819,90
2-5-2020T09:45,2891,110
2-5-2020T10:00,3012,117
2-5-2020T10:15,3053,117
2-5-2020T10:30,3103,119
2-5-2020T10:45,3138,115
2-5-2020T11:00,3159,130
2-5-2020T11:15,3195,118
2-5-2020T11:30,3286,136
2-5-2020T11:45,3315,122
2-5-2020T12:00,3352,126
2-5-2020T12:15,3389,114
2-5-2020T12:30,3476,112
2-5-2020T12:45,3487,119
2-5-2020T13:00,3529,112
2-5-2020T13:15,3520,127
2-5-2020T13:30,3577,138
2-5-2020T13:45,3641,126
2-5-2020T14:00,3778,132
2-5-2020T14:15,3821,128
2-5-2020T14:30,3868,128
2-5-2020T14:45,3873,134
2-5-2020T15:00,3931,143
2-5-2020T15:15,3957,144
2-5-2020T15:30,4031,138
2-5-2020T15:45,4095,136
2-5-2020T16:00,4076,139
2-5-2020T16:15,4084,122
2-5-2020T16:30,4021,121
2-5-2020T16:45,4017,142
2-5-2020T17:00,3914,139
2-5-2020T17:15,3856,129
2-5-2020T17:30,3790,136
2-5-2020T17:45,3739,136
2-5-2020T18:00,3738,130
2-5-2020T18:15,3742,129
2-5-2020T18:30,3770,129
2-5-2020T18:45,3758,127
2-5-2020T19:00,3780,147
2-5-2020T19:15,3792,139
2-5-2020T19:30,3810,132
2-5-2020T19:45,3837,113
2-5-2020T20:00,3924,128
2-5-2020T20:15,4018,123
2-5-2020T20:30,4062,129
2-5-2020T20:45,4046,109
2-5-2020T21:00,3962,116
2-5-2020T21:15,3962,113
2-5-2020T21:30,3928,114
2-5-2020T21:45,3877,114
2-5-2020T22:00,3795,132
2-5-2020T22:15,3709,121
2-5-2020T22:30,3590,111
2-5-2020T22:45,3499,97
2-5-2020T23:00,3338,101
2-5-2020T23:15,3179,107
2-5-2020T23:30,3046,92
2-5-2020T23:45,2921,95
3-5-2020T00:00,2744,98
3-5-2020T00:15,2642,86
