Time,Players,LFMs
3-4-2020T00:00,2610.52,96.11
4-4-2020T00:00,3164.74,108.24
5-4-2020T00:00,3242.08,107.98
6-4-2020T00:00,2617.30,94.84
7-4-2020T00:00,2564.03,94.19
8-4-2020T00:00,2535.98,96.93
9-4-2020T00:00,2389.82,92.13
10-4-2020T00:00,2812.65,102.89
11-4-2020T00:00,3074.34,110.48
12-4-2020T00:00,3134.12,111.31
13-4-2020T00:00,2674.08,103.56
14-4-2020T00:00,2475.22,99.99
15-4-2020T00:00,2243.68,87.64
16-4-2020T00:00,2410.94,95.70
17-4-2020T00:00,2602.70,95.33
18-4-2020T00:00,3083.30,108.57
19-4-2020T00:00,3073.07,106.38
20-4-2020T00:00,2441.92,91.57
21-4-2020T00:00,2440.37,94.98
22-4-2020T00:00,2434.09,93.82
23-4-2020T00:00,2363.95,85.15
24-4-2020T00:00,2474.00,86.03
25-4-2020T00:00,3175.00,108.70
26-4-2020T00:00,3191.52,110.82
27-4-2020T00:00,2506.85,93.80
28-4-2020T00:00,2506.52,95.12
29-4-2020T00:00,2379.28,86.86
30-4-2020T00:00,2469.45,96.78
1-5-2020T00:00,2657.45,98.58
2-5-2020T00:00,2965.46,104.49
3-5-2020T00:00,2946.18,112.82
4-5-2020T00:00,2336.47,90.42
5-5-2020T00:00,2312.19,91.54
6-5-2020T00:00,2203.08,85.80
7-5-2020T00:00,2270.59,85.52
8-5-2020T00:00,2491.66,87.03
9-5-2020T00:00,2910.66,99.98
10-5-2020T00:00,2771.47,96.70
11-5-2020T00:00,2321.64,84.82
12-5-2020T00:00,2267.40,86.99
13-5-2020T00:00,2234.99,88.47
14-5-2020T00:00,2181.03,79.66
15-5-2020T00:00,2445.66,92.85
16-5-2020T00:00,2883.89,98.94
17-5-2020T00:00,2893.02,102.52
18-5-2020T00:00,2343.10,87.38
19-5-2020T00:00,2218.99,87.19
20-5-2020T00:00,2127.58,79.86
21-5-2020T00:00,2220.59,86.01
22-5-2020T00:00,2452.59,92.02
23-5-2020T00:00,2837.83,96.73
24-5-2020T00:00,2926.68,101.12
25-5-2020T00:00,2696.47,97.66
26-5-2020T00:00,2192.97,82.84
27-5-2020T00:00,2061.03,77.59
28-5-2020T00:00,2150.31,81.05
29-5-2020T00:00,2294.67,81.00
30-5-2020T00:00,2707.69,94.86
31-5-2020T00:00,2824.39,97.11
1-6-2020T00:00,2183.05,82.96
