Time,Players,LFMs
3-4-2020T14:00,3315.92,111.58
3-4-2020T15:00,3497.08,112.33
3-4-2020T16:00,3584.08,114.08
3-4-2020T17:00,3508.42,118.17
3-4-2020T18:00,3574.33,117.83
3-4-2020T19:00,3849.25,118.17
3-4-2020T20:00,4081.58,122.50
3-4-2020T21:00,4043.17,130.75
3-4-2020T22:00,3679.58,119.33
3-4-2020T23:00,3131.08,113.83
4-4-2020T0:00,2577.50,92.08
4-4-2020T1:00,2111.92,81.50
4-4-2020T2:00,1666.58,77.17
4-4-2020T3:00,1498.00,66.00
4-4-2020T4:00,1491.50,62.75
4-4-2020T5:00,1526.50,58.17
4-4-2020T6:00,1705.08,69.67
4-4-2020T7:00,2111.42,82.50
4-4-2020T8:00,2505.50,102.33
4-4-2020T9:00,2937.92,112.33
4-4-2020T10:00,3310.33,132.17
4-4-2020T11:00,3559.92,123.92
4-4-2020T12:00,3744.92,122.50
4-4-2020T13:00,4075.67,136.17
4-4-2020T14:00,4406.50,141.33
4-4-2020T15:00,4410.75,138.42
4-4-2020T16:00,4323.58,131.50
4-4-2020T17:00,4175.75,131.42
4-4-2020T18:00,4129.83,134.83
4-4-2020T19:00,4162.08,132.42
4-4-2020T20:00,4226.33,132.17
4-4-2020T21:00,4177.67,123.42
4-4-2020T22:00,3828.67,111.42
4-4-2020T23:00,3289.92,101.67
5-4-2020T0:00,2778.33,86.17
5-4-2020T1:00,2208.75,74.92
5-4-2020T2:00,1799.33,67.00
5-4-2020T3:00,1654.42,66.17
5-4-2020T4:00,1658.17,64.42
5-4-2020T5:00,1682.08,75.67
5-4-2020T6:00,1875.92,77.92
5-4-2020T7:00,2210.33,81.33
5-4-2020T8:00,2606.75,102.00
5-4-2020T9:00,2965.17,95.17
5-4-2020T10:00,3407.58,122.08
5-4-2020T11:00,3873.75,149.50
5-4-2020T12:00,4130.33,149.83
5-4-2020T13:00,4459.67,143.50
5-4-2020T14:00,4687.00,142.92
5-4-2020T15:00,4714.42,144.50
5-4-2020T16:00,4507.50,133.75
5-4-2020T17:00,4231.00,126.83
5-4-2020T18:00,4099.00,128.83
5-4-2020T19:00,4150.42,136.08
5-4-2020T20:00,4111.75,114.50
5-4-2020T21:00,3818.92,110.58
5-4-2020T22:00,3369.83,107.58
5-4-2020T23:00,2809.50,90.17
6-4-2020T0:00,2258.83,85.67
6-4-2020T1:00,1856.83,72.00
6-4-2020T2:00,1608.25,66.33
6-4-2020T3:00,1471.08,60.67
6-4-2020T4:00,1437.75,58.42
6-4-2020T5:00,1490.67,53.08
6-4-2020T6:00,1583.25,65.00
6-4-2020T7:00,1733.25,78.92
6-4-2020T8:00,1942.92,76.75
6-4-2020T9:00,2226.00,81.25
6-4-2020T10:00,2432.75,99.17
6-4-2020T11:00,2678.08,116.08
6-4-2020T12:00,2817.92,119.33
6-4-2020T13:00,3066.75,107.58
6-4-2020T14:00,3368.33,111.08
6-4-2020T15:00,3488.33,114.83
6-4-2020T16:00,3449.58,107.83
6-4-2020T17:00,3389.83,111.42
6-4-2020T18:00,3539.17,119.83
6-4-2020T19:00,3792.92,123.33
6-4-2020T20:00,3901.00,122.75
6-4-2020T21:00,3632.17,112.92
6-4-2020T22:00,3107.92,116.75
6-4-2020T23:00,2541.67,95.25
7-4-2020T0:00,2066.42,79.75
