Time,Players,LFMs
05-06-2021T01:00,166,7
05-06-2021T02:00,135.42,6.08
05-06-2021T03:00,127.75,6.33
05-06-2021T04:00,127.83,6.33
05-06-2021T05:00,145.25,6.08
05-06-2021T06:00,166.33,10.42
05-06-2021T07:00,226.08,14.25
05-06-2021T08:00,259.33,12.67
05-06-2021T09:00,307.58,15.75
05-06-2021T10:00,348.42,11.58
05-06-2021T11:00,345.25,15.5
05-06-2021T12:00,371.42,14.67
05-06-2021T13:00,392.5,14.67
05-06-2021T14:00,418,16.92
05-06-2021T15:00,434.67,12.75
05-06-2021T16:00,384.25,14.58
05-06-2021T17:00,370,18.58
05-06-2021T18:00,355,14.58
05-06-2021T19:00,377,15.17
05-06-2021T20:00,403.58,17
05-06-2021T21:00,416.18,11.91
05-06-2021T22:00,389.83,10.92
05-06-2021T23:00,296.75,9.42
06-06-2021T00:00,230.08,8.58
06-06-2021T01:00,168.83,8
06-06-2021T02:00,141,6.5
06-06-2021T03:00,135.67,7.33
06-06-2021T04:00,142.25,5
06-06-2021T05:00,149.17,7
06-06-2021T06:00,170,7.17
06-06-2021T07:00,211.5,10.83
06-06-2021T08:00,269.75,11.92
06-06-2021T09:00,322.08,15
06-06-2021T10:00,365.58,13.08
06-06-2021T11:00,401.33,13.78
06-06-2021T12:00,401.67,16
06-06-2021T13:00,404.5,16.67
06-06-2021T14:00,440.5,17.5
06-06-2021T15:00,441.08,13.33
06-06-2021T16:00,431.33,16.75
06-06-2021T17:00,417.33,14.08
06-06-2021T18:00,421.75,12.92
06-06-2021T19:00,407.17,9.58
06-06-2021T20:00,387.17,12.25
06-06-2021T21:00,374.75,12.58
06-06-2021T22:00,341.58,10.42
06-06-2021T23:00,236.92,8.83
07-06-2021T00:00,169.58,4.33
07-06-2021T01:00,128.83,4.58
07-06-2021T02:00,132.25,4.42
07-06-2021T03:00,108.75,4.08
07-06-2021T04:00,102.58,5.25
07-06-2021T05:00,99.42,5
07-06-2021T06:00,121.75,5
07-06-2021T07:00,141.58,5
07-06-2021T08:00,166.58,7.08
07-06-2021T09:00,189.25,10.08
07-06-2021T10:00,198.17,6.25
07-06-2021T11:00,236.33,11.25
07-06-2021T12:00,267.58,15.42
07-06-2021T13:00,310.83,17.67
07-06-2021T14:00,332.75,15.08
07-06-2021T15:00,320.75,16.33
07-06-2021T16:00,304.67,13.33
07-06-2021T17:00,300.67,11.5
07-06-2021T18:00,325.75,13.5
07-06-2021T19:00,380.75,12.92
07-06-2021T20:00,392.75,16.25
07-06-2021T21:00,370.5,19.58
07-06-2021T22:00,300,11.75
07-06-2021T23:00,213.5,8.75
08-06-2021T00:00,152.17,6
08-06-2021T01:00,117.08,5.42
08-06-2021T02:00,104.58,7.33
08-06-2021T03:00,101.75,7.75
08-06-2021T04:00,101.92,5
08-06-2021T05:00,108.83,8.58
08-06-2021T06:00,113.67,8.92
08-06-2021T07:00,141.25,10.58
08-06-2021T08:00,172.42,8.92
08-06-2021T09:00,183.75,9.92
08-06-2021T10:00,197.92,11.92
08-06-2021T11:00,223.58,14
08-06-2021T12:00,243.58,12.25
08-06-2021T13:00,286.92,11.67
08-06-2021T14:00,322.83,14.17
08-06-2021T15:00,331.67,15.17
08-06-2021T16:00,300.25,12.92
08-06-2021T17:00,315.92,9.92
08-06-2021T18:00,346,16.58
08-06-2021T19:00,349.42,15.5
08-06-2021T20:00,352.92,8
08-06-2021T21:00,350.75,10
08-06-2021T22:00,297.42,13.33
08-06-2021T23:00,234.5,7.75
09-06-2021T00:00,163.5,9
09-06-2021T01:00,131.75,4.58
09-06-2021T02:00,105,4
09-06-2021T03:00,90.33,6.58
09-06-2021T04:00,95.08,7
09-06-2021T05:00,100.25,6.67
09-06-2021T06:00,124.83,6.08
09-06-2021T07:00,134.42,8.5
09-06-2021T08:00,133,7
09-06-2021T09:00,100.12,4.38
09-06-2021T10:00,183.33,10.5
09-06-2021T11:00,232.42,9.92
09-06-2021T12:00,245.58,13.08
09-06-2021T13:00,259.5,18.17
09-06-2021T14:00,292.08,14.08
09-06-2021T15:00,295.25,13.92
09-06-2021T16:00,287.17,13.83
09-06-2021T17:00,308.33,17.25
09-06-2021T18:00,324.75,16
09-06-2021T19:00,345.17,15.5
09-06-2021T20:00,355.83,14.08
09-06-2021T21:00,337.67,13.33
09-06-2021T22:00,270.08,11.17
09-06-2021T23:00,208.5,9.42
10-06-2021T00:00,173.75,9
10-06-2021T01:00,133,7.5
10-06-2021T10:00,110.17,7
10-06-2021T11:00,212.25,12.5
10-06-2021T12:00,243.42,9.08
10-06-2021T13:00,277.92,13.17
10-06-2021T14:00,287.25,12.58
10-06-2021T15:00,291.5,11.92
10-06-2021T16:00,300.08,14.75
10-06-2021T17:00,299.83,19.17
10-06-2021T18:00,320.75,16.75
10-06-2021T19:00,362.75,16.92
10-06-2021T20:00,392.33,18.75
10-06-2021T21:00,352.83,10.08
10-06-2021T22:00,303.17,12.58
10-06-2021T23:00,234.17,12.33
11-06-2021T00:00,181.42,8
11-06-2021T01:00,134.58,7
11-06-2021T02:00,106,8.25
11-06-2021T03:00,95.25,9.5
11-06-2021T04:00,92.92,8.17
11-06-2021T05:00,101.58,6.75
11-06-2021T06:00,113,7.92
11-06-2021T07:00,130.58,5.25
11-06-2021T08:00,158.5,8.83
11-06-2021T09:00,198.67,10.58
11-06-2021T10:00,224.5,10.5
11-06-2021T11:00,233.83,11.83
11-06-2021T12:00,249.5,11.92
11-06-2021T13:00,267.33,13.5
11-06-2021T14:00,298.83,15.42
11-06-2021T15:00,325.17,19.58
11-06-2021T16:00,322.33,19.33
11-06-2021T17:00,315.58,16.58
11-06-2021T18:00,367.58,11.67
11-06-2021T19:00,374.92,12.08
11-06-2021T20:00,386.83,15.67
11-06-2021T21:00,401.25,16
11-06-2021T22:00,360.33,12.08
11-06-2021T23:00,278.75,10.08
12-06-2021T00:00,232.33,11
