Time,Players,LFMs
23-02-2020T00:00,179.21,8.26
01-03-2020T00:00,179.73,8.15
08-03-2020T00:00,184.6,8.31
15-03-2020T00:00,241.87,9.75
22-03-2020T00:00,302.98,11.98
29-03-2020T00:00,319.1,11.02
05-04-2020T00:00,325.36,10.59
12-04-2020T00:00,317.51,11.62
19-04-2020T00:00,302.55,11.13
26-04-2020T00:00,304.04,11.25
03-05-2020T00:00,291.33,10.55
10-05-2020T00:00,296.41,9.91
17-05-2020T00:00,291.5,10.29
24-05-2020T00:00,283.55,9.9
31-05-2020T00:00,276.57,9.42
07-06-2020T00:00,273.75,10.08
14-06-2020T00:00,278.33,9.51
21-06-2020T00:00,249.54,8.45
28-06-2020T00:00,229.94,9.2
05-07-2020T00:00,222.65,8.14
12-07-2020T00:00,199.13,7.59
19-07-2020T00:00,213.26,7.78
26-07-2020T00:00,223.46,8.04
02-08-2020T00:00,207.18,8
09-08-2020T00:00,203.52,8.28
16-08-2020T00:00,209.45,8.3
23-08-2020T00:00,220.42,8.48
30-08-2020T00:00,209.68,8.34
06-09-2020T00:00,215.27,8.72
13-09-2020T00:00,212.35,8.76
20-09-2020T00:00,242.5,9.57
27-09-2020T00:00,240.29,9.27
04-10-2020T00:00,256.81,9.57
11-10-2020T00:00,273.2,9.94
18-10-2020T00:00,274.63,9.98
25-10-2020T00:00,273.98,10.61
01-11-2020T00:00,286.33,11.35
08-11-2020T00:00,291.92,10.95
15-11-2020T00:00,289.89,11.46
22-11-2020T00:00,297.53,11.56
29-11-2020T00:00,289.82,11.55
06-12-2020T00:00,292.72,12.12
13-12-2020T00:00,296.44,11.27
20-12-2020T00:00,318.65,12.02
27-12-2020T00:00,353.8,13.61
03-01-2021T00:00,313.02,12.77
10-01-2021T00:00,321.4,11.85
17-01-2021T00:00,331.21,13.67
24-01-2021T00:00,329.8,13.29
31-01-2021T00:00,320.75,12.76
07-02-2021T00:00,314.68,13.33
14-02-2021T00:00,331.81,14.28
21-02-2021T00:00,340.61,13.58
28-02-2021T00:00,342.94,13.66
07-03-2021T00:00,341.26,14.12
14-03-2021T00:00,351.72,15.24
21-03-2021T00:00,334.86,13.09
28-03-2021T00:00,275.08,12.31
04-04-2021T00:00,263.36,11.84
11-04-2021T00:00,259.79,12.41
18-04-2021T00:00,244.27,10.93
25-04-2021T00:00,273.7,12.49
02-05-2021T00:00,258.23,10.58
09-05-2021T00:00,250.18,10.48
16-05-2021T00:00,251.07,11.35
23-05-2021T00:00,251.2,11.31
