Time,Players,LFMs
11-06-2021T02:00,112,8
11-06-2021T02:05,117,9
11-06-2021T02:10,118,9
11-06-2021T02:15,110,9
11-06-2021T02:20,110,10
11-06-2021T02:25,105,9
11-06-2021T02:30,103,9
11-06-2021T02:35,98,6
11-06-2021T02:40,97,6
11-06-2021T02:45,102,8
11-06-2021T02:50,102,9
11-06-2021T02:55,98,7
11-06-2021T03:00,97,6
11-06-2021T03:05,94,7
11-06-2021T03:10,85,10
11-06-2021T03:15,86,9
11-06-2021T03:20,87,8
11-06-2021T03:25,92,10
11-06-2021T03:30,96,6
11-06-2021T03:35,101,10
11-06-2021T03:40,99,13
11-06-2021T03:45,100,10
11-06-2021T03:50,102,13
11-06-2021T03:55,104,12
11-06-2021T04:00,100,6
11-06-2021T04:05,103,7
11-06-2021T04:10,104,9
11-06-2021T04:15,105,8
11-06-2021T04:20,99,8
11-06-2021T04:25,90,10
11-06-2021T04:30,88,7
11-06-2021T04:35,87,8
11-06-2021T04:40,85,7
11-06-2021T04:45,86,9
11-06-2021T04:50,84,10
11-06-2021T04:55,84,9
11-06-2021T05:00,90,7
11-06-2021T05:05,95,6
11-06-2021T05:10,96,7
11-06-2021T05:15,104,7
11-06-2021T05:20,98,7
11-06-2021T05:25,98,5
11-06-2021T05:30,96,5
11-06-2021T05:35,106,6
11-06-2021T05:40,106,6
11-06-2021T05:45,103,9
11-06-2021T05:50,110,9
11-06-2021T05:55,117,7
11-06-2021T06:00,113,7
11-06-2021T06:05,117,11
11-06-2021T06:10,114,9
11-06-2021T06:15,111,8
11-06-2021T06:20,112,8
11-06-2021T06:25,111,9
11-06-2021T06:30,115,9
11-06-2021T06:35,117,7
11-06-2021T06:40,113,8
11-06-2021T06:45,113,8
11-06-2021T06:50,107,6
11-06-2021T06:55,113,5
11-06-2021T07:00,117,7
11-06-2021T07:05,114,6
11-06-2021T07:10,121,4
11-06-2021T07:15,122,4
11-06-2021T07:20,128,4
11-06-2021T07:25,131,5
11-06-2021T07:30,128,6
11-06-2021T07:35,136,8
11-06-2021T07:40,138,6
11-06-2021T07:45,145,4
11-06-2021T07:50,143,5
11-06-2021T07:55,144,4
11-06-2021T08:00,145,5
11-06-2021T08:05,146,9
11-06-2021T08:10,148,8
11-06-2021T08:15,154,7
11-06-2021T08:20,160,8
11-06-2021T08:25,160,8
11-06-2021T08:30,165,10
11-06-2021T08:35,159,10
11-06-2021T08:40,168,10
11-06-2021T08:45,164,10
11-06-2021T08:50,164,10
11-06-2021T08:55,169,11
11-06-2021T09:00,172,11
11-06-2021T09:05,177,13
11-06-2021T09:10,183,13
11-06-2021T09:15,188,12
11-06-2021T09:20,198,11
11-06-2021T09:25,199,10
11-06-2021T09:30,207,11
11-06-2021T09:35,210,10
11-06-2021T09:40,211,8
11-06-2021T09:45,214,9
11-06-2021T09:50,212,10
11-06-2021T09:55,213,9
11-06-2021T10:00,211,10
11-06-2021T10:05,208,9
11-06-2021T10:10,215,9
11-06-2021T10:15,226,9
11-06-2021T10:20,228,10
11-06-2021T10:25,228,11
11-06-2021T10:30,234,10
11-06-2021T10:35,235,11
11-06-2021T10:40,229,11
11-06-2021T10:45,223,11
11-06-2021T10:50,225,14
11-06-2021T10:55,232,11
11-06-2021T11:00,237,10
11-06-2021T11:05,228,12
11-06-2021T11:10,235,9
11-06-2021T11:15,236,12
11-06-2021T11:20,236,13
11-06-2021T11:25,233,12
11-06-2021T11:30,238,14
11-06-2021T11:35,238,13
11-06-2021T11:40,232,13
11-06-2021T11:45,228,13
