Time,Players,LFMs
14-03-2021T00:00,433.37,16.63
15-03-2021T00:00,332.02,14.75
16-03-2021T00:00,316.19,14.01
17-03-2021T00:00,324.85,14.19
18-03-2021T00:00,315.6,13.52
19-03-2021T00:00,331.77,15.39
20-03-2021T00:00,404.95,16.99
21-03-2021T00:00,436.39,17.85
22-03-2021T00:00,326.97,12.21
23-03-2021T00:00,307.31,12.86
24-03-2021T00:00,301.04,11.11
25-03-2021T00:00,291.88,11.89
26-03-2021T00:00,315.76,13.1
27-03-2021T00:00,399.79,14.91
28-03-2021T00:00,416.56,16.06
29-03-2021T00:00,304.2,14.38
30-03-2021T00:00,287.93,12.17
31-03-2021T00:00,269.81,11.94
01-04-2021T00:00,242.82,12.24
02-04-2021T00:00,263.31,11.92
03-04-2021T00:00,297.77,12.52
04-04-2021T00:00,307.38,13.14
05-04-2021T00:00,264.11,12.42
06-04-2021T00:00,241.85,10.65
07-04-2021T00:00,229.25,10
08-04-2021T00:00,240.04,10.21
09-04-2021T00:00,252.11,12.38
10-04-2021T00:00,311.51,12.97
11-04-2021T00:00,331.82,15.41
12-04-2021T00:00,251.77,11.91
13-04-2021T00:00,238.2,12.08
14-04-2021T00:00,243.61,13.03
15-04-2021T00:00,242.09,11.32
16-04-2021T00:00,242.49,11.81
17-04-2021T00:00,300.81,12.77
18-04-2021T00:00,326.55,15.4
19-04-2021T00:00,247.68,12.53
20-04-2021T00:00,234.91,10.94
21-04-2021T00:00,228.86,9.35
22-04-2021T00:00,345.95,16.9
23-04-2021T00:00,260.87,11.78
24-04-2021T00:00,318.15,13.56
25-04-2021T00:00,347.7,14.33
26-04-2021T00:00,264.49,13.36
27-04-2021T00:00,264.23,13.21
28-04-2021T00:00,249.76,11.87
29-04-2021T00:00,256.5,11.34
30-04-2021T00:00,254.78,12.21
01-05-2021T00:00,313.37,12.79
02-05-2021T00:00,332.47,13.53
03-05-2021T00:00,260.34,11.02
04-05-2021T00:00,245.89,10.43
05-05-2021T00:00,236.38,9.97
06-05-2021T00:00,241.32,9.91
07-05-2021T00:00,231,10
08-05-2021T00:00,302.32,12
09-05-2021T00:00,302.89,11.32
10-05-2021T00:00,237.09,8.22
11-05-2021T00:00,229.83,9.81
12-05-2021T00:00,229.17,10.34
13-05-2021T00:00,246.52,11.28
14-05-2021T00:00,242.41,10
15-05-2021T00:00,291.08,12.85
16-05-2021T00:00,309.26,12.42
17-05-2021T00:00,249.36,11.09
18-05-2021T00:00,232.26,11.36
19-05-2021T00:00,218.58,10.12
20-05-2021T00:00,223.86,10.44
21-05-2021T00:00,226.83,10.97
22-05-2021T00:00,299.75,12.44
23-05-2021T00:00,318.44,13.55
24-05-2021T00:00,244.75,11.36
25-05-2021T00:00,234.44,9.84
26-05-2021T00:00,250.66,11.96
27-05-2021T00:00,236.73,9.99
28-05-2021T00:00,258.57,11.18
29-05-2021T00:00,297.3,13.65
30-05-2021T00:00,311.64,14.85
31-05-2021T00:00,300.75,12.02
01-06-2021T00:00,239.66,9.57
02-06-2021T00:00,238.54,11.63
03-06-2021T00:00,244.91,10.83
04-06-2021T00:00,243.33,10.12
05-06-2021T00:00,298.16,12.09
06-06-2021T00:00,313.26,11.89
07-06-2021T00:00,237.74,9.53
08-06-2021T00:00,230.15,11.09
09-06-2021T00:00,221.38,10.43
10-06-2021T00:00,265.3,12.48
11-06-2021T00:00,231.77,11.72
