Time,Players,LFMs
31-10-2020T18:00,397.17,13.92
31-10-2020T19:00,406.58,11.33
31-10-2020T20:00,436.92,13.42
31-10-2020T21:00,443.08,10.00
31-10-2020T22:00,398.08,14.83
31-10-2020T23:00,331.92,12.08
1-11-2020T0:00,249.92,10.83
1-11-2020T1:00,192.67,12.17
1-11-2020T2:00,158.83,6.25
1-11-2020T3:00,146.00,5.92
1-11-2020T4:00,0.00,0.00
1-11-2020T5:00,173.50,11.50
1-11-2020T6:00,202.92,10.58
1-11-2020T7:00,230.83,12.08
1-11-2020T8:00,249.83,11.08
1-11-2020T9:00,306.58,12.17
1-11-2020T10:00,365.58,15.00
1-11-2020T11:00,434.33,17.58
1-11-2020T12:00,438.73,12.36
1-11-2020T13:00,444.20,17.40
1-11-2020T14:00,455.67,17.08
1-11-2020T15:00,485.58,16.67
1-11-2020T16:00,488.42,13.00
1-11-2020T17:00,475.58,16.75
1-11-2020T18:00,461.83,15.17
1-11-2020T19:00,463.75,15.92
1-11-2020T20:00,483.25,14.67
1-11-2020T21:00,463.33,14.67
1-11-2020T22:00,407.17,15.17
1-11-2020T23:00,338.75,9.75
2-11-2020T0:00,267.42,8.17
2-11-2020T1:00,209.75,9.50
2-11-2020T2:00,157.25,7.25
2-11-2020T3:00,127.75,5.00
2-11-2020T4:00,118.58,5.25
2-11-2020T5:00,125.75,6.17
2-11-2020T6:00,131.67,6.92
2-11-2020T7:00,152.00,10.50
2-11-2020T8:00,157.25,7.25
2-11-2020T9:00,186.33,8.25
2-11-2020T10:00,230.17,12.75
2-11-2020T11:00,256.58,13.00
2-11-2020T12:00,287.58,10.67
2-11-2020T13:00,315.08,14.33
2-11-2020T14:00,358.42,17.67
2-11-2020T15:00,396.00,15.50
2-11-2020T16:00,391.17,15.25
2-11-2020T17:00,375.50,16.25
2-11-2020T18:00,384.50,16.08
2-11-2020T19:00,400.83,13.75
2-11-2020T20:00,437.50,16.50
2-11-2020T21:00,433.83,19.42
2-11-2020T22:00,383.08,13.33
2-11-2020T23:00,303.75,11.75
3-11-2020T0:00,235.92,10.08
3-11-2020T1:00,183.17,10.92
3-11-2020T2:00,160.83,12.00
3-11-2020T3:00,141.83,10.67
3-11-2020T4:00,125.75,10.00
3-11-2020T5:00,127.92,9.42
3-11-2020T6:00,130.75,9.83
3-11-2020T7:00,152.17,11.75
3-11-2020T8:00,179.83,12.00
3-11-2020T9:00,215.00,12.92
3-11-2020T10:00,230.67,11.25
3-11-2020T11:00,263.25,11.25
3-11-2020T12:00,292.67,12.33
3-11-2020T13:00,304.25,13.08
3-11-2020T14:00,308.67,13.83
3-11-2020T15:00,355.83,15.83
3-11-2020T16:00,365.92,12.67
3-11-2020T17:00,351.92,18.08
3-11-2020T18:00,358.33,20.08
3-11-2020T19:00,380.33,21.08
3-11-2020T20:00,403.00,14.08
3-11-2020T21:00,407.17,13.25
3-11-2020T22:00,364.67,13.42
3-11-2020T23:00,306.33,16.33
4-11-2020T0:00,234.17,11.17
4-11-2020T1:00,183.17,10.00
4-11-2020T2:00,158.17,8.33
4-11-2020T3:00,130.83,4.08
4-11-2020T4:00,121.75,6.50
4-11-2020T5:00,120.00,6.08
4-11-2020T6:00,127.17,8.25
4-11-2020T7:00,132.67,8.00
4-11-2020T8:00,143.75,10.67
4-11-2020T9:00,164.50,9.42
4-11-2020T10:00,197.25,11.75
4-11-2020T11:00,240.58,10.92
4-11-2020T12:00,268.92,8.67
4-11-2020T13:00,303.08,13.58
4-11-2020T14:00,311.50,10.00
4-11-2020T15:00,318.00,14.58
4-11-2020T16:00,323.58,11.92
4-11-2020T17:00,305.00,9.33
4-11-2020T18:00,325.75,12.67
4-11-2020T19:00,366.50,15.75
4-11-2020T20:00,402.33,12.33
4-11-2020T21:00,399.33,14.75
4-11-2020T22:00,343.25,15.42
4-11-2020T23:00,281.42,12.08
5-11-2020T0:00,220.08,7.67
5-11-2020T1:00,169.67,5.58
5-11-2020T2:00,141.08,5.67
5-11-2020T3:00,125.00,6.33
5-11-2020T4:00,114.75,7.17
5-11-2020T5:00,118.50,6.17
5-11-2020T6:00,123.50,6.42
5-11-2020T7:00,135.08,6.75
5-11-2020T8:00,115.25,5.25
5-11-2020T9:00,3.67,0.00
5-11-2020T10:00,0.00,0.00
5-11-2020T11:00,0.00,0.00
5-11-2020T12:00,0.00,0.00
5-11-2020T13:00,175.55,3.09
5-11-2020T14:00,286.25,7.83
5-11-2020T15:00,328.33,10.67
5-11-2020T16:00,359.83,12.42
5-11-2020T17:00,379.92,13.25
5-11-2020T18:00,385.25,14.17
5-11-2020T19:00,400.92,11.00
5-11-2020T20:00,443.50,10.67
5-11-2020T21:00,441.25,15.33
5-11-2020T22:00,394.33,12.67
5-11-2020T23:00,321.00,10.58
6-11-2020T0:00,277.33,10.08
6-11-2020T1:00,217.25,5.17
6-11-2020T2:00,177.92,6.75
6-11-2020T3:00,148.92,5.92
6-11-2020T4:00,133.08,7.75
6-11-2020T5:00,122.00,7.58
6-11-2020T6:00,123.50,8.08
6-11-2020T7:00,143.67,5.42
6-11-2020T8:00,165.50,6.83
