Time,Players,LFMs
20-2-2020T00:00,193.51,11.06
21-2-2020T00:00,210.70,11.35
22-2-2020T00:00,282.61,12.81
23-2-2020T00:00,288.11,14.64
24-2-2020T00:00,209.32,13.56
25-2-2020T00:00,197.36,13.01
26-2-2020T00:00,182.96,11.05
27-2-2020T00:00,196.48,10.91
28-2-2020T00:00,212.22,13.20
29-2-2020T00:00,266.64,16.06
1-3-2020T00:00,286.04,15.98
2-3-2020T00:00,203.27,11.17
3-3-2020T00:00,202.61,10.52
4-3-2020T00:00,187.87,10.30
5-3-2020T00:00,199.76,11.18
6-3-2020T00:00,215.01,11.20
7-3-2020T00:00,253.42,13.90
8-3-2020T00:00,270.64,15.50
9-3-2020T00:00,202.85,12.86
10-3-2020T00:00,194.04,11.86
11-3-2020T00:00,182.46,10.44
12-3-2020T00:00,196.59,10.74
13-3-2020T00:00,222.31,11.78
14-3-2020T00:00,267.37,13.80
15-3-2020T00:00,301.58,14.25
16-3-2020T00:00,229.10,14.79
17-3-2020T00:00,230.07,12.74
18-3-2020T00:00,243.76,15.65
19-3-2020T00:00,276.93,16.14
20-3-2020T00:00,324.28,18.26
21-3-2020T00:00,409.27,19.60
22-3-2020T00:00,425.02,21.61
23-3-2020T00:00,350.28,18.75
24-3-2020T00:00,366.89,18.45
25-3-2020T00:00,337.43,16.49
26-3-2020T00:00,360.93,17.52
27-3-2020T00:00,392.10,18.98
28-3-2020T00:00,466.96,19.30
29-3-2020T00:00,470.25,20.91
30-3-2020T00:00,384.88,18.84
31-3-2020T00:00,352.29,18.74
1-4-2020T00:00,351.26,17.03
2-4-2020T00:00,358.50,17.24
3-4-2020T00:00,380.77,18.40
4-4-2020T00:00,440.97,21.11
5-4-2020T00:00,454.18,20.33
6-4-2020T00:00,384.09,17.34
7-4-2020T00:00,375.65,18.40
8-4-2020T00:00,362.05,20.90
9-4-2020T00:00,356.41,17.81
10-4-2020T00:00,409.83,19.61
11-4-2020T00:00,440.06,19.89
