Time,Players,LFMs
20-2-2020T0:00,133.00,9.00
20-2-2020T1:00,131.33,8.67
20-2-2020T2:00,113.33,5.92
20-2-2020T3:00,93.58,5.00
20-2-2020T4:00,83.08,8.08
20-2-2020T5:00,88.25,8.00
20-2-2020T6:00,98.83,4.83
20-2-2020T7:00,101.08,6.67
20-2-2020T8:00,137.42,9.33
20-2-2020T9:00,158.67,12.42
20-2-2020T10:00,165.75,13.50
20-2-2020T11:00,196.50,9.92
20-2-2020T12:00,215.83,12.33
20-2-2020T13:00,222.33,12.00
20-2-2020T14:00,236.25,16.42
20-2-2020T15:00,251.50,15.17
20-2-2020T16:00,263.67,14.75
20-2-2020T17:00,277.50,13.67
20-2-2020T18:00,271.25,17.08
20-2-2020T19:00,268.58,14.42
20-2-2020T20:00,303.75,11.00
20-2-2020T21:00,306.92,10.33
20-2-2020T22:00,292.75,12.25
20-2-2020T23:00,233.00,14.67
21-2-2020T0:00,184.58,12.17
21-2-2020T1:00,148.92,10.25
21-2-2020T2:00,115.58,8.08
21-2-2020T3:00,110.42,6.58
21-2-2020T4:00,109.08,6.08
21-2-2020T5:00,102.67,5.08
21-2-2020T6:00,106.92,5.33
21-2-2020T7:00,119.83,6.50
21-2-2020T8:00,145.75,8.00
21-2-2020T9:00,161.83,9.92
21-2-2020T10:00,182.75,11.83
21-2-2020T11:00,196.67,16.17
21-2-2020T12:00,209.58,12.58
21-2-2020T13:00,226.00,10.08
21-2-2020T14:00,244.50,14.17
21-2-2020T15:00,278.17,16.50
21-2-2020T16:00,301.08,16.50
21-2-2020T17:00,311.00,13.33
21-2-2020T18:00,293.58,14.00
21-2-2020T19:00,290.67,12.17
21-2-2020T20:00,315.17,14.08
21-2-2020T21:00,312.83,13.75
21-2-2020T22:00,307.00,16.50
21-2-2020T23:00,282.25,12.83
22-2-2020T0:00,238.75,10.17
22-2-2020T1:00,201.08,9.83
22-2-2020T2:00,164.92,8.08
22-2-2020T3:00,144.92,6.42
22-2-2020T4:00,140.50,6.25
22-2-2020T5:00,144.17,8.42
22-2-2020T6:00,163.83,10.00
22-2-2020T7:00,193.50,9.67
22-2-2020T8:00,207.50,12.92
22-2-2020T9:00,245.50,13.50
22-2-2020T10:00,260.33,11.67
22-2-2020T11:00,306.42,17.17
22-2-2020T12:00,329.33,11.08
22-2-2020T13:00,356.42,13.58
22-2-2020T14:00,394.33,18.42
22-2-2020T15:00,392.25,17.83
22-2-2020T16:00,416.58,14.00
22-2-2020T17:00,398.75,15.25
22-2-2020T18:00,387.58,15.17
22-2-2020T19:00,373.25,17.92
22-2-2020T20:00,363.00,15.58
22-2-2020T21:00,339.17,19.08
22-2-2020T22:00,329.67,15.00
22-2-2020T23:00,290.83,10.50
23-2-2020T0:00,253.17,12.00
23-2-2020T1:00,218.50,15.58
23-2-2020T2:00,180.67,11.83
23-2-2020T3:00,155.42,9.17
23-2-2020T4:00,139.58,7.17
23-2-2020T5:00,152.50,8.42
23-2-2020T6:00,160.25,9.08
23-2-2020T7:00,180.00,12.58
23-2-2020T8:00,236.33,14.25
23-2-2020T9:00,282.50,15.58
23-2-2020T10:00,303.42,17.25
23-2-2020T11:00,334.83,20.17
23-2-2020T12:00,365.33,16.17
23-2-2020T13:00,394.75,14.33
23-2-2020T14:00,413.83,14.42
23-2-2020T15:00,412.92,21.42
23-2-2020T16:00,407.83,22.83
23-2-2020T17:00,399.67,21.17
23-2-2020T18:00,368.67,16.67
23-2-2020T19:00,352.00,19.08
23-2-2020T20:00,340.75,15.17
23-2-2020T21:00,321.58,10.08
23-2-2020T22:00,289.92,13.17
23-2-2020T23:00,250.25,13.75
24-2-2020T0:00,205.50,12.75
24-2-2020T1:00,158.25,8.33
24-2-2020T2:00,135.33,10.75
24-2-2020T3:00,108.42,7.67
24-2-2020T4:00,108.92,9.50
24-2-2020T5:00,98.58,7.58
24-2-2020T6:00,101.08,10.42
24-2-2020T7:00,126.00,12.25
24-2-2020T8:00,143.67,15.17
24-2-2020T9:00,146.17,10.25
24-2-2020T10:00,164.00,12.50
24-2-2020T11:00,178.00,15.08
24-2-2020T12:00,189.58,15.33
24-2-2020T13:00,217.92,16.42
24-2-2020T14:00,261.00,11.83
24-2-2020T15:00,277.50,17.00
24-2-2020T16:00,281.25,17.08
24-2-2020T17:00,286.75,12.67
24-2-2020T18:00,301.00,18.50
24-2-2020T19:00,324.17,19.75
24-2-2020T20:00,363.58,17.00
24-2-2020T21:00,332.58,18.58
24-2-2020T22:00,288.67,16.00
24-2-2020T23:00,225.83,13.00
25-2-2020T0:00,177.17,12.83
25-2-2020T1:00,136.75,11.75
25-2-2020T2:00,99.08,8.42
25-2-2020T3:00,88.08,8.17
25-2-2020T4:00,85.92,9.00
25-2-2020T5:00,105.75,8.83
25-2-2020T6:00,104.58,6.00
25-2-2020T7:00,117.33,7.75
25-2-2020T8:00,140.42,12.33
25-2-2020T9:00,156.67,10.08
25-2-2020T10:00,172.25,12.08
25-2-2020T11:00,192.58,10.92
25-2-2020T12:00,227.42,13.58
25-2-2020T13:00,253.67,17.25
25-2-2020T14:00,268.17,15.75
25-2-2020T15:00,261.92,13.00
25-2-2020T16:00,252.67,13.08
25-2-2020T17:00,247.42,20.08
25-2-2020T18:00,253.33,18.58
25-2-2020T19:00,281.25,18.58
25-2-2020T20:00,292.50,20.17
25-2-2020T21:00,292.00,16.83
25-2-2020T22:00,287.00,16.00
25-2-2020T23:00,242.83,11.08
26-2-2020T0:00,181.75,12.58
26-2-2020T1:00,140.83,13.00
26-2-2020T2:00,104.42,9.75
26-2-2020T3:00,84.17,7.58
26-2-2020T4:00,80.08,4.83
26-2-2020T5:00,79.17,5.17
26-2-2020T6:00,96.92,6.50
26-2-2020T7:00,120.00,7.83
26-2-2020T8:00,105.33,8.08
26-2-2020T9:00,2.15,0.08
26-2-2020T10:00,0.00,0.00
26-2-2020T11:00,0.00,0.00
26-2-2020T12:00,187.67,13.33
26-2-2020T13:00,220.92,16.00
26-2-2020T14:00,231.67,13.92
26-2-2020T15:00,255.33,15.17
26-2-2020T16:00,269.83,14.50
26-2-2020T17:00,248.67,12.42
26-2-2020T18:00,254.42,12.67
26-2-2020T19:00,261.17,12.75
26-2-2020T20:00,285.58,17.50
26-2-2020T21:00,296.75,14.17
26-2-2020T22:00,271.75,12.42
26-2-2020T23:00,246.58,12.92
27-2-2020T0:00,193.08,12.50
27-2-2020T1:00,138.17,10.50
27-2-2020T2:00,121.42,9.92
27-2-2020T3:00,108.58,6.83
27-2-2020T4:00,99.08,8.17
27-2-2020T5:00,102.33,6.08
27-2-2020T6:00,107.17,5.83
27-2-2020T7:00,119.33,5.83
27-2-2020T8:00,131.92,5.83
27-2-2020T9:00,159.08,5.00
27-2-2020T10:00,175.08,10.17
27-2-2020T11:00,183.17,9.83
27-2-2020T12:00,191.17,10.42
27-2-2020T13:00,200.08,12.17
27-2-2020T14:00,225.00,14.92
27-2-2020T15:00,246.08,14.92
27-2-2020T16:00,252.58,12.67
27-2-2020T17:00,230.00,10.33
27-2-2020T18:00,267.83,12.50
27-2-2020T19:00,304.42,16.17
27-2-2020T20:00,338.50,14.42
27-2-2020T21:00,319.58,16.83
27-2-2020T22:00,273.83,16.92
27-2-2020T23:00,228.08,13.08
28-2-2020T0:00,189.25,14.42
28-2-2020T1:00,151.42,13.08
28-2-2020T2:00,127.25,9.75
28-2-2020T3:00,106.83,10.58
28-2-2020T4:00,94.17,11.75
28-2-2020T5:00,97.75,11.58
28-2-2020T6:00,121.92,9.17
28-2-2020T7:00,147.83,12.50
28-2-2020T8:00,147.58,12.17
28-2-2020T9:00,152.75,10.83
28-2-2020T10:00,169.08,15.25
28-2-2020T11:00,183.83,15.33
28-2-2020T12:00,207.08,13.50
28-2-2020T13:00,217.75,15.50
28-2-2020T14:00,232.58,19.92
28-2-2020T15:00,250.92,16.33
28-2-2020T16:00,267.50,14.67
28-2-2020T17:00,277.25,12.33
28-2-2020T18:00,294.17,7.42
28-2-2020T19:00,317.42,12.67
28-2-2020T20:00,341.42,17.08
28-2-2020T21:00,372.00,13.33
28-2-2020T22:00,336.83,10.83
28-2-2020T23:00,288.75,16.75
29-2-2020T0:00,225.67,13.33
29-2-2020T1:00,179.75,11.58
29-2-2020T2:00,157.92,14.75
29-2-2020T3:00,129.67,15.42
29-2-2020T4:00,127.33,11.92
29-2-2020T5:00,151.42,13.17
29-2-2020T6:00,141.42,13.67
29-2-2020T7:00,155.50,13.00
29-2-2020T8:00,183.42,12.17
29-2-2020T9:00,258.42,14.58
29-2-2020T10:00,280.17,16.58
29-2-2020T11:00,308.08,17.75
29-2-2020T12:00,322.67,20.25
29-2-2020T13:00,337.67,17.50
29-2-2020T14:00,355.75,17.58
