Time,Players,LFMs
05-06-2021T01:00,137,6.27
05-06-2021T02:00,125.42,5.25
05-06-2021T03:00,117.17,4.75
05-06-2021T04:00,124,4.33
05-06-2021T05:00,129.83,5.5
05-06-2021T06:00,160.33,8.5
05-06-2021T07:00,174.92,10.5
05-06-2021T08:00,226.25,9.58
05-06-2021T09:00,236,11.5
05-06-2021T10:00,249.92,13
05-06-2021T11:00,266.42,14.42
05-06-2021T12:00,266.08,13.5
05-06-2021T13:00,307.08,16.17
05-06-2021T14:00,323.5,13.25
05-06-2021T15:00,327.58,12.83
05-06-2021T16:00,301.83,10.25
05-06-2021T17:00,294,8.83
05-06-2021T18:00,286.42,15.83
05-06-2021T19:00,288.92,12.25
05-06-2021T20:00,289.83,11.67
05-06-2021T21:00,296.91,10.82
05-06-2021T22:00,265.83,13.08
05-06-2021T23:00,212.83,11.67
06-06-2021T00:00,156.33,9.5
06-06-2021T01:00,123.08,8.5
06-06-2021T02:00,114.33,6
06-06-2021T03:00,125.5,3.58
06-06-2021T04:00,121.75,4.33
06-06-2021T05:00,119.17,7.17
06-06-2021T06:00,144.17,7.5
06-06-2021T07:00,179.25,7.83
06-06-2021T08:00,205.5,10.83
06-06-2021T09:00,237.67,7.92
06-06-2021T10:00,272.5,15.5
06-06-2021T11:00,281.44,10.22
06-06-2021T12:00,285.42,11.58
06-06-2021T13:00,294.33,13.25
06-06-2021T14:00,328.17,11.92
06-06-2021T15:00,336.42,12.75
06-06-2021T16:00,329.58,12.67
06-06-2021T17:00,285.5,12.58
06-06-2021T18:00,287.17,12.67
06-06-2021T19:00,311.5,12.83
06-06-2021T20:00,278.92,8
06-06-2021T21:00,247.67,10.25
06-06-2021T22:00,228.25,12.25
06-06-2021T23:00,178.75,8.5
07-06-2021T00:00,138,6
07-06-2021T01:00,115.08,4.25
07-06-2021T02:00,104,2.25
07-06-2021T03:00,85.42,2.5
07-06-2021T04:00,85.58,1.75
07-06-2021T05:00,91.92,4.33
07-06-2021T06:00,99.83,5.5
07-06-2021T07:00,122.5,7.25
07-06-2021T08:00,144.67,8.42
07-06-2021T09:00,165.08,11.83
07-06-2021T10:00,175.33,12.33
07-06-2021T11:00,200.67,9.92
07-06-2021T12:00,217.92,9.83
07-06-2021T13:00,220.33,8
07-06-2021T14:00,238.08,10.42
07-06-2021T15:00,260.5,8.25
07-06-2021T16:00,257.42,13
07-06-2021T17:00,253.25,10.33
07-06-2021T18:00,290.08,11.58
07-06-2021T19:00,327.83,12
07-06-2021T20:00,309.33,11
07-06-2021T21:00,276.92,9.75
07-06-2021T22:00,218.67,8.75
07-06-2021T23:00,172.08,6.33
08-06-2021T00:00,143.25,7.17
08-06-2021T01:00,121.58,9
08-06-2021T02:00,104.83,5.08
08-06-2021T03:00,87.92,4.58
08-06-2021T04:00,94.42,5.25
08-06-2021T05:00,99.33,6
08-06-2021T06:00,110.08,7.5
08-06-2021T07:00,102.83,7.5
08-06-2021T08:00,130.25,4.42
08-06-2021T09:00,153.83,7.42
08-06-2021T10:00,164.92,8
08-06-2021T11:00,189.08,6.25
08-06-2021T12:00,209.08,7.67
08-06-2021T13:00,213.08,10.17
08-06-2021T14:00,243.5,12.08
08-06-2021T15:00,271.75,13.5
08-06-2021T16:00,264.58,9.67
08-06-2021T17:00,239.67,8.92
08-06-2021T18:00,265.83,9.5
08-06-2021T19:00,297.33,10.75
08-06-2021T20:00,292.58,12.83
08-06-2021T21:00,262.17,10.75
08-06-2021T22:00,219.5,9.33
08-06-2021T23:00,171.92,6.5
09-06-2021T00:00,134.92,7.33
09-06-2021T01:00,106.08,8.75
09-06-2021T02:00,98,5.75
09-06-2021T03:00,89.33,4.67
09-06-2021T04:00,97.5,5.83
09-06-2021T05:00,98.67,4.17
09-06-2021T06:00,93.5,4.33
09-06-2021T07:00,94.75,4.17
09-06-2021T08:00,37,1
09-06-2021T09:00,63.56,4.67
09-06-2021T10:00,141.42,5.83
09-06-2021T11:00,174.92,9.75
09-06-2021T12:00,191,8.83
09-06-2021T13:00,205.33,9.25
09-06-2021T14:00,240.92,10.42
09-06-2021T15:00,249.08,8.42
09-06-2021T16:00,237.17,11.42
09-06-2021T17:00,222.08,11.08
09-06-2021T18:00,248.42,11.17
09-06-2021T19:00,286.25,12.75
09-06-2021T20:00,270.25,11
09-06-2021T21:00,253.92,8.5
09-06-2021T22:00,219.08,9.67
09-06-2021T23:00,161.08,4.58
10-06-2021T00:00,134.17,5.25
10-06-2021T01:00,118.25,3.92
10-06-2021T10:00,92.17,5.5
10-06-2021T11:00,189.5,8.5
10-06-2021T12:00,182.5,9.17
10-06-2021T13:00,183.5,12.08
10-06-2021T14:00,209.25,11.25
10-06-2021T15:00,231.08,10.33
10-06-2021T16:00,234.75,12.58
10-06-2021T17:00,229.67,10.08
10-06-2021T18:00,258.33,10.58
10-06-2021T19:00,288.67,13.25
10-06-2021T20:00,308.67,8.58
10-06-2021T21:00,296.75,8.25
10-06-2021T22:00,257.5,10.08
10-06-2021T23:00,199.75,7.5
11-06-2021T00:00,143.92,6.5
11-06-2021T01:00,114.25,6.67
11-06-2021T02:00,94.33,5.33
11-06-2021T03:00,80.67,5.83
11-06-2021T04:00,84.5,5.92
11-06-2021T05:00,89.5,5.17
11-06-2021T06:00,108.17,8.75
11-06-2021T07:00,133.08,8.67
11-06-2021T08:00,145.58,7.58
11-06-2021T09:00,166.25,9.17
11-06-2021T10:00,163.33,7.42
11-06-2021T11:00,180.08,7.75
11-06-2021T12:00,191.5,8.33
11-06-2021T13:00,220.08,7.42
11-06-2021T14:00,234,10.5
11-06-2021T15:00,252.83,13.5
11-06-2021T16:00,261.58,14.08
11-06-2021T17:00,261.25,10.67
11-06-2021T18:00,267.67,8.83
11-06-2021T19:00,296.42,12.92
11-06-2021T20:00,314.42,13.17
11-06-2021T21:00,284.5,6.17
11-06-2021T22:00,215.25,6.17
11-06-2021T23:00,194.5,9.83
12-06-2021T00:00,182.17,8.33
