Time,Players,LFMs
23-02-2020T00:00,218.81,13.17
01-03-2020T00:00,218.03,12
08-03-2020T00:00,222.65,12.18
15-03-2020T00:00,294.68,16.39
22-03-2020T00:00,389.21,18.54
29-03-2020T00:00,383.86,18.53
05-04-2020T00:00,394.39,18.97
12-04-2020T00:00,385.98,16.72
19-04-2020T00:00,374.93,15.14
26-04-2020T00:00,374.39,15.83
03-05-2020T00:00,351.6,14.01
10-05-2020T00:00,350.52,15.49
17-05-2020T00:00,341.28,13.67
24-05-2020T00:00,336.95,12.79
31-05-2020T00:00,330.07,12.82
07-06-2020T00:00,333.44,12.96
14-06-2020T00:00,316.68,12.64
21-06-2020T00:00,281.06,11.21
28-06-2020T00:00,259.23,10.95
05-07-2020T00:00,257.4,11.81
12-07-2020T00:00,242.67,9.62
19-07-2020T00:00,254.04,10.19
26-07-2020T00:00,262.24,11.31
02-08-2020T00:00,226.38,9.64
09-08-2020T00:00,257.95,10.62
16-08-2020T00:00,250.6,11.99
23-08-2020T00:00,269.47,11.83
30-08-2020T00:00,260.52,11.87
06-09-2020T00:00,253.67,10.42
13-09-2020T00:00,252.02,10.78
20-09-2020T00:00,250.36,11.14
27-09-2020T00:00,228.54,10.35
04-10-2020T00:00,233.49,9.78
11-10-2020T00:00,252.21,9.77
18-10-2020T00:00,254.57,10.71
25-10-2020T00:00,258.6,10.27
01-11-2020T00:00,259.76,10.86
08-11-2020T00:00,257.51,10.41
15-11-2020T00:00,242.11,10.22
22-11-2020T00:00,250.16,9.66
29-11-2020T00:00,244.49,10.22
06-12-2020T00:00,252.75,10.3
13-12-2020T00:00,246.59,10.85
20-12-2020T00:00,252.19,10.69
27-12-2020T00:00,281.09,11.06
03-01-2021T00:00,255.94,9.91
10-01-2021T00:00,262.69,9.53
17-01-2021T00:00,263.11,10.33
24-01-2021T00:00,260.64,10.04
31-01-2021T00:00,251.15,9.78
07-02-2021T00:00,250.43,10.21
14-02-2021T00:00,252.63,10.63
21-02-2021T00:00,268.43,10.48
28-02-2021T00:00,286.08,12.26
07-03-2021T00:00,279.95,11.78
14-03-2021T00:00,277.67,10.98
21-03-2021T00:00,265.79,11.27
28-03-2021T00:00,216.83,9.81
04-04-2021T00:00,203.49,8.64
11-04-2021T00:00,190.85,8.11
18-04-2021T00:00,188.92,8.71
25-04-2021T00:00,206.27,9.56
02-05-2021T00:00,204.25,9.43
09-05-2021T00:00,199.48,9.1
16-05-2021T00:00,200.08,8.58
23-05-2021T00:00,197.51,9.23
