Time,Players,LFMs
11-06-2021T02:00,109,4
11-06-2021T02:05,107,5
11-06-2021T02:10,103,6
11-06-2021T02:15,102,7
11-06-2021T02:20,98,7
11-06-2021T02:25,93,6
11-06-2021T02:30,95,5
11-06-2021T02:35,91,4
11-06-2021T02:40,87,5
11-06-2021T02:45,85,5
11-06-2021T02:50,81,5
11-06-2021T02:55,81,5
11-06-2021T03:00,80,4
11-06-2021T03:05,78,4
11-06-2021T03:10,84,5
11-06-2021T03:15,76,5
11-06-2021T03:20,73,7
11-06-2021T03:25,82,6
11-06-2021T03:30,78,5
11-06-2021T03:35,82,5
11-06-2021T03:40,86,7
11-06-2021T03:45,85,8
11-06-2021T03:50,84,8
11-06-2021T03:55,80,6
11-06-2021T04:00,76,3
11-06-2021T04:05,81,5
11-06-2021T04:10,83,6
11-06-2021T04:15,83,7
11-06-2021T04:20,80,6
11-06-2021T04:25,86,7
11-06-2021T04:30,83,6
11-06-2021T04:35,85,7
11-06-2021T04:40,87,6
11-06-2021T04:45,91,7
11-06-2021T04:50,90,6
11-06-2021T04:55,89,5
11-06-2021T05:00,85,5
11-06-2021T05:05,83,5
11-06-2021T05:10,84,6
11-06-2021T05:15,83,4
11-06-2021T05:20,84,5
11-06-2021T05:25,87,5
11-06-2021T05:30,95,5
11-06-2021T05:35,93,6
11-06-2021T05:40,91,6
11-06-2021T05:45,93,5
11-06-2021T05:50,94,6
11-06-2021T05:55,102,4
11-06-2021T06:00,100,5
11-06-2021T06:05,104,8
11-06-2021T06:10,97,7
11-06-2021T06:15,98,7
11-06-2021T06:20,104,7
11-06-2021T06:25,109,8
11-06-2021T06:30,111,11
11-06-2021T06:35,113,10
11-06-2021T06:40,116,11
11-06-2021T06:45,114,11
11-06-2021T06:50,119,11
11-06-2021T06:55,113,9
11-06-2021T07:00,121,10
11-06-2021T07:05,127,9
11-06-2021T07:10,131,8
11-06-2021T07:15,132,7
11-06-2021T07:20,128,7
11-06-2021T07:25,130,8
11-06-2021T07:30,133,9
11-06-2021T07:35,141,9
11-06-2021T07:40,140,9
11-06-2021T07:45,141,11
11-06-2021T07:50,138,8
11-06-2021T07:55,135,9
11-06-2021T08:00,147,7
11-06-2021T08:05,143,7
11-06-2021T08:10,146,8
11-06-2021T08:15,142,9
11-06-2021T08:20,145,8
11-06-2021T08:25,142,7
11-06-2021T08:30,143,6
11-06-2021T08:35,141,8
11-06-2021T08:40,145,8
11-06-2021T08:45,150,8
11-06-2021T08:50,152,7
11-06-2021T08:55,151,8
11-06-2021T09:00,151,7
11-06-2021T09:05,160,8
11-06-2021T09:10,160,9
11-06-2021T09:15,165,9
11-06-2021T09:20,164,8
11-06-2021T09:25,163,9
11-06-2021T09:30,167,9
11-06-2021T09:35,169,10
11-06-2021T09:40,172,11
11-06-2021T09:45,172,10
11-06-2021T09:50,178,11
11-06-2021T09:55,174,9
11-06-2021T10:00,171,8
11-06-2021T10:05,175,7
11-06-2021T10:10,168,7
11-06-2021T10:15,163,9
11-06-2021T10:20,162,9
11-06-2021T10:25,156,9
11-06-2021T10:30,158,8
11-06-2021T10:35,158,7
11-06-2021T10:40,158,7
11-06-2021T10:45,162,6
11-06-2021T10:50,162,6
11-06-2021T10:55,167,6
11-06-2021T11:00,171,7
11-06-2021T11:05,177,7
11-06-2021T11:10,178,7
11-06-2021T11:15,181,7
11-06-2021T11:20,181,9
11-06-2021T11:25,178,10
11-06-2021T11:30,176,8
11-06-2021T11:35,178,8
11-06-2021T11:40,186,6
11-06-2021T11:45,183,7
11-06-2021T11:50,183,9
11-06-2021T11:55,189,8
11-06-2021T12:00,194,8
11-06-2021T12:05,187,10
11-06-2021T12:10,178,8
11-06-2021T12:15,181,6
11-06-2021T12:20,183,7
11-06-2021T12:25,185,8
11-06-2021T12:30,186,8
11-06-2021T12:35,192,9
11-06-2021T12:40,199,10
11-06-2021T12:45,200,9
11-06-2021T12:50,207,10
11-06-2021T12:55,206,7
11-06-2021T13:00,209,10
11-06-2021T13:05,212,10
11-06-2021T13:10,214,10
11-06-2021T13:15,222,10
11-06-2021T13:20,225,7
11-06-2021T13:25,226,8
11-06-2021T13:30,230,6
11-06-2021T13:35,225,8
11-06-2021T13:40,218,6
11-06-2021T13:45,218,5
11-06-2021T13:50,223,5
11-06-2021T13:55,219,4
11-06-2021T14:00,222,6
11-06-2021T14:05,225,7
11-06-2021T14:10,228,7
11-06-2021T14:15,226,10
11-06-2021T14:20,229,11
11-06-2021T14:25,235,12
11-06-2021T14:30,237,14
11-06-2021T14:35,242,14
11-06-2021T14:40,243,12
11-06-2021T14:45,240,12
11-06-2021T14:50,240,11
11-06-2021T14:55,241,10
11-06-2021T15:00,240,11
11-06-2021T15:05,243,10
11-06-2021T15:10,255,10
11-06-2021T15:15,257,10
11-06-2021T15:20,259,12
11-06-2021T15:25,265,13
11-06-2021T15:30,253,14
11-06-2021T15:35,253,14
11-06-2021T15:40,254,16
11-06-2021T15:45,252,19
11-06-2021T15:50,247,18
11-06-2021T15:55,256,15
11-06-2021T16:00,265,18
11-06-2021T16:05,264,17
11-06-2021T16:10,263,16
11-06-2021T16:15,260,14
11-06-2021T16:20,263,16
11-06-2021T16:25,264,16
11-06-2021T16:30,263,13
11-06-2021T16:35,258,13
11-06-2021T16:40,258,13
11-06-2021T16:45,261,14
11-06-2021T16:50,263,9
11-06-2021T16:55,257,10
11-06-2021T17:00,259,10
11-06-2021T17:05,254,12
11-06-2021T17:10,255,11
11-06-2021T17:15,260,10
11-06-2021T17:20,269,12
11-06-2021T17:25,257,15
11-06-2021T17:30,258,13
11-06-2021T17:35,256,12
11-06-2021T17:40,259,9
11-06-2021T17:45,271,7
11-06-2021T17:50,275,7
11-06-2021T17:55,262,10
11-06-2021T18:00,258,9
11-06-2021T18:05,264,11
11-06-2021T18:10,263,10
11-06-2021T18:15,261,9
11-06-2021T18:20,263,9
11-06-2021T18:25,260,10
11-06-2021T18:30,262,8
11-06-2021T18:35,270,9
11-06-2021T18:40,277,10
11-06-2021T18:45,277,10
11-06-2021T18:50,278,6
11-06-2021T18:55,279,5
11-06-2021T19:00,284,6
11-06-2021T19:05,289,9
11-06-2021T19:10,297,9
11-06-2021T19:15,300,14
11-06-2021T19:20,302,15
11-06-2021T19:25,297,13
11-06-2021T19:30,296,11
11-06-2021T19:35,302,13
11-06-2021T19:40,298,14
11-06-2021T19:45,297,15
11-06-2021T19:50,301,17
11-06-2021T19:55,294,19
11-06-2021T20:00,309,18
11-06-2021T20:05,307,17
11-06-2021T20:10,311,14
11-06-2021T20:15,316,13
11-06-2021T20:20,320,16
11-06-2021T20:25,313,14
11-06-2021T20:30,320,11
11-06-2021T20:35,322,11
11-06-2021T20:40,321,12
11-06-2021T20:45,318,11
11-06-2021T20:50,314,11
11-06-2021T20:55,302,10
11-06-2021T21:00,304,9
11-06-2021T21:05,306,9
11-06-2021T21:10,302,8
11-06-2021T21:15,306,7
11-06-2021T21:20,307,4
11-06-2021T21:25,295,5
11-06-2021T21:30,292,6
11-06-2021T21:35,282,4
11-06-2021T21:40,271,6
11-06-2021T21:45,264,8
11-06-2021T21:50,247,4
11-06-2021T21:55,238,4
11-06-2021T22:00,226,5
11-06-2021T22:05,227,5
11-06-2021T22:10,223,9
