Time,Players,LFMs
3-4-2020T00:00,380.77,18.40
4-4-2020T00:00,440.97,21.11
5-4-2020T00:00,454.18,20.33
6-4-2020T00:00,384.09,17.34
7-4-2020T00:00,375.65,18.40
8-4-2020T00:00,362.05,20.90
9-4-2020T00:00,356.41,17.81
10-4-2020T00:00,409.83,19.61
11-4-2020T00:00,440.06,19.89
12-4-2020T00:00,444.16,18.79
13-4-2020T00:00,391.05,17.88
14-4-2020T00:00,366.44,16.95
15-4-2020T00:00,330.36,15.48
16-4-2020T00:00,370.30,15.39
17-4-2020T00:00,380.46,15.04
18-4-2020T00:00,436.20,17.44
19-4-2020T00:00,429.86,19.55
20-4-2020T00:00,356.31,15.77
21-4-2020T00:00,362.51,16.43
22-4-2020T00:00,358.00,15.23
23-4-2020T00:00,348.82,14.14
24-4-2020T00:00,361.99,12.88
25-4-2020T00:00,448.68,16.39
26-4-2020T00:00,453.49,17.34
27-4-2020T00:00,358.75,14.27
28-4-2020T00:00,362.14,15.71
29-4-2020T00:00,348.75,13.75
30-4-2020T00:00,377.67,14.90
1-5-2020T00:00,374.66,16.59
2-5-2020T00:00,406.41,16.90
3-5-2020T00:00,408.61,20.41
4-5-2020T00:00,332.04,15.22
5-5-2020T00:00,337.27,13.57
6-5-2020T00:00,315.90,12.25
7-5-2020T00:00,335.71,12.94
8-5-2020T00:00,360.54,12.54
9-5-2020T00:00,399.77,15.83
10-5-2020T00:00,390.89,15.04
11-5-2020T00:00,329.00,14.15
12-5-2020T00:00,331.30,16.56
13-5-2020T00:00,328.38,17.26
14-5-2020T00:00,331.64,14.69
15-5-2020T00:00,351.51,14.69
16-5-2020T00:00,393.81,15.76
17-5-2020T00:00,393.46,16.05
18-5-2020T00:00,326.73,13.26
19-5-2020T00:00,321.96,14.62
20-5-2020T00:00,302.89,11.54
21-5-2020T00:00,325.88,14.83
22-5-2020T00:00,348.47,13.14
23-5-2020T00:00,391.29,14.18
24-5-2020T00:00,404.53,14.43
25-5-2020T00:00,362.88,14.45
26-5-2020T00:00,306.66,11.33
27-5-2020T00:00,292.23,12.06
28-5-2020T00:00,306.80,12.37
29-5-2020T00:00,342.56,11.51
30-5-2020T00:00,370.76,14.74
31-5-2020T00:00,387.93,13.45
1-6-2020T00:00,305.32,12.85
