Time,Players,LFMs
31-10-2020T18:00,350.33,9.58
31-10-2020T19:00,346.92,13.67
31-10-2020T20:00,362.75,10.58
31-10-2020T21:00,344.58,8.83
31-10-2020T22:00,316.33,9.75
31-10-2020T23:00,265.25,9.58
1-11-2020T0:00,209.08,10.75
1-11-2020T1:00,169.83,10.58
1-11-2020T2:00,138.83,5.75
1-11-2020T3:00,151.17,7.00
1-11-2020T4:00,0.00,0.00
1-11-2020T5:00,175.67,7.17
1-11-2020T6:00,179.92,4.67
1-11-2020T7:00,192.75,5.75
1-11-2020T8:00,238.50,10.42
1-11-2020T9:00,282.42,12.50
1-11-2020T10:00,324.67,13.33
1-11-2020T11:00,353.42,13.67
1-11-2020T12:00,375.00,13.55
1-11-2020T13:00,415.40,12.80
1-11-2020T14:00,467.17,11.83
1-11-2020T15:00,474.58,10.33
1-11-2020T16:00,443.25,11.33
1-11-2020T17:00,412.17,16.00
1-11-2020T18:00,382.00,15.08
1-11-2020T19:00,389.33,16.17
1-11-2020T20:00,434.42,14.75
1-11-2020T21:00,399.92,14.67
1-11-2020T22:00,337.67,15.92
1-11-2020T23:00,265.92,16.00
2-11-2020T0:00,209.58,10.58
2-11-2020T1:00,173.92,7.00
2-11-2020T2:00,150.42,5.42
2-11-2020T3:00,123.25,5.25
2-11-2020T4:00,120.67,6.75
2-11-2020T5:00,106.25,6.17
2-11-2020T6:00,116.83,5.25
2-11-2020T7:00,137.83,5.00
2-11-2020T8:00,147.00,6.33
2-11-2020T9:00,172.42,9.42
2-11-2020T10:00,207.08,9.08
2-11-2020T11:00,238.08,14.25
2-11-2020T12:00,258.67,11.92
2-11-2020T13:00,275.25,12.50
2-11-2020T14:00,295.58,12.75
2-11-2020T15:00,328.58,14.33
2-11-2020T16:00,321.92,16.42
2-11-2020T17:00,319.92,13.58
2-11-2020T18:00,327.17,9.50
2-11-2020T19:00,339.42,14.92
2-11-2020T20:00,382.25,15.83
2-11-2020T21:00,380.50,12.42
2-11-2020T22:00,335.25,13.92
2-11-2020T23:00,281.83,8.75
3-11-2020T0:00,223.42,6.00
3-11-2020T1:00,188.08,6.67
3-11-2020T2:00,157.58,7.67
3-11-2020T3:00,128.33,9.42
3-11-2020T4:00,115.83,9.00
3-11-2020T5:00,114.92,8.50
3-11-2020T6:00,123.50,5.92
3-11-2020T7:00,136.42,6.83
3-11-2020T8:00,163.17,5.75
3-11-2020T9:00,185.58,8.42
3-11-2020T10:00,210.58,9.08
3-11-2020T11:00,216.83,10.08
3-11-2020T12:00,256.42,14.25
3-11-2020T13:00,266.58,11.25
3-11-2020T14:00,301.50,13.75
3-11-2020T15:00,337.33,11.67
3-11-2020T16:00,349.50,12.83
3-11-2020T17:00,326.08,11.00
3-11-2020T18:00,346.33,13.83
3-11-2020T19:00,363.83,13.17
3-11-2020T20:00,377.67,11.67
3-11-2020T21:00,372.58,14.58
3-11-2020T22:00,333.83,19.58
3-11-2020T23:00,295.00,14.92
4-11-2020T0:00,243.25,18.58
4-11-2020T1:00,198.75,15.08
4-11-2020T2:00,181.25,13.00
4-11-2020T3:00,143.92,5.58
4-11-2020T4:00,118.75,6.58
4-11-2020T5:00,128.58,8.92
4-11-2020T6:00,141.83,9.92
4-11-2020T7:00,147.42,8.08
4-11-2020T8:00,151.75,8.83
4-11-2020T9:00,162.33,10.00
4-11-2020T10:00,187.25,9.00
4-11-2020T11:00,207.25,8.67
4-11-2020T12:00,240.25,7.17
4-11-2020T13:00,258.75,8.83
4-11-2020T14:00,287.70,9.90
4-11-2020T15:00,301.58,10.92
4-11-2020T16:00,324.42,11.25
4-11-2020T17:00,325.83,12.67
4-11-2020T18:00,281.42,15.17
4-11-2020T19:00,310.50,10.75
4-11-2020T20:00,339.92,10.33
4-11-2020T21:00,330.08,11.75
4-11-2020T22:00,292.17,13.42
4-11-2020T23:00,250.25,12.58
5-11-2020T0:00,222.42,11.50
5-11-2020T1:00,177.08,11.50
5-11-2020T2:00,141.42,12.17
5-11-2020T3:00,131.92,11.17
5-11-2020T4:00,122.25,7.92
5-11-2020T5:00,125.33,8.75
5-11-2020T6:00,121.58,7.00
5-11-2020T7:00,129.50,8.00
5-11-2020T8:00,111.25,6.33
5-11-2020T9:00,2.75,0.00
5-11-2020T10:00,0.00,0.00
5-11-2020T11:00,0.00,0.00
5-11-2020T12:00,0.00,0.00
5-11-2020T13:00,172.09,5.82
5-11-2020T14:00,284.00,7.92
5-11-2020T15:00,332.25,9.58
5-11-2020T16:00,359.25,13.08
5-11-2020T17:00,333.25,13.17
5-11-2020T18:00,319.75,12.92
5-11-2020T19:00,324.08,11.50
5-11-2020T20:00,360.67,11.92
5-11-2020T21:00,364.33,13.75
5-11-2020T22:00,318.83,10.25
5-11-2020T23:00,283.08,12.58
6-11-2020T0:00,214.58,9.17
6-11-2020T1:00,179.17,8.33
6-11-2020T2:00,160.00,6.67
6-11-2020T3:00,142.42,6.75
6-11-2020T4:00,134.83,7.75
6-11-2020T5:00,129.75,6.83
6-11-2020T6:00,144.00,6.50
6-11-2020T7:00,146.00,8.17
6-11-2020T8:00,172.83,6.00
6-11-2020T9:00,216.08,6.50
6-11-2020T10:00,251.83,9.42
6-11-2020T11:00,261.50,6.67
6-11-2020T12:00,291.58,10.83
6-11-2020T13:00,307.67,11.92
6-11-2020T14:00,328.67,12.25
6-11-2020T15:00,354.42,11.42
6-11-2020T16:00,372.42,12.33
6-11-2020T17:00,366.50,12.75
6-11-2020T18:00,351.00,14.50
6-11-2020T19:00,354.58,15.25
6-11-2020T20:00,372.83,14.00
6-11-2020T21:00,387.67,12.33
6-11-2020T22:00,378.17,14.58
6-11-2020T23:00,348.08,15.33
7-11-2020T0:00,289.42,13.67
7-11-2020T1:00,246.25,9.58
7-11-2020T2:00,215.58,6.08
7-11-2020T3:00,185.50,7.50
7-11-2020T4:00,160.25,7.75
7-11-2020T5:00,159.67,6.50
7-11-2020T6:00,168.83,10.42
7-11-2020T7:00,186.08,10.00
7-11-2020T8:00,226.17,9.58
7-11-2020T9:00,262.83,11.67
7-11-2020T10:00,321.67,14.58
7-11-2020T11:00,350.08,14.83
7-11-2020T12:00,380.00,14.75
7-11-2020T13:00,393.17,13.42
7-11-2020T14:00,422.92,16.08
7-11-2020T15:00,424.00,14.92
7-11-2020T16:00,445.33,9.00
7-11-2020T17:00,425.67,12.42
7-11-2020T18:00,422.50,17.67
7-11-2020T19:00,407.75,14.50
7-11-2020T20:00,407.25,12.00
7-11-2020T21:00,389.00,13.42
7-11-2020T22:00,383.92,13.08
7-11-2020T23:00,369.33,14.67
8-11-2020T0:00,305.67,11.67
8-11-2020T1:00,241.42,12.17
8-11-2020T2:00,195.50,10.58
8-11-2020T3:00,177.17,8.00
8-11-2020T4:00,160.58,4.83
8-11-2020T5:00,153.92,8.25
8-11-2020T6:00,170.50,9.67
8-11-2020T7:00,194.50,6.33
8-11-2020T8:00,233.33,8.67
8-11-2020T9:00,291.92,13.58
8-11-2020T10:00,333.42,15.50
8-11-2020T11:00,357.33,16.00
8-11-2020T12:00,383.42,16.25
8-11-2020T13:00,368.92,15.92
8-11-2020T14:00,402.42,15.25
8-11-2020T15:00,452.08,14.83
8-11-2020T16:00,465.75,17.75
8-11-2020T17:00,441.08,17.17
8-11-2020T18:00,408.42,17.92
8-11-2020T19:00,384.25,16.33
