Time,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
05-06-2021T01:00,166,137,131.64,162.55,99.64,157.64,172.91,31.64,107.91
05-06-2021T02:00,135.42,125.42,113.25,128.42,109.17,157.08,153.33,30.25,96.58
05-06-2021T03:00,127.75,117.17,108.58,108.33,101.58,132.08,141.83,28.92,79.08
05-06-2021T04:00,127.83,124,100.33,98.17,82.67,125.33,149.75,26.67,85.33
05-06-2021T05:00,145.25,129.83,120.33,93.83,80.08,140.92,149.33,27.92,86
05-06-2021T06:00,166.33,160.33,136,117.92,89.08,169.25,166.67,27,93.67
05-06-2021T07:00,226.08,174.92,162.67,143.08,115.5,208.92,198.58,32.92,117.67
05-06-2021T08:00,259.33,226.25,185.08,180.83,131.42,251.33,226.83,34.92,164.17
05-06-2021T09:00,307.58,236,223.5,200.75,160.5,273.92,256.83,41.25,193.75
05-06-2021T10:00,348.42,249.92,238.75,225.75,180.67,276.33,257.08,49.67,218.92
05-06-2021T11:00,345.25,266.42,220.67,236,201.33,269.42,279.17,48.83,215
05-06-2021T12:00,371.42,266.08,217.42,249,232.67,261.83,322.75,56.5,220.58
05-06-2021T13:00,392.5,307.08,253.33,262.42,248.5,253.33,336.08,61.33,244.5
05-06-2021T14:00,418,323.5,277,290.42,258.42,284.5,332.17,77,267.17
05-06-2021T15:00,434.67,327.58,279.42,275.17,242.92,304.67,338.83,80.67,262.25
05-06-2021T16:00,384.25,301.83,274.33,270.17,247.33,292.83,331.17,79.58,267.83
05-06-2021T17:00,370,294,235.83,253.75,239.58,267.25,304.42,67.33,268.83
05-06-2021T18:00,355,286.42,232.42,272.5,233.33,272.17,305.5,56.83,277.08
05-06-2021T19:00,377,288.92,247.83,301.92,251.08,299.08,335.92,42.42,280.25
05-06-2021T20:00,403.58,289.83,254.17,336.5,254.17,304.25,377.58,37.92,268.33
05-06-2021T21:00,416.18,296.91,250.64,347.91,246.36,309.64,359.09,41.82,264.64
05-06-2021T22:00,389.83,265.83,252.58,321.17,227.42,287.25,315.67,41.75,244.17
05-06-2021T23:00,296.75,212.83,229.5,260.17,202.33,231.67,267.58,35.17,199.92
06-06-2021T00:00,230.08,156.33,188.17,207.42,156.17,196,218.58,24.83,155.08
06-06-2021T01:00,168.83,123.08,147.08,156.92,132.67,179.67,184.83,25.83,127.25
06-06-2021T02:00,141,114.33,124.75,126.42,118.83,154.42,170.33,34.17,110.17
