Hour,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
0,186.12,147.54,121.08,161.31,112.14,165.04,184.23,27.82,123.81
1,140.56,119.6,101.58,123.14,93.37,140.61,153.83,26.7,93.57
2,119.9,105.69,89.05,102.68,82.88,122.4,133.74,24.58,81.14
3,109.92,97.67,83.56,94.81,83.31,109.19,120.25,23.68,69.5
4,110.43,101.29,88.24,86.24,71.33,109.75,123.19,24.43,68.17
5,117.42,104.74,101.1,86.43,68.24,117.31,129.9,22.08,73.06
6,134.93,119.35,118.21,97.6,77.5,144.08,139.19,21.89,83.11
7,164.24,134.56,135.03,116.74,91.69,172.15,150.94,26.04,97.06
8,204.13,168.26,158.49,145.89,113.11,210.2,183.74,29.05,122.74
9,223.78,175.04,170.35,157.01,129.66,225.79,202.98,34.92,140.74
10,252.99,194.57,189.86,174.18,142.61,229.89,213.5,40.43,158.47
11,264.4,209.15,186.37,181.49,151.81,212.15,223.05,43.9,165.25
12,288.96,220.5,190.58,196.27,172.76,217.1,242.46,50.19,177.71
13,314.21,234.82,215.77,208.76,191.57,225.42,263.56,53.43,198.25
14,341.75,259.63,239.79,228,208.68,239.71,278.58,59.9,208.7
15,348.58,275.61,239.06,243.37,208.93,240.51,275.96,59.86,222.36
16,332.87,269.56,227.88,247.52,192.92,232.14,279.86,56.74,231.19
17,332.52,255.06,205.45,254.61,193.58,234.07,276.13,50.38,216.64
18,351.65,271.99,210.7,276.14,208.54,249.8,287.92,46.24,227.46
19,371.02,299.56,233.76,304.14,223.88,288,307.3,47.44,236.36
20,381.63,294.86,251.96,319.81,235.04,302.13,326,51.21,238.57
21,371.46,273.84,230.84,309.12,224.1,291.25,304.55,46.43,230.1
22,323.2,232.01,193.65,267.9,193.15,253.67,260.12,38.02,201.65
23,243.3,184.42,159.3,213.13,154.89,201.36,217.38,31.67,165.31
