Hour,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
0,236.02,229.40,210.21,246.62,228.49,254.66,304.39,52.69,62.14
1,184.50,186.40,174.15,192.42,180.25,208.68,246.71,44.89,50.54
2,146.06,157.36,150.26,152.35,146.77,173.54,205.52,39.01,41.73
3,121.75,141.17,139.31,128.52,127.32,153.88,181.75,36.48,37.04
4,114.49,138.55,141.90,119.50,122.43,144.53,176.19,35.27,33.70
5,117.82,144.42,149.73,118.39,128.15,148.39,179.79,35.14,33.93
6,129.58,153.38,162.02,123.79,139.67,175.66,195.61,35.98,38.50
7,144.45,171.62,179.47,136.49,157.94,207.06,217.15,38.32,44.15
8,159.65,187.35,191.68,150.73,173.83,220.24,232.03,40.95,48.73
9,185.56,214.05,210.44,178.28,200.57,235.79,261.15,45.53,59.13
10,221.76,251.98,240.76,215.76,238.66,253.02,306.40,53.54,69.80
11,259.24,290.01,272.65,250.22,277.09,257.03,352.51,60.76,78.61
12,289.99,321.28,297.36,280.45,313.13,263.75,390.32,67.98,82.90
13,317.32,348.84,323.46,310.42,344.58,276.76,430.93,77.63,88.35
14,346.54,378.63,353.32,335.29,371.43,292.43,463.11,86.12,92.94
15,367.10,401.71,370.58,351.43,386.26,305.81,480.96,90.42,96.41
16,368.87,402.67,364.43,360.24,387.66,313.80,484.31,90.45,95.79
17,364.48,392.07,342.87,366.05,384.62,319.82,472.06,84.86,94.44
18,375.63,392.10,333.45,387.91,390.73,341.67,472.85,80.19,95.27
19,401.44,408.55,347.29,419.17,406.90,379.35,493.44,78.60,100.07
20,417.33,410.16,362.68,437.83,419.62,406.10,514.72,77.84,103.46
21,403.32,388.52,351.57,425.90,404.13,402.10,498.81,76.03,100.01
22,357.56,343.58,311.02,379.13,354.40,363.45,444.21,70.10,90.09
23,296.89,285.76,258.49,314.15,289.69,308.58,371.00,61.26,76.03
