Time,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
23-02-2020T00:00,179.21,218.81,199.48,188.58,269.05,214.31,186.28,35.19,0
01-03-2020T00:00,179.73,218.03,189.95,192.24,253.04,207.03,177.58,35.9,0
08-03-2020T00:00,184.6,222.65,189.77,192.25,273.91,215.38,182.65,36.17,0
15-03-2020T00:00,241.87,294.68,244.39,252.61,379.69,263.76,238.47,46.13,0
22-03-2020T00:00,302.98,389.21,313.98,331.42,540.85,318.95,303.9,60.75,0
29-03-2020T00:00,319.1,383.86,328.69,348.74,540.81,331.04,310.63,62.92,0
05-04-2020T00:00,325.36,394.39,350.21,352.17,562.58,338.71,340.53,60.37,0
12-04-2020T00:00,317.51,385.98,330.61,352.4,478.23,327.9,390.34,63.3,0
19-04-2020T00:00,302.55,374.93,337.6,353.05,436.11,323.49,396.85,61.89,0
26-04-2020T00:00,304.04,374.39,345.36,359.55,413.3,324.03,427.61,62.59,0
03-05-2020T00:00,291.33,351.6,321.22,327.75,378.95,305.65,428.99,59.94,0
10-05-2020T00:00,296.41,350.52,316.94,330.01,359.87,312.61,422.81,58.63,0
17-05-2020T00:00,291.5,341.28,312.94,332.2,338.93,313.93,432.83,55.7,0
24-05-2020T00:00,283.55,336.95,303.5,333.32,333.34,308.43,451.99,54.45,0
31-05-2020T00:00,276.57,330.07,304.93,318.65,313.58,301.03,468.25,56.96,0
07-06-2020T00:00,273.75,333.44,297.94,322.79,310.78,292.66,500.58,55.03,0
14-06-2020T00:00,278.33,316.68,294,310.59,295.18,285.79,485.21,52.52,0
21-06-2020T00:00,249.54,281.06,249.41,271.24,252.33,253.55,440.42,45.46,368
28-06-2020T00:00,229.94,259.23,243.03,246.59,233.33,237.98,430.32,44.41,501.52
05-07-2020T00:00,222.65,257.4,230.33,240.3,222.34,239.39,435.08,45.99,434.42
12-07-2020T00:00,199.13,242.67,218.91,221.78,206.22,213.67,370.72,38.9,336.4
19-07-2020T00:00,213.26,254.04,227.22,229.08,214.89,229.85,414.15,42.53,275.47
26-07-2020T00:00,223.46,262.24,229.8,243.94,223.66,245.07,414.31,48.04,289.35
02-08-2020T00:00,207.18,226.38,187.48,180.04,191.23,219.63,363.52,78.28,258.75
09-08-2020T00:00,203.52,257.95,218.08,231.77,197.27,247.62,324.9,129.25,204.2
16-08-2020T00:00,209.45,250.6,216.25,221.4,198.46,240.98,358.87,155.61,191.09
23-08-2020T00:00,220.42,269.47,232.49,243.95,210,249.93,389.91,115.26,172.39
30-08-2020T00:00,209.68,260.52,218.18,232.47,198.16,245.15,358.35,83.42,150.18
06-09-2020T00:00,215.27,253.67,219.9,236.39,198,247.95,355.79,79.01,134.21
13-09-2020T00:00,212.35,252.02,214.61,226.22,196.17,248.5,342.94,75.25,100.99
20-09-2020T00:00,242.5,250.36,221.03,225.86,198.9,246.42,304.6,74.26,24.93
27-09-2020T00:00,240.29,228.54,220.87,224.12,186,237.16,304.29,64.35,0
04-10-2020T00:00,256.81,233.49,225.07,245.09,198.36,243.46,312.06,61.88,0
11-10-2020T00:00,273.2,252.21,241.38,265.78,210.97,264.7,318.18,62.95,0
18-10-2020T00:00,274.63,254.57,250.43,265.21,213.36,257.37,320.29,60.36,0
25-10-2020T00:00,273.98,258.6,259.01,262.28,208.74,259.05,319.81,60.67,0
01-11-2020T00:00,286.33,259.76,275.24,267.8,212.88,261.92,320.46,56.61,0
08-11-2020T00:00,291.92,257.51,277.94,269.55,218.71,268.92,317.46,55.36,0
15-11-2020T00:00,289.89,242.11,261.63,247.8,212.18,260.94,308.66,50.73,0
22-11-2020T00:00,297.53,250.16,271.31,261.79,232.09,278.73,328.17,60.46,0
29-11-2020T00:00,289.82,244.49,256.3,250.95,220.23,263.45,303.34,53.52,0
06-12-2020T00:00,292.72,252.75,254.54,250.22,220.5,260.98,301.84,51.47,0
13-12-2020T00:00,296.44,246.59,254.24,239.2,221.48,263.14,304.57,53.28,0
20-12-2020T00:00,318.65,252.19,257.03,256.74,220.94,273.58,315.05,55.71,0
27-12-2020T00:00,353.8,281.09,295.48,290.5,255.88,302.57,354.87,59.05,0
03-01-2021T00:00,313.02,255.94,262.42,249.76,216.37,261.9,312.74,50.63,0
10-01-2021T00:00,321.4,262.69,266.73,249.94,222.89,262.42,316.93,49.49,0
