Time,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
11-06-2021T02:00,112,109,63,121,84,108,126,20,71
11-06-2021T02:05,117,107,64,118,82,106,128,22,67
11-06-2021T02:10,118,103,59,119,77,109,128,22,69
11-06-2021T02:15,110,102,61,118,79,107,124,21,66
11-06-2021T02:20,110,98,59,110,73,108,131,19,66
11-06-2021T02:25,105,93,64,110,69,109,128,21,66
11-06-2021T02:30,103,95,60,111,70,100,128,21,65
11-06-2021T02:35,98,91,60,103,68,103,123,21,65
11-06-2021T02:40,97,87,56,107,68,101,114,17,62
11-06-2021T02:45,102,85,60,110,76,104,116,22,57
11-06-2021T02:50,102,81,57,105,73,100,107,19,59
11-06-2021T02:55,98,81,59,103,73,98,105,20,61
11-06-2021T03:00,97,80,59,106,78,102,107,18,58
11-06-2021T03:05,94,78,54,108,81,97,110,18,58
11-06-2021T03:10,85,84,53,112,79,96,104,18,57
11-06-2021T03:15,86,76,56,113,76,95,109,19,58
11-06-2021T03:20,87,73,57,112,79,91,108,18,58
11-06-2021T03:25,92,82,57,113,81,84,106,18,57
11-06-2021T03:30,96,78,56,113,82,85,106,18,62
11-06-2021T03:35,101,82,57,112,85,83,107,18,68
11-06-2021T03:40,99,86,60,105,87,89,106,19,64
11-06-2021T03:45,100,85,58,103,90,93,105,19,58
11-06-2021T03:50,102,84,57,100,89,93,101,21,62
11-06-2021T03:55,104,80,68,101,90,100,101,20,64
11-06-2021T04:00,100,76,70,96,86,103,99,18,63
11-06-2021T04:05,103,81,64,91,77,103,102,17,60
11-06-2021T04:10,104,83,69,91,70,107,100,16,57
11-06-2021T04:15,105,83,61,88,65,112,104,17,58
11-06-2021T04:20,99,80,64,86,69,110,107,15,60
11-06-2021T04:25,90,86,65,78,67,112,113,15,61
11-06-2021T04:30,88,83,68,80,70,113,111,13,62
11-06-2021T04:35,87,85,68,83,59,111,117,10,60
11-06-2021T04:40,85,87,71,83,67,117,113,10,62
11-06-2021T04:45,86,91,76,85,65,115,108,8,62
11-06-2021T04:50,84,90,79,85,65,116,111,8,59
11-06-2021T04:55,84,89,79,86,66,110,115,8,60
11-06-2021T05:00,90,85,79,86,66,108,120,8,58
11-06-2021T05:05,95,83,81,88,61,105,119,6,59
11-06-2021T05:10,96,84,79,83,62,108,120,5,61
11-06-2021T05:15,104,83,77,80,60,112,120,7,60
11-06-2021T05:20,98,84,83,84,61,106,116,9,57
11-06-2021T05:25,98,87,81,85,58,105,114,11,56
11-06-2021T05:30,96,95,81,82,57,104,113,12,54
11-06-2021T05:35,106,93,85,79,56,106,113,11,55
11-06-2021T05:40,106,91,86,79,55,106,113,8,53
11-06-2021T05:45,103,93,87,79,58,106,109,9,56
11-06-2021T05:50,110,94,88,80,61,111,106,8,60
11-06-2021T05:55,117,102,93,81,61,120,109,10,60
11-06-2021T06:00,113,100,97,78,62,122,109,11,66
11-06-2021T06:05,117,104,99,81,60,123,110,13,63
11-06-2021T06:10,114,97,101,84,61,123,110,14,65
11-06-2021T06:15,111,98,103,89,62,116,110,13,65
11-06-2021T06:20,112,104,106,91,65,120,113,14,69
11-06-2021T06:25,111,109,105,93,69,125,114,18,73
11-06-2021T06:30,115,111,112,95,63,131,121,20,71
11-06-2021T06:35,117,113,116,97,71,132,126,19,67
11-06-2021T06:40,113,116,127,103,81,127,132,20,74
11-06-2021T06:45,113,114,128,103,85,132,130,18,71
11-06-2021T06:50,107,119,130,109,85,138,133,18,74
11-06-2021T06:55,113,113,132,112,84,139,139,15,77
11-06-2021T07:00,117,121,139,114,81,141,143,17,84
11-06-2021T07:05,114,127,147,118,81,145,143,19,80
11-06-2021T07:10,121,131,156,124,82,153,143,19,81
11-06-2021T07:15,122,132,150,129,86,166,143,19,78
11-06-2021T07:20,128,128,149,121,85,169,141,19,80
11-06-2021T07:25,131,130,146,122,91,171,143,21,84
11-06-2021T07:30,128,133,148,125,92,171,143,22,87
11-06-2021T07:35,136,141,146,123,93,169,147,22,86
11-06-2021T07:40,138,140,148,125,93,164,152,23,86
11-06-2021T07:45,145,141,147,133,86,169,150,24,86
11-06-2021T07:50,143,138,147,132,86,171,151,21,87
11-06-2021T07:55,144,135,152,143,90,176,164,23,83
11-06-2021T08:00,145,147,146,140,89,176,164,23,89
11-06-2021T08:05,146,143,146,141,87,174,168,22,89
11-06-2021T08:10,148,146,151,144,85,178,175,22,89
11-06-2021T08:15,154,142,150,145,80,182,174,23,90
11-06-2021T08:20,160,145,150,148,85,193,180,25,90
11-06-2021T08:25,160,142,141,147,88,200,177,26,92
11-06-2021T08:30,165,143,144,150,89,207,176,26,93
11-06-2021T08:35,159,141,140,159,90,209,170,26,90
11-06-2021T08:40,168,145,138,157,95,201,173,27,87
11-06-2021T08:45,164,150,142,158,103,212,176,26,90
11-06-2021T08:50,164,152,137,160,104,220,171,28,103
11-06-2021T08:55,169,151,132,155,107,226,192,27,105
11-06-2021T09:00,172,151,137,156,107,230,190,28,115
11-06-2021T09:05,177,160,143,155,113,240,187,28,114
11-06-2021T09:10,183,160,152,159,115,247,184,29,119
11-06-2021T09:15,188,165,146,152,124,246,180,33,119
11-06-2021T09:20,198,164,148,153,120,239,189,33,119
11-06-2021T09:25,199,163,146,158,122,234,185,34,112
11-06-2021T09:30,207,167,149,159,114,228,190,35,119
11-06-2021T09:35,210,169,151,156,116,230,192,34,127
11-06-2021T09:40,211,172,149,163,113,230,193,35,119
11-06-2021T09:45,214,172,147,168,113,235,188,38,122
11-06-2021T09:50,212,178,153,172,117,231,195,37,126
11-06-2021T09:55,213,174,160,172,119,232,199,38,131
11-06-2021T10:00,211,171,152,166,122,238,205,40,126
11-06-2021T10:05,208,175,151,166,115,243,201,38,127
11-06-2021T10:10,215,168,157,164,112,240,198,38,127
11-06-2021T10:15,226,163,154,166,117,238,193,40,128
11-06-2021T10:20,228,162,147,165,118,240,194,36,131
11-06-2021T10:25,228,156,143,168,119,230,200,36,131
11-06-2021T10:30,234,158,149,181,115,228,197,32,133
11-06-2021T10:35,235,158,150,177,116,222,196,31,132
11-06-2021T10:40,229,158,152,166,120,231,202,32,136
11-06-2021T10:45,223,162,153,171,123,219,190,32,142
11-06-2021T10:50,225,162,154,173,118,225,190,36,136
11-06-2021T10:55,232,167,156,174,123,222,187,32,138
11-06-2021T11:00,237,171,157,176,126,216,189,33,143
11-06-2021T11:05,228,177,156,173,126,208,193,35,146
11-06-2021T11:10,235,178,160,173,123,206,196,36,145
11-06-2021T11:15,236,181,162,171,127,198,192,39,135
11-06-2021T11:20,236,181,160,169,132,196,190,41,138
11-06-2021T11:25,233,178,165,158,132,200,193,44,132
11-06-2021T11:30,238,176,164,155,140,196,195,47,135
11-06-2021T11:35,238,178,164,159,142,197,188,48,133
11-06-2021T11:40,232,186,168,166,147,200,190,47,143
11-06-2021T11:45,228,183,172,163,144,208,190,47,138
11-06-2021T11:50,226,183,175,164,141,207,193,47,144
11-06-2021T11:55,239,189,171,165,140,209,195,53,138
11-06-2021T12:00,243,194,173,165,134,211,189,52,133
11-06-2021T12:05,247,187,168,160,132,216,196,53,139
11-06-2021T12:10,253,178,170,162,130,217,198,46,144
11-06-2021T12:15,248,181,171,169,128,227,196,47,139
11-06-2021T12:20,250,183,175,174,128,226,201,46,138
11-06-2021T12:25,248,185,181,169,125,224,207,49,139
11-06-2021T12:30,250,186,187,174,124,226,212,52,137
11-06-2021T12:35,243,192,185,176,129,231,212,52,144
11-06-2021T12:40,254,199,185,178,128,231,214,51,144
11-06-2021T12:45,252,200,182,178,132,223,207,53,141
11-06-2021T12:50,256,207,184,177,143,226,216,52,145
11-06-2021T12:55,250,206,191,177,152,223,219,48,144
11-06-2021T13:00,246,209,191,174,151,224,220,50,141
11-06-2021T13:05,252,212,193,178,157,222,222,50,140
11-06-2021T13:10,263,214,197,185,162,219,222,54,141
11-06-2021T13:15,260,222,199,190,163,220,227,56,143
11-06-2021T13:20,262,225,200,189,157,218,237,47,151
11-06-2021T13:25,262,226,192,193,174,216,249,46,157
11-06-2021T13:30,264,230,196,195,175,211,243,48,157
11-06-2021T13:35,265,225,188,199,182,214,243,48,159
11-06-2021T13:40,274,218,190,208,185,215,247,46,172
11-06-2021T13:45,279,218,194,206,187,215,249,45,173
11-06-2021T13:50,291,223,192,208,186,209,257,44,172
11-06-2021T13:55,290,219,197,211,185,215,258,42,178
11-06-2021T14:00,296,222,200,202,193,215,256,45,178
11-06-2021T14:05,296,225,205,211,191,223,262,47,184
11-06-2021T14:10,294,228,210,215,200,227,254,46,186
11-06-2021T14:15,295,226,211,212,206,226,248,47,179
11-06-2021T14:20,303,229,214,209,212,239,247,50,179
11-06-2021T14:25,298,235,215,205,207,239,252,51,175
11-06-2021T14:30,299,237,213,212,205,241,253,50,177
11-06-2021T14:35,304,242,209,209,199,241,257,50,186
11-06-2021T14:40,295,243,211,215,200,245,255,49,181
11-06-2021T14:45,304,240,217,216,207,246,255,51,179
11-06-2021T14:50,303,240,226,210,206,255,257,55,181
11-06-2021T14:55,299,241,230,206,208,251,262,57,181
11-06-2021T15:00,305,240,225,215,218,247,256,62,184
11-06-2021T15:05,311,243,231,232,210,243,253,63,191
11-06-2021T15:10,323,255,233,229,203,248,260,66,196
11-06-2021T15:15,323,257,229,236,202,243,269,64,193
11-06-2021T15:20,322,259,225,244,205,239,272,65,192
11-06-2021T15:25,327,265,224,243,209,239,271,63,193
11-06-2021T15:30,329,253,228,245,210,229,283,59,189
11-06-2021T15:35,328,253,230,248,214,224,287,59,192
11-06-2021T15:40,324,254,225,257,210,224,278,64,190
11-06-2021T15:45,335,252,233,256,205,226,280,64,196
11-06-2021T15:50,343,247,238,259,205,217,280,64,202
11-06-2021T15:55,332,256,246,261,200,220,287,63,203
11-06-2021T16:00,339,265,240,259,203,219,280,64,212
11-06-2021T16:05,344,264,247,261,200,215,283,70,208
11-06-2021T16:10,347,263,247,265,195,223,275,67,202
11-06-2021T16:15,340,260,249,268,190,222,276,65,211
11-06-2021T16:20,331,263,252,265,186,229,277,66,211
11-06-2021T16:25,324,264,252,261,183,226,280,63,206
11-06-2021T16:30,310,263,249,259,184,220,289,65,201
11-06-2021T16:35,311,258,246,262,175,228,296,63,195
11-06-2021T16:40,315,258,243,261,175,221,285,64,197
11-06-2021T16:45,312,261,252,270,174,212,284,64,206
11-06-2021T16:50,301,263,244,263,174,211,286,65,206
11-06-2021T16:55,294,257,242,257,166,215,283,63,202
11-06-2021T17:00,296,259,236,256,169,221,281,62,198
11-06-2021T17:05,303,254,237,259,167,217,278,55,205
11-06-2021T17:10,311,255,235,253,164,217,277,59,199
11-06-2021T17:15,315,260,231,258,163,217,270,57,203
11-06-2021T17:20,305,269,218,255,165,216,270,57,205
11-06-2021T17:25,306,257,217,248,178,215,274,56,202
11-06-2021T17:30,304,258,219,245,174,215,280,50,203
11-06-2021T17:35,318,256,211,244,177,207,279,54,201
11-06-2021T17:40,327,259,208,251,178,208,281,54,201
11-06-2021T17:45,331,271,211,248,179,207,279,50,200
11-06-2021T17:50,335,275,214,257,180,211,282,50,200
11-06-2021T17:55,336,262,211,266,176,209,287,53,210
11-06-2021T18:00,339,258,215,265,172,214,287,52,201
11-06-2021T18:05,340,264,222,268,188,214,292,50,201
11-06-2021T18:10,353,263,225,271,195,219,289,48,203
11-06-2021T18:15,355,261,222,271,202,219,284,50,201
11-06-2021T18:20,362,263,223,265,205,216,287,48,199
11-06-2021T18:25,367,260,226,283,207,225,283,49,196
11-06-2021T18:30,364,262,238,288,211,226,284,47,195
11-06-2021T18:35,383,270,238,292,214,235,282,49,196
11-06-2021T18:40,392,277,238,302,210,241,289,48,198
11-06-2021T18:45,386,277,232,304,209,250,287,47,205
11-06-2021T18:50,385,278,238,307,216,255,280,51,205
11-06-2021T18:55,385,279,236,310,222,260,279,52,200
11-06-2021T19:00,382,284,254,314,225,273,279,51,206
11-06-2021T19:05,378,289,262,326,235,277,291,52,203
11-06-2021T19:10,374,297,261,344,227,276,305,56,206
11-06-2021T19:15,383,300,268,344,230,272,311,56,205
11-06-2021T19:20,379,302,269,343,233,267,317,55,211
11-06-2021T19:25,381,297,270,339,237,258,322,65,215
11-06-2021T19:30,375,296,263,352,232,263,328,61,217
11-06-2021T19:35,367,302,270,357,240,264,327,65,216
11-06-2021T19:40,367,298,274,349,242,264,334,68,212
11-06-2021T19:45,369,297,279,340,241,274,334,66,218
11-06-2021T19:50,368,301,285,344,247,287,329,67,219
11-06-2021T19:55,376,294,285,349,257,288,330,68,215
11-06-2021T20:00,377,309,291,350,259,297,341,64,206
11-06-2021T20:05,370,307,290,348,261,305,346,62,206
11-06-2021T20:10,374,311,287,354,261,307,351,64,201
11-06-2021T20:15,386,316,293,353,267,307,358,66,204
11-06-2021T20:20,387,320,293,361,266,304,353,66,209
11-06-2021T20:25,388,313,296,358,262,303,350,63,214
11-06-2021T20:30,387,320,301,365,268,307,347,63,218
11-06-2021T20:35,389,322,299,365,273,303,344,60,222
11-06-2021T20:40,386,321,297,367,267,301,332,60,228
11-06-2021T20:45,391,318,299,359,265,292,336,59,223
11-06-2021T20:50,397,314,306,359,268,298,327,59,219
11-06-2021T20:55,410,302,300,362,258,309,325,62,216
11-06-2021T21:00,401,304,303,361,249,309,320,59,222
11-06-2021T21:05,398,306,295,357,253,319,317,56,222
11-06-2021T21:10,402,302,284,349,251,319,314,57,225
11-06-2021T21:15,403,306,281,335,260,322,311,56,221
11-06-2021T21:20,401,307,274,340,254,323,314,51,213
11-06-2021T21:25,407,295,268,336,245,319,306,49,211
11-06-2021T21:30,401,292,271,336,252,326,305,46,210
11-06-2021T21:35,400,282,263,333,246,325,309,45,212
11-06-2021T21:40,396,271,258,340,249,326,304,46,213
11-06-2021T21:45,398,264,253,327,238,333,313,45,205
11-06-2021T21:50,401,247,258,331,239,327,316,47,209
11-06-2021T21:55,407,238,254,349,237,331,323,47,214
11-06-2021T22:00,398,226,250,343,232,329,315,48,220
