Time,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
28-1-2021T18:45,424,340,290,331,275,276,366,61,0
28-1-2021T19:00,422,327,283,335,275,303,371,57,0
28-1-2021T19:15,412,319,279,347,312,332,389,60,0
28-1-2021T19:30,422,317,282,356,320,340,402,59,0
28-1-2021T19:45,447,335,291,348,319,348,405,62,0
28-1-2021T20:00,462,337,302,366,319,363,422,65,0
28-1-2021T20:15,486,352,321,397,322,368,443,65,0
28-1-2021T20:30,497,353,321,430,332,375,433,66,0
28-1-2021T20:45,494,367,316,439,326,390,441,74,0
28-1-2021T21:00,493,371,322,439,322,390,423,75,0
28-1-2021T21:15,495,381,321,446,326,397,421,74,0
28-1-2021T21:30,508,379,306,446,334,398,411,72,0
28-1-2021T21:45,482,366,318,410,338,407,399,71,0
28-1-2021T22:00,488,345,334,397,338,393,414,70,0
28-1-2021T22:15,460,334,319,370,308,381,380,68,0
28-1-2021T22:30,439,324,310,356,279,364,383,64,0
28-1-2021T22:45,422,312,305,336,269,365,372,53,0
28-1-2021T23:00,389,294,300,333,257,350,359,49,0
28-1-2021T23:15,354,262,303,319,252,338,346,51,0
28-1-2021T23:30,358,244,299,305,232,326,342,46,0
28-1-2021T23:45,343,225,277,301,213,306,338,43,0
29-1-2021T00:00,322,215,256,278,192,297,322,41,0
29-1-2021T00:15,308,217,217,271,181,281,307,45,0
29-1-2021T00:30,292,203,203,258,173,270,286,53,0
29-1-2021T00:45,283,198,201,247,166,250,264,51,0
29-1-2021T01:00,263,194,190,231,150,233,241,48,0
29-1-2021T01:15,253,181,172,214,149,210,228,47,0
29-1-2021T01:30,230,176,184,187,145,198,210,50,0
29-1-2021T01:45,223,174,181,175,142,201,188,41,0
29-1-2021T02:00,201,169,173,173,146,193,178,37,0
29-1-2021T02:15,187,153,166,164,140,193,147,30,0
29-1-2021T02:30,178,155,155,151,119,179,146,22,0
29-1-2021T02:45,168,146,150,137,105,181,141,21,0
29-1-2021T03:00,159,130,144,128,102,177,137,17,0
29-1-2021T03:15,133,131,138,123,95,167,123,22,0
29-1-2021T03:30,123,126,120,119,93,151,116,27,0
29-1-2021T03:45,115,125,130,112,89,137,116,26,0
29-1-2021T04:00,122,127,134,117,94,127,121,28,0
29-1-2021T04:15,120,127,135,105,88,112,122,30,0
29-1-2021T04:30,123,121,139,104,94,114,114,30,0
29-1-2021T04:45,127,125,151,98,97,109,108,30,0
29-1-2021T05:00,135,127,156,96,94,111,108,30,0
29-1-2021T05:15,139,122,160,87,93,117,117,28,0
29-1-2021T05:30,141,122,158,93,87,123,130,31,0
29-1-2021T05:45,150,126,149,104,84,133,131,34,0
29-1-2021T06:00,145,138,142,102,81,136,139,33,0
29-1-2021T06:15,145,135,142,105,96,147,156,33,0
29-1-2021T06:30,158,146,139,96,104,146,152,31,0
29-1-2021T06:45,169,153,151,87,103,167,156,35,0
29-1-2021T07:00,166,143,151,96,107,185,155,38,0
29-1-2021T07:15,160,142,154,100,115,190,156,36,0
29-1-2021T07:30,163,142,157,98,111,199,171,40,0
29-1-2021T07:45,180,141,169,113,106,197,184,42,0
29-1-2021T08:00,185,144,190,127,114,203,181,41,0
29-1-2021T08:15,184,159,191,131,120,203,179,40,0
29-1-2021T08:30,183,171,209,155,121,209,196,43,0
29-1-2021T08:45,184,176,205,157,123,210,193,46,0
29-1-2021T09:00,185,184,215,157,137,218,185,47,0
29-1-2021T09:15,205,184,221,164,131,212,193,40,0
29-1-2021T09:30,219,190,220,178,134,221,205,47,0
29-1-2021T09:45,241,185,230,173,144,225,203,52,0
29-1-2021T10:00,262,200,241,187,159,229,215,53,0
29-1-2021T10:15,261,212,248,189,172,235,223,51,0
29-1-2021T10:30,269,223,265,185,162,239,227,49,0
29-1-2021T10:45,282,236,264,177,155,238,233,51,0
29-1-2021T11:00,273,238,271,182,160,229,248,46,0
29-1-2021T11:15,280,250,281,184,177,210,270,55,0
29-1-2021T11:30,297,238,268,188,182,223,276,54,0
29-1-2021T11:45,300,256,262,192,195,215,287,56,0
29-1-2021T12:00,315,234,266,203,199,231,298,67,0
29-1-2021T12:15,319,252,252,209,211,237,295,59,0
29-1-2021T12:30,326,248,255,217,223,234,319,66,0
29-1-2021T12:45,334,247,259,231,237,248,307,67,0
29-1-2021T13:00,352,259,266,229,241,241,324,76,0
29-1-2021T13:15,349,256,266,243,241,235,332,80,0
29-1-2021T13:30,332,266,275,255,241,237,342,79,0
29-1-2021T13:45,337,282,279,250,241,238,335,76,0
29-1-2021T14:00,348,288,287,264,264,226,345,76,0
29-1-2021T14:15,356,284,291,276,286,225,342,79,0
29-1-2021T14:30,361,293,290,280,277,224,351,70,0
29-1-2021T14:45,379,302,300,280,280,250,350,68,0
29-1-2021T15:00,394,328,298,296,283,234,353,66,0
29-1-2021T15:15,401,321,321,292,280,254,378,67,0
29-1-2021T15:30,408,327,342,286,297,256,383,64,0
29-1-2021T15:45,414,334,340,296,289,254,365,68,0
29-1-2021T16:00,410,347,332,303,305,260,370,66,0
29-1-2021T16:15,427,341,350,299,312,268,394,78,0
29-1-2021T16:30,435,337,352,293,329,267,408,80,0
29-1-2021T16:45,447,340,365,299,328,268,417,81,0
29-1-2021T17:00,460,345,365,296,311,285,425,88,0
29-1-2021T17:15,464,353,355,311,295,301,417,84,0
29-1-2021T17:30,463,358,350,313,286,283,415,83,0
29-1-2021T17:45,442,368,346,333,296,289,422,77,0
29-1-2021T18:00,440,360,351,322,309,267,404,81,0
29-1-2021T18:15,444,346,357,343,308,282,407,76,0
29-1-2021T18:45,475,354,346,362,333,310,405,69,0
