Time,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
14-03-2021T00:00,433.37,331.21,330.36,352.41,286.89,315.43,405.55,67.2,0
15-03-2021T00:00,332.02,263.45,248.17,262.52,207.01,249.16,300.83,49.31,0
16-03-2021T00:00,316.19,254.51,237.14,244.44,205.02,250.34,281.87,51.36,0
17-03-2021T00:00,324.85,250.27,230.88,238.03,200.83,245.86,283.54,48.19,0
18-03-2021T00:00,315.6,252.92,228.83,238.88,204.95,240.89,271.52,49.97,0
19-03-2021T00:00,331.77,267.16,253.46,251.06,213.78,249.39,285.11,51.03,0
20-03-2021T00:00,404.95,318.1,305.11,304.52,267.45,314.25,368.56,66.47,0
21-03-2021T00:00,436.39,336.44,313.76,343.22,286.09,319.14,396.43,68.77,0
22-03-2021T00:00,326.97,250.67,240.67,240.65,205.88,255.57,283.8,51.04,0
23-03-2021T00:00,307.31,251.28,238.45,236.47,201.54,244.19,281.96,46.69,0
24-03-2021T00:00,301.04,240.9,222.97,230.34,195.19,221.23,258.1,47.77,0
25-03-2021T00:00,291.88,241.64,223.94,220.74,196.64,230.51,266.48,44.8,0
26-03-2021T00:00,315.76,255.1,241.92,229.41,204.11,244.67,268.07,47.92,0
27-03-2021T00:00,399.79,306.62,284.61,289.25,255.51,288.38,345.6,62.61,0
28-03-2021T00:00,416.56,324.61,298.48,321.19,259.16,293.94,369.82,64.31,0
29-03-2021T00:00,304.2,240.22,221.84,233.48,194.02,242.4,270.26,50.66,0
30-03-2021T00:00,287.93,234.59,218.62,215.07,193.9,245.33,257.29,46.81,0
31-03-2021T00:00,269.81,214.83,186.64,186.86,168.55,219.31,231.5,41.66,1107.92
01-04-2021T00:00,242.82,188.04,171.79,171.41,157.59,176.61,198.91,40.31,771.12
02-04-2021T00:00,263.31,210.63,188.46,188.11,165.18,204.44,222.05,42.64,842.78
03-04-2021T00:00,297.77,233.64,217.28,217.64,188.31,206.81,259.86,51.5,879.42
04-04-2021T00:00,307.38,232.42,215.12,231.99,184.22,212.78,277.85,49.73,838.05
05-04-2021T00:00,264.11,204.07,190.66,187.67,154,172.59,218.54,46.93,712.47
06-04-2021T00:00,241.85,181.2,165.7,162.84,137.78,173.67,197.62,37.95,627.76
07-04-2021T00:00,229.25,182.33,164.11,160.09,136.5,177.46,188.05,40.7,606.7
08-04-2021T00:00,240.04,187.15,162.2,166.84,131.62,168.18,182.98,35.33,616.34
09-04-2021T00:00,252.11,190.34,176.93,170.63,145.19,182.5,202.02,41.13,605.24
10-04-2021T00:00,311.51,241.76,221.61,218.15,178.71,227.09,257.56,53.81,707.7
11-04-2021T00:00,331.82,258.81,220.88,239.37,203.39,248.31,279.79,54.68,701.81
12-04-2021T00:00,251.77,186.55,160.83,166.35,143.69,185.39,189.64,41.17,545.39
13-04-2021T00:00,238.2,176.38,166.39,157.16,133.34,190.07,180.5,39.37,531.67
14-04-2021T00:00,243.61,178.73,171.93,159.21,135.48,180.64,193.15,41.4,509.4
15-04-2021T00:00,242.09,180.2,159.14,164.99,136.27,182.68,184.38,37.94,511.09
16-04-2021T00:00,242.49,187.14,181.75,183.12,152.14,196.07,199.6,43.9,479.04
17-04-2021T00:00,300.81,223.22,218.25,218.9,186.29,223.66,265.46,53.78,585.54
18-04-2021T00:00,326.55,222.9,217.96,227.01,210.32,238.37,270.61,52.87,606.18
19-04-2021T00:00,247.68,183.85,157.18,163.17,140.34,172.96,202.69,41.21,459.94
20-04-2021T00:00,234.91,176.99,166.47,158.89,143.16,179.59,180.18,37.05,440.75
21-04-2021T00:00,228.86,186.81,168.27,161.89,146.61,186.07,192.52,39.66,410.51
22-04-2021T00:00,345.95,275.21,252.68,230.16,214.78,252.71,267.58,54.47,528.1
23-04-2021T00:00,260.87,217.02,207.61,199.32,162.55,227.67,216.85,44.81,429.73
24-04-2021T00:00,318.15,241.27,240.23,244.89,190.84,254.71,280.65,52.47,504.09
25-04-2021T00:00,347.7,261.71,243.81,263.3,219.74,259.83,303.5,59.65,536.33
26-04-2021T00:00,264.49,198.78,189.18,184.94,144.5,194.51,209.49,45.06,402.42
27-04-2021T00:00,264.23,196.65,180.09,160.78,135.2,200.24,197.35,41.08,381.02
28-04-2021T00:00,249.76,188.15,172.48,161.17,135.2,190.29,194.94,40.38,379.91
29-04-2021T00:00,256.5,195.83,179.57,164.5,149.3,187.8,203.1,39.88,379.75
30-04-2021T00:00,254.78,193.66,193.89,173.27,149.46,196.76,219.53,39.51,381.1
01-05-2021T00:00,313.37,237.42,232.58,224.81,186.66,224.92,265.37,56.27,451.09
02-05-2021T00:00,332.47,248.57,239.94,235.59,203.35,249.31,287.38,55.22,460.73
03-05-2021T00:00,260.34,202.75,196.11,178.6,154.87,212.74,220.36,41.23,370.28
04-05-2021T00:00,245.89,196.52,184.63,170.64,139.41,212.52,204.95,42.07,366.27
05-05-2021T00:00,236.38,195.29,183.26,158.66,141.97,201.35,197.87,37.54,343.59
06-05-2021T00:00,241.32,188.15,175.26,174.2,143.11,198.32,193.14,37.67,328.28
07-05-2021T00:00,231,194.87,179.74,177.34,148.58,204.59,199.05,41.34,313.33
08-05-2021T00:00,302.32,229.25,229.09,226.26,189.05,243.28,253.42,51.15,392.68
09-05-2021T00:00,302.89,233.95,218.9,236.3,200.44,258.52,258.35,57.02,385.09
10-05-2021T00:00,237.09,195.5,172.39,170.91,138.46,200.66,202.43,38.1,315.76
11-05-2021T00:00,229.83,187.36,171.09,172.86,143.44,197.61,188.82,37.25,301.6
12-05-2021T00:00,229.17,189.21,171.73,168.21,141.21,198.72,198.18,43.07,297.48
13-05-2021T00:00,246.52,193.2,178.49,171.66,139.43,193.68,187.98,50.03,297.14
14-05-2021T00:00,242.41,192.77,177.74,176.63,147.19,208.35,190.07,40.55,293.42
15-05-2021T00:00,291.08,229.66,219.36,217.98,177.52,241.04,247.16,50.84,341.97
16-05-2021T00:00,309.26,236.85,229.26,231.28,198.24,249.6,256,50.81,359.89
17-05-2021T00:00,249.36,185.1,180.71,170.85,154.56,180.19,204.58,39.73,273.66
18-05-2021T00:00,232.26,188.82,179.23,156.75,145.77,189.7,194.11,40.65,264.11
19-05-2021T00:00,218.58,187.84,170.9,165.59,139.56,183.73,196.38,39.84,259.29
20-05-2021T00:00,223.86,179.18,162.02,159.58,145.85,186.76,191.44,40.18,244.56
21-05-2021T00:00,226.83,192.16,185.98,173.07,152.65,200.43,202.94,40.96,245.15
22-05-2021T00:00,299.75,233.45,223.89,228.76,185.76,234.46,250.87,50.02,295.95
23-05-2021T00:00,318.44,243.6,227.86,236.76,198.26,250.34,253.16,56.9,303.93
24-05-2021T00:00,244.75,205.63,186.9,182.56,149.45,204.29,210.26,45.8,238.29
25-05-2021T00:00,234.44,187.66,167.28,156.03,139.05,193.4,198.21,38.39,221.96
26-05-2021T00:00,250.66,192.46,161.63,184.62,149.74,191.92,199.23,39.67,240.63
27-05-2021T00:00,236.73,185.84,159.11,174.78,142.75,186.21,189.44,39.7,207.09
28-05-2021T00:00,258.57,197.06,175.89,198.93,152.62,198.13,201.99,40.35,204.19
29-05-2021T00:00,297.3,232.86,207.3,231.33,194.49,237.32,259.91,53.08,233.78
30-05-2021T00:00,311.64,239.13,221.33,233.6,197.19,250.62,260.14,52.39,232.98
31-05-2021T00:00,300.75,218.58,201.83,219.86,183.33,243.5,252.55,48.38,217.01
01-06-2021T00:00,239.66,184.4,165.02,174.35,142.44,204.08,202.75,39.74,175.46
02-06-2021T00:00,238.54,183.59,158.19,160,142.83,194.34,194.4,37.98,164.11
03-06-2021T00:00,244.91,199.6,157.7,167.62,145.14,199.73,200.88,37.96,158.46
04-06-2021T00:00,243.33,189.88,163.85,174.94,146.57,191.64,206.95,37.44,152.08
05-06-2021T00:00,298.16,233.15,201.86,215.42,179.79,240.78,256.65,49.42,189.47
06-06-2021T00:00,313.26,231.82,212.87,240.6,198.27,245.7,276.51,47.19,201.48
07-06-2021T00:00,237.74,187.95,165.07,177.28,135.28,191.04,205.72,40.02,152.76
08-06-2021T00:00,230.15,188.11,159.83,173.75,135.11,188.99,203.49,35.92,141.81
09-06-2021T00:00,221.38,175.94,149.9,159.6,130.61,189.14,194.76,31.28,147.41
10-06-2021T00:00,265.3,206.95,171.65,210.13,162.31,207.21,223.07,39.72,178.81
11-06-2021T00:00,231.77,189.33,158.29,188.27,140.2,193.02,205.6,35.82,140.48
