Time,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
31-10-2020T18:00,397.17,350.33,353.67,411.92,351.92,361.58,470.08,106.17,0.00
31-10-2020T19:00,406.58,346.92,345.67,427.25,318.33,404.25,455.83,98.83,0.00
31-10-2020T20:00,436.92,362.75,344.83,439.75,302.83,424.00,450.50,92.83,0.00
31-10-2020T21:00,443.08,344.58,323.67,431.67,311.17,431.75,429.33,80.83,0.00
31-10-2020T22:00,398.08,316.33,305.58,382.67,272.25,384.58,383.42,79.83,0.00
31-10-2020T23:00,331.92,265.25,270.58,313.83,224.33,325.75,336.92,66.50,0.00
1-11-2020T0:00,249.92,209.08,236.08,247.67,176.00,287.58,290.33,57.58,0.00
1-11-2020T1:00,192.67,169.83,206.00,189.83,145.58,241.08,249.75,46.00,0.00
1-11-2020T2:00,158.83,138.83,181.25,164.25,106.58,210.75,227.08,39.17,0.00
1-11-2020T3:00,146.00,151.17,151.67,130.92,108.42,197.92,210.42,40.17,0.00
1-11-2020T4:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1-11-2020T5:00,173.50,175.67,186.67,133.67,140.00,195.25,200.42,53.58,0.00
1-11-2020T6:00,202.92,179.92,230.17,130.50,163.67,222.67,222.92,47.75,0.00
1-11-2020T7:00,230.83,192.75,270.83,161.00,190.92,246.17,261.92,51.67,0.00
1-11-2020T8:00,249.83,238.50,285.75,221.33,220.17,275.00,301.75,59.50,0.00
1-11-2020T9:00,306.58,282.42,323.92,286.25,263.25,314.92,345.92,69.42,0.00
1-11-2020T10:00,365.58,324.67,373.67,318.75,293.42,345.92,392.08,76.00,0.00
1-11-2020T11:00,434.33,353.42,406.67,367.08,305.33,345.67,445.92,90.08,0.00
1-11-2020T12:00,438.73,375.00,417.64,384.91,349.18,341.27,475.18,91.18,0.00
1-11-2020T13:00,444.20,415.40,424.30,395.00,358.00,349.80,535.90,91.20,0.00
1-11-2020T14:00,455.67,467.17,451.08,431.25,368.25,366.33,564.08,101.58,0.00
1-11-2020T15:00,485.58,474.58,463.67,465.00,370.08,379.50,548.75,113.00,0.00
1-11-2020T16:00,488.42,443.25,453.42,458.67,370.17,388.75,527.08,122.33,0.00
1-11-2020T17:00,475.58,412.17,438.25,452.08,347.00,392.33,537.50,118.92,0.00
1-11-2020T18:00,461.83,382.00,403.08,433.33,335.75,380.83,514.17,99.50,0.00
1-11-2020T19:00,463.75,389.33,378.92,437.17,313.08,406.17,478.50,91.08,0.00
1-11-2020T20:00,483.25,434.42,379.42,466.00,324.25,451.58,477.08,93.42,0.00
1-11-2020T21:00,463.33,399.92,352.58,429.67,304.50,445.00,481.50,90.92,0.00
1-11-2020T22:00,407.17,337.67,313.17,397.67,279.50,394.42,430.83,79.17,0.00
1-11-2020T23:00,338.75,265.92,264.33,328.25,215.33,304.08,348.42,61.00,0.00
2-11-2020T0:00,267.42,209.58,208.42,259.75,170.00,248.25,270.17,43.17,0.00
2-11-2020T1:00,209.75,173.92,178.08,201.50,130.58,187.92,203.17,39.50,0.00
2-11-2020T2:00,157.25,150.42,162.25,143.67,91.17,146.33,183.67,44.50,0.00
2-11-2020T3:00,127.75,123.25,137.75,117.92,90.50,131.00,163.50,35.58,0.00
2-11-2020T4:00,118.58,120.67,148.25,107.25,95.00,138.75,159.25,30.83,0.00
2-11-2020T5:00,125.75,106.25,161.67,96.50,87.50,139.58,160.83,31.50,0.00
2-11-2020T6:00,131.67,116.83,175.42,97.25,89.83,152.50,170.42,29.00,0.00
2-11-2020T7:00,152.00,137.83,193.17,108.17,105.17,202.25,181.42,29.00,0.00
2-11-2020T8:00,157.25,147.00,207.83,142.92,130.75,235.00,204.92,35.75,0.00
2-11-2020T9:00,186.33,172.42,217.75,169.67,162.83,250.83,244.50,32.08,0.00
2-11-2020T10:00,230.17,207.08,223.67,191.67,174.25,240.17,254.67,35.92,0.00
2-11-2020T11:00,256.58,238.08,246.25,226.92,185.83,223.58,278.25,45.08,0.00
2-11-2020T12:00,287.58,258.67,272.83,227.83,213.00,218.75,312.17,54.08,0.00
2-11-2020T13:00,315.08,275.25,283.50,235.00,261.83,231.83,350.83,58.50,0.00
2-11-2020T14:00,358.42,295.58,295.00,274.33,269.58,242.92,371.83,74.67,0.00
2-11-2020T15:00,396.00,328.58,330.50,307.33,270.58,265.75,413.58,82.67,0.00
2-11-2020T16:00,391.17,321.92,329.92,324.92,274.83,273.25,422.83,87.92,0.00
2-11-2020T17:00,375.50,319.92,311.00,348.00,254.50,289.75,415.50,89.00,0.00
2-11-2020T18:00,384.50,327.17,299.83,373.00,254.00,298.00,405.17,83.00,0.00
2-11-2020T19:00,400.83,339.42,345.75,415.33,284.67,327.17,452.83,71.25,0.00
2-11-2020T20:00,437.50,382.25,372.67,476.17,296.50,386.08,483.42,72.58,0.00
2-11-2020T21:00,433.83,380.50,332.58,461.00,288.67,407.67,465.00,78.25,0.00
2-11-2020T22:00,383.08,335.25,325.67,421.17,265.25,364.25,433.92,72.08,0.00
2-11-2020T23:00,303.75,281.83,281.50,357.75,204.75,308.50,380.50,59.00,0.00
3-11-2020T0:00,235.92,223.42,227.75,276.17,158.92,237.08,303.75,42.08,0.00
3-11-2020T1:00,183.17,188.08,200.67,187.92,119.00,198.25,219.25,36.50,0.00
3-11-2020T2:00,160.83,157.58,174.00,132.17,86.67,167.17,184.42,32.33,0.00
3-11-2020T3:00,141.83,128.33,167.08,108.83,80.75,140.83,165.42,31.33,0.00
3-11-2020T4:00,125.75,115.83,155.33,103.58,91.08,118.50,159.58,28.92,0.00
3-11-2020T5:00,127.92,114.92,150.50,99.17,100.42,112.33,152.00,21.67,0.00
3-11-2020T6:00,130.75,123.50,165.83,103.58,103.50,155.25,164.58,28.25,0.00
3-11-2020T7:00,152.17,136.42,172.75,117.17,103.83,181.92,177.58,24.00,0.00
3-11-2020T8:00,179.83,163.17,188.00,129.33,121.42,200.83,207.33,29.00,0.00
3-11-2020T9:00,215.00,185.58,220.08,158.08,145.17,213.00,215.67,38.25,0.00
3-11-2020T10:00,230.67,210.58,240.42,182.25,154.00,225.25,253.17,44.08,0.00
3-11-2020T11:00,263.25,216.83,239.17,217.33,187.08,217.92,300.42,45.75,0.00
3-11-2020T12:00,292.67,256.42,262.83,233.08,217.50,219.75,308.67,53.25,0.00
3-11-2020T13:00,304.25,266.58,312.92,252.17,257.75,215.67,333.58,61.75,0.00
3-11-2020T14:00,308.67,301.50,350.00,272.67,272.17,237.33,364.75,79.17,0.00
3-11-2020T15:00,355.83,337.33,363.75,298.67,273.92,263.92,381.75,81.67,0.00
3-11-2020T16:00,365.92,349.50,353.75,302.42,272.25,270.33,407.58,83.08,0.00
3-11-2020T17:00,351.92,326.08,345.17,320.17,301.33,269.75,420.08,76.75,0.00
3-11-2020T18:00,358.33,346.33,318.83,326.25,273.50,300.83,411.75,73.08,0.00
3-11-2020T19:00,380.33,363.83,336.75,367.33,288.67,337.00,434.75,69.33,0.00
3-11-2020T20:00,403.00,377.67,359.42,396.67,319.00,382.17,480.58,62.75,0.00
3-11-2020T21:00,407.17,372.58,339.08,412.75,301.75,379.58,488.75,57.00,0.00
3-11-2020T22:00,364.67,333.83,292.58,384.58,262.33,321.67,410.33,57.33,0.00
3-11-2020T23:00,306.33,295.00,267.33,310.42,213.58,272.00,342.92,54.58,0.00
4-11-2020T0:00,234.17,243.25,226.67,234.17,163.67,237.75,275.83,51.25,0.00
4-11-2020T1:00,183.17,198.75,191.50,184.00,125.75,188.92,232.33,39.25,0.00
4-11-2020T2:00,158.17,181.25,159.00,151.17,105.08,158.92,184.17,28.83,0.00
4-11-2020T3:00,130.83,143.92,155.83,127.50,88.00,133.08,162.75,24.75,0.00
4-11-2020T4:00,121.75,118.75,145.50,121.58,85.42,120.67,145.92,25.33,0.00
4-11-2020T5:00,120.00,128.58,143.42,112.58,85.75,120.00,144.42,20.42,0.00
4-11-2020T6:00,127.17,141.83,157.50,112.17,87.67,150.25,149.67,21.58,0.00
4-11-2020T7:00,132.67,147.42,177.67,103.33,104.42,188.58,158.25,28.42,0.00
4-11-2020T8:00,143.75,151.75,180.75,117.42,129.50,201.08,157.42,35.33,0.00
4-11-2020T9:00,164.50,162.33,204.17,149.00,157.58,236.83,169.83,39.25,0.00
4-11-2020T10:00,197.25,187.25,222.42,190.58,169.83,243.25,201.33,43.42,0.00
4-11-2020T11:00,240.58,207.25,228.25,211.92,183.83,215.08,245.42,43.42,0.00
4-11-2020T12:00,268.92,240.25,252.17,210.08,206.00,197.42,265.58,51.50,0.00
4-11-2020T13:00,303.08,258.75,263.25,233.83,202.33,193.08,305.67,63.50,0.00
4-11-2020T14:00,311.50,287.70,288.30,249.00,222.70,206.40,344.00,82.00,0.00
4-11-2020T15:00,318.00,301.58,313.58,257.75,259.67,216.50,364.75,86.17,0.00
4-11-2020T16:00,323.58,324.42,343.33,266.25,280.83,249.00,372.33,75.58,0.00
4-11-2020T17:00,305.00,325.83,332.33,289.50,273.25,271.83,332.92,72.17,0.00
4-11-2020T18:00,325.75,281.42,294.50,302.33,279.83,276.25,374.83,76.25,0.00
4-11-2020T19:00,366.50,310.50,308.42,348.92,275.58,312.92,411.25,69.50,0.00
4-11-2020T20:00,402.33,339.92,357.33,384.92,281.17,365.92,450.58,71.00,0.00
4-11-2020T21:00,399.33,330.08,355.25,406.92,266.42,378.67,428.00,77.58,0.00
4-11-2020T22:00,343.25,292.17,291.67,358.25,244.92,323.00,399.08,62.42,0.00
4-11-2020T23:00,281.42,250.25,242.58,308.92,200.50,291.50,338.42,57.25,0.00
5-11-2020T0:00,220.08,222.42,217.08,243.17,151.75,227.50,266.58,36.92,0.00
5-11-2020T1:00,169.67,177.08,170.67,181.58,124.92,183.33,210.83,32.42,0.00
5-11-2020T2:00,141.08,141.42,158.42,147.25,106.83,142.50,171.67,27.92,0.00
5-11-2020T3:00,125.00,131.92,153.50,130.58,98.75,123.17,145.92,30.17,0.00
5-11-2020T4:00,114.75,122.25,155.25,126.08,94.25,126.42,122.75,23.33,0.00
5-11-2020T5:00,118.50,125.33,161.92,121.67,114.42,147.58,126.92,23.92,0.00
5-11-2020T6:00,123.50,121.58,156.25,104.58,104.08,179.50,140.58,26.00,0.00
5-11-2020T7:00,135.08,129.50,149.25,106.42,108.33,191.50,152.75,26.92,0.00
5-11-2020T8:00,115.25,111.25,142.75,104.75,100.33,149.42,149.58,22.08,0.00
5-11-2020T9:00,3.67,2.75,4.58,1.83,2.00,4.33,4.92,0.50,0.00
5-11-2020T10:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5-11-2020T11:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5-11-2020T12:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5-11-2020T13:00,175.55,172.09,200.00,143.36,120.00,73.73,102.55,4.73,0.00
5-11-2020T14:00,286.25,284.00,312.75,250.83,236.25,232.75,355.33,61.08,0.00
5-11-2020T15:00,328.33,332.25,351.92,293.25,274.92,274.17,400.83,67.25,0.00
5-11-2020T16:00,359.83,359.25,363.33,305.75,287.83,296.58,402.33,70.75,0.00
5-11-2020T17:00,379.92,333.25,347.00,332.58,280.42,306.75,410.00,78.33,0.00
5-11-2020T18:00,385.25,319.75,343.17,358.17,272.08,310.58,416.42,79.17,0.00
5-11-2020T19:00,400.92,324.08,339.00,400.58,294.83,353.42,426.08,69.83,0.00
5-11-2020T20:00,443.50,360.67,350.75,461.33,320.83,381.58,468.75,68.50,0.00
5-11-2020T21:00,441.25,364.33,354.58,468.67,319.75,387.50,492.08,66.83,0.00
5-11-2020T22:00,394.33,318.83,335.58,449.83,298.75,364.58,443.83,54.58,0.00
5-11-2020T23:00,321.00,283.08,281.25,379.17,231.00,341.75,373.42,54.42,0.00
6-11-2020T0:00,277.33,214.58,233.83,315.58,180.17,295.83,297.00,51.50,0.00
6-11-2020T1:00,217.25,179.17,187.25,248.75,129.50,204.50,232.42,47.08,0.00
6-11-2020T2:00,177.92,160.00,166.08,191.00,108.25,172.83,192.67,35.00,0.00
6-11-2020T3:00,148.92,142.42,159.83,149.92,96.08,139.00,167.00,28.50,0.00
6-11-2020T4:00,133.08,134.83,157.00,135.08,86.92,126.92,148.67,32.25,0.00
6-11-2020T5:00,122.00,129.75,160.17,120.83,95.75,122.92,145.58,28.92,0.00
6-11-2020T6:00,123.50,144.00,175.00,110.75,110.50,146.08,148.67,31.08,0.00
6-11-2020T7:00,143.67,146.00,194.42,123.25,126.42,194.00,170.25,30.08,0.00
6-11-2020T8:00,165.50,172.83,210.50,144.75,135.67,228.17,195.08,31.58,0.00
6-11-2020T9:00,182.08,216.08,237.42,170.42,160.67,253.83,236.33,35.75,0.00
6-11-2020T10:00,222.25,251.83,264.17,199.75,200.92,278.08,278.33,41.50,0.00
6-11-2020T11:00,258.33,261.50,286.67,227.08,208.17,260.42,298.83,44.50,0.00
6-11-2020T12:00,295.83,291.58,285.58,251.33,223.08,235.50,314.58,62.00,0.00
6-11-2020T13:00,303.83,307.67,294.50,279.00,244.92,248.00,354.83,62.67,0.00
6-11-2020T14:00,325.92,328.67,346.17,291.58,268.92,247.25,381.58,75.33,0.00
6-11-2020T15:00,389.58,354.42,369.92,332.33,286.50,258.67,413.25,79.17,0.00
6-11-2020T16:00,410.83,372.42,388.92,350.08,303.33,275.92,433.75,74.50,0.00
6-11-2020T17:00,394.42,366.50,382.42,348.33,326.17,317.08,421.25,74.83,0.00
6-11-2020T18:00,399.42,351.00,354.17,354.17,328.42,321.83,432.50,81.58,0.00
6-11-2020T19:00,436.58,354.58,371.08,417.75,307.67,364.08,470.17,77.42,0.00
6-11-2020T20:00,448.50,372.83,384.25,457.83,307.25,416.75,494.67,87.83,0.00
6-11-2020T21:00,465.67,387.67,404.42,473.50,340.17,426.50,506.83,87.50,0.00
6-11-2020T22:00,442.08,378.17,374.25,466.67,318.58,412.33,503.33,76.17,0.00
6-11-2020T23:00,386.58,348.08,335.42,421.58,257.92,380.58,453.58,69.50,0.00
7-11-2020T0:00,317.75,289.42,281.83,356.42,212.67,324.50,395.75,68.50,0.00
7-11-2020T1:00,243.33,246.25,243.58,293.67,164.17,274.83,329.00,53.42,0.00
7-11-2020T2:00,205.42,215.58,212.25,220.83,131.92,236.83,273.25,43.92,0.00
7-11-2020T3:00,176.17,185.50,186.08,175.75,106.92,209.00,250.75,41.08,0.00
7-11-2020T4:00,161.00,160.25,179.92,161.50,107.42,174.58,238.00,34.00,0.00
7-11-2020T5:00,151.33,159.67,193.92,152.25,115.25,167.50,232.67,39.83,0.00
7-11-2020T6:00,159.17,168.83,219.83,138.42,148.00,197.42,243.33,38.42,0.00
7-11-2020T7:00,185.33,186.08,253.75,168.08,166.58,237.42,244.58,37.25,0.00
7-11-2020T8:00,240.92,226.17,309.58,239.17,181.83,280.83,277.67,47.50,0.00
7-11-2020T9:00,287.50,262.83,350.67,293.67,221.75,318.25,326.17,53.83,0.00
7-11-2020T10:00,333.25,321.67,368.42,312.08,273.58,334.67,342.58,60.33,0.00
7-11-2020T11:00,370.33,350.08,395.17,327.75,293.08,335.33,405.58,64.50,0.00
7-11-2020T12:00,393.33,380.00,409.67,348.50,306.75,313.00,443.67,62.25,0.00
7-11-2020T13:00,394.17,393.17,401.00,370.92,350.83,318.67,462.92,79.33,0.00
7-11-2020T14:00,437.92,422.92,426.75,384.67,384.75,338.08,507.75,90.92,0.00
7-11-2020T15:00,465.25,424.00,444.08,426.75,395.58,361.17,542.00,97.92,0.00
7-11-2020T16:00,482.42,445.33,460.92,439.58,382.25,393.75,541.33,100.25,0.00
7-11-2020T17:00,495.33,425.67,470.33,425.25,367.75,392.17,533.92,99.67,0.00
7-11-2020T18:00,497.83,422.50,432.67,445.17,365.83,378.33,508.17,90.00,0.00
7-11-2020T19:00,513.17,407.75,391.50,485.17,345.08,370.08,494.67,92.58,0.00
7-11-2020T20:00,519.33,407.25,380.92,510.50,368.75,428.33,499.17,93.33,0.00
7-11-2020T21:00,513.75,389.00,393.83,507.17,381.33,436.42,536.17,85.75,0.00
7-11-2020T22:00,489.92,383.92,387.42,490.17,352.92,442.50,523.25,82.42,0.00
7-11-2020T23:00,414.75,369.33,365.25,439.75,290.25,382.67,484.17,74.75,0.00
8-11-2020T0:00,360.58,305.67,302.92,367.00,221.83,325.25,379.83,74.83,0.00
8-11-2020T1:00,280.33,241.42,261.08,310.08,173.83,286.25,319.50,69.42,0.00
8-11-2020T2:00,229.67,195.50,224.75,249.08,138.00,231.17,267.83,48.50,0.00
8-11-2020T3:00,176.50,177.17,201.58,188.58,133.83,210.00,226.58,47.00,0.00
8-11-2020T4:00,166.50,160.58,188.67,146.67,133.17,187.42,220.42,49.25,0.00
8-11-2020T5:00,186.17,153.92,218.17,131.92,138.42,197.17,227.58,50.83,0.00
8-11-2020T6:00,188.92,170.50,220.42,132.83,137.25,229.33,235.17,59.17,0.00
8-11-2020T7:00,207.08,194.50,244.92,156.17,149.50,264.08,256.58,55.67,0.00
8-11-2020T8:00,244.17,233.33,298.08,192.17,190.50,289.50,293.00,57.25,0.00
8-11-2020T9:00,307.00,291.92,337.58,258.17,248.25,326.75,333.50,80.58,0.00
8-11-2020T10:00,363.42,333.42,367.50,325.75,286.17,330.00,399.08,90.75,0.00
8-11-2020T11:00,406.67,357.33,399.08,344.50,313.50,340.00,415.83,91.50,0.00
8-11-2020T12:00,429.00,383.42,420.00,361.58,344.42,371.17,442.17,90.00,0.00
8-11-2020T13:00,448.25,368.92,433.75,409.25,360.08,406.92,463.08,89.50,0.00
8-11-2020T14:00,471.17,402.42,460.83,432.42,375.83,428.42,503.17,79.67,0.00
8-11-2020T15:00,500.75,452.08,495.42,434.92,391.33,448.67,519.58,91.33,0.00
8-11-2020T16:00,505.67,465.75,493.50,435.83,386.25,409.92,540.92,90.00,0.00
8-11-2020T17:00,506.00,441.08,436.00,437.92,377.33,396.50,527.42,92.00,0.00
8-11-2020T18:00,482.17,408.42,393.75,454.25,369.58,369.08,478.00,82.92,0.00
8-11-2020T19:00,481.50,384.25,401.33,444.92,359.17,374.25,494.33,76.00,0.00
8-11-2020T20:00,488.92,417.42,413.08,481.75,329.83,419.83,510.00,82.33,0.00
8-11-2020T21:00,478.33,378.08,390.58,483.42,329.33,426.17,487.58,84.92,0.00
8-11-2020T22:00,431.33,331.17,348.92,428.92,281.33,357.75,433.75,66.50,0.00
8-11-2020T23:00,342.83,290.50,268.08,367.83,226.50,294.75,358.42,54.00,0.00
