Hour,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis,Wayfinder,Hardcore
0,209.72,165.05,140.28,172.67,129.65,182.72,193.78,32.71,312.33
1,164.73,133.24,115.48,134.62,105.88,153.29,159.36,28.59,247.13
2,136.71,114.36,104.64,107.54,89.88,131.05,135.57,25.54,207.66
3,125.73,109.04,102.39,93.63,81.83,118.74,123.2,24.25,191.39
4,125.92,111.78,109.15,90.52,78.05,113.38,122.72,25.79,186.83
5,135.25,117.05,120.38,94.2,79.51,117.19,125.79,27.48,195.39
6,152.56,127.62,136.94,103.32,88.81,140.93,139.35,28.93,222.97
7,173.48,145.35,156.58,116.97,104.02,167.58,155.45,31.64,260.65
8,212.18,175.63,180.92,143.94,127.82,204.63,187.03,37.91,317.42
9,242.86,197.34,204.36,164.59,147.52,226.92,209.84,43.5,368.4
10,269.38,215.7,219.84,183.95,164.75,232.49,229.83,47.82,397.73
11,293.74,232.06,228.69,198.56,179.3,226.43,247.82,51.23,419.74
12,323.54,250.4,234.11,215.85,199.53,225.44,263.53,55.77,448.79
13,345.54,269.68,255.81,233.85,220.04,234.07,286.6,60.85,473.92
14,373.83,295.78,277.08,250.93,235.43,248.05,307.33,67.61,493
15,384.7,308.65,280.33,262.54,239.1,252.21,310.59,70.33,521.64
16,378.84,300.9,268.35,264.85,233.61,251.2,310.33,67.54,528.4
17,373.53,285.1,245.78,268.83,234.39,256.09,305.38,62.76,516.33
18,389.12,288.69,240.6,289.15,244.46,278.38,310.2,58.68,527.19
19,422.26,308.83,263.03,321.06,255.88,315.94,332.21,58.9,558.33
20,431.84,312.05,279.18,336.89,262.06,330.42,352.18,57.48,565.5
21,401.9,291.25,263.17,319.76,239.27,317.24,330.82,51.25,532.52
22,342.75,253.03,220.16,275.97,202.83,274.99,284.74,44.24,467.96
23,273.32,206.18,175.92,221.05,161.8,224.37,235.08,38.77,389.77
