Hour,Cannith,Orien,Thelanis
0,245.85,237.64,402.19
1,199.02,187.88,324.50
2,171.90,154.46,275.71
3,156.99,133.95,250.46
4,157.48,126.91,245.43
5,167.62,138.55,251.07
6,182.49,155.33,269.10
7,199.14,169.92,297.04
8,202.43,176.93,307.45
9,231.54,208.34,348.29
10,283.39,257.50,417.96
11,324.87,306.46,481.57
12,361.08,340.49,529.05
13,395.89,372.04,583.33
14,437.20,398.13,623.56
15,458.84,407.60,650.47
16,451.06,400.33,652.10
17,435.37,396.05,639.81
18,436.41,413.06,645.88
19,456.36,435.12,676.33
20,456.83,452.36,702.83
21,430.42,436.51,674.12
22,374.23,378.18,596.33
23,308.69,306.22,494.85
