Hour,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
0,229.75,248.96,230.00,275.60,238.65,276.42,402.04
1,178.53,201.31,193.09,215.48,189.32,219.93,322.98
2,142.13,174.12,169.83,174.49,156.17,180.82,275.25
3,120.70,159.16,159.31,149.28,135.72,163.75,250.20
4,117.80,161.60,163.83,139.98,129.54,154.98,246.40
5,125.73,170.86,175.23,140.96,140.94,158.49,252.66
6,139.63,185.66,193.01,153.28,157.76,186.04,272.25
7,151.02,201.07,207.20,167.02,171.93,209.42,298.94
8,153.67,201.83,204.71,172.50,174.09,208.42,301.35
9,179.84,230.82,218.42,200.91,206.51,230.25,341.50
10,223.90,285.90,261.24,250.62,259.21,258.79,413.79
11,261.86,328.51,308.45,294.84,312.51,265.70,480.84
12,295.69,367.64,340.19,327.87,347.27,274.01,532.00
13,330.90,403.06,374.91,362.75,378.53,289.26,590.94
14,363.17,443.95,405.97,392.65,403.23,310.46,627.33
15,378.47,464.00,415.31,403.63,411.77,327.09,650.18
16,371.89,454.63,401.87,408.81,404.31,332.86,651.00
17,364.95,440.36,368.35,418.75,400.09,335.34,641.70
18,385.39,443.53,360.74,452.85,419.75,363.46,651.93
19,417.12,463.60,381.56,494.31,442.27,421.30,684.84
20,432.06,463.82,396.14,509.36,460.63,453.16,711.05
21,420.86,436.20,377.55,482.60,443.52,450.16,681.58
22,371.03,378.61,331.41,428.29,382.22,406.20,601.29
23,303.36,312.60,279.61,350.15,308.46,340.76,497.20
