Hour,Cannith,Ghallanda,Khyber
0,241.42,223.50,272.63
1,196.19,186.56,212.75
2,167.75,165.03,171.00
3,154.64,157.64,144.23
4,153.37,159.20,135.99
5,163.71,168.75,136.63
6,175.90,182.95,146.25
7,184.29,188.14,153.40
8,182.01,190.05,157.55
9,206.93,203.09,186.42
10,266.32,247.84,238.91
11,314.05,293.35,280.17
12,348.34,316.49,309.44
13,381.68,347.17,342.32
14,420.15,379.61,370.86
15,444.95,396.92,392.16
16,439.07,384.61,399.31
17,422.64,350.28,406.86
18,422.11,343.74,436.85
19,444.80,364.25,474.71
20,447.05,378.24,487.79
21,422.10,364.64,465.40
22,365.33,320.35,416.20
23,300.58,271.90,345.83
