Time,Orien
5-4-2020T0:0,650
5-4-2020T0:5,628
5-4-2020T0:10,625
5-4-2020T0:15,605
5-4-2020T0:20,599
5-4-2020T0:25,578
5-4-2020T0:30,568
5-4-2020T0:35,558
5-4-2020T0:40,544
5-4-2020T0:45,537
5-4-2020T0:50,528
5-4-2020T0:55,521
5-4-2020T1:0,518
5-4-2020T1:5,497
5-4-2020T1:10,499
5-4-2020T1:15,488
5-4-2020T1:20,484
5-4-2020T1:25,459
5-4-2020T1:30,453
5-4-2020T1:35,451
5-4-2020T1:40,456
5-4-2020T1:45,454
5-4-2020T1:50,452
5-4-2020T1:55,444
5-4-2020T2:0,428
5-4-2020T2:5,416
5-4-2020T2:10,412
5-4-2020T2:15,409
5-4-2020T2:20,418
5-4-2020T2:25,403
5-4-2020T2:30,405
5-4-2020T2:35,394
5-4-2020T2:40,380
5-4-2020T2:45,381
5-4-2020T2:50,377
5-4-2020T2:55,367
5-4-2020T3:0,364
5-4-2020T3:5,362
5-4-2020T3:10,353
5-4-2020T3:15,349
5-4-2020T3:20,345
5-4-2020T3:25,338
5-4-2020T3:30,337
5-4-2020T3:35,335
5-4-2020T3:40,334
5-4-2020T3:45,345
5-4-2020T3:50,348
5-4-2020T3:55,347
5-4-2020T4:0,361
5-4-2020T4:5,362
5-4-2020T4:10,371
5-4-2020T4:15,371
5-4-2020T4:20,368
5-4-2020T4:25,365
5-4-2020T4:30,369
5-4-2020T4:35,368
5-4-2020T4:40,372
5-4-2020T4:45,368
5-4-2020T4:50,376
5-4-2020T4:55,380
5-4-2020T5:0,380
5-4-2020T5:5,386
5-4-2020T5:10,381
5-4-2020T5:15,379
5-4-2020T5:20,377
5-4-2020T5:25,378
5-4-2020T5:30,377
5-4-2020T5:35,382
5-4-2020T5:40,389
5-4-2020T5:45,394
5-4-2020T5:50,390
5-4-2020T5:55,386
5-4-2020T6:0,390
5-4-2020T6:5,390
5-4-2020T6:10,393
5-4-2020T6:15,391
5-4-2020T6:20,395
5-4-2020T6:25,398
5-4-2020T6:30,404
5-4-2020T6:35,411
5-4-2020T6:40,415
5-4-2020T6:45,420
5-4-2020T6:50,419
5-4-2020T6:55,419
5-4-2020T7:0,422
5-4-2020T7:5,424
5-4-2020T7:10,437
5-4-2020T7:15,443
5-4-2020T7:20,453
5-4-2020T7:25,473
5-4-2020T7:30,474
5-4-2020T7:35,491
5-4-2020T7:40,505
5-4-2020T7:45,518
5-4-2020T7:50,536
5-4-2020T7:55,542
5-4-2020T8:0,545
5-4-2020T8:5,548
5-4-2020T8:10,563
5-4-2020T8:15,559
5-4-2020T8:20,557
5-4-2020T8:25,570
5-4-2020T8:30,586
5-4-2020T8:35,592
5-4-2020T8:40,595
5-4-2020T8:45,601
5-4-2020T8:50,613
5-4-2020T8:55,616
5-4-2020T9:0,606
5-4-2020T9:5,612
5-4-2020T9:10,614
5-4-2020T9:15,614
5-4-2020T9:20,616
5-4-2020T9:25,619
5-4-2020T9:30,631
5-4-2020T9:35,621
5-4-2020T9:40,640
5-4-2020T9:45,645
5-4-2020T9:50,632
5-4-2020T9:55,632
5-4-2020T10:0,632
5-4-2020T10:5,582
5-4-2020T10:10,639
5-4-2020T10:15,654
5-4-2020T10:20,679
5-4-2020T10:25,675
5-4-2020T10:30,718
5-4-2020T10:35,739
5-4-2020T10:40,746
5-4-2020T10:45,748
5-4-2020T10:50,770
5-4-2020T10:55,754
5-4-2020T11:0,765
5-4-2020T11:5,757
5-4-2020T11:10,748
5-4-2020T11:15,756
5-4-2020T11:20,759
5-4-2020T11:25,757
5-4-2020T11:30,757
5-4-2020T11:35,778
5-4-2020T11:40,777
5-4-2020T11:45,788
5-4-2020T11:50,802
5-4-2020T11:55,799
5-4-2020T12:0,800
5-4-2020T12:5,809
5-4-2020T12:10,814
5-4-2020T12:15,822
5-4-2020T12:20,827
5-4-2020T12:25,838
5-4-2020T12:30,843
5-4-2020T12:35,836
5-4-2020T12:40,852
5-4-2020T12:45,853
5-4-2020T12:50,877
5-4-2020T12:55,876
5-4-2020T13:0,878
5-4-2020T13:5,903
5-4-2020T13:10,925
5-4-2020T13:15,949
5-4-2020T13:20,955
5-4-2020T13:25,952
5-4-2020T13:30,968
5-4-2020T13:35,979
5-4-2020T13:40,996
5-4-2020T13:45,994
5-4-2020T13:50,1016
5-4-2020T13:55,1022
5-4-2020T14:0,1015
5-4-2020T14:5,1012
5-4-2020T14:10,1012
5-4-2020T14:15,1017
5-4-2020T14:20,1026
5-4-2020T14:25,1004
5-4-2020T14:30,1007
5-4-2020T14:35,1008
5-4-2020T14:40,986
5-4-2020T14:45,973
5-4-2020T14:50,975
5-4-2020T14:55,975
5-4-2020T15:0,950
5-4-2020T15:5,947
5-4-2020T15:10,959
5-4-2020T15:15,947
5-4-2020T15:20,936
5-4-2020T15:25,919
5-4-2020T15:30,924
5-4-2020T15:35,914
5-4-2020T15:40,915
5-4-2020T15:45,907
5-4-2020T15:50,923
5-4-2020T15:55,920
5-4-2020T16:0,913
5-4-2020T16:5,899
5-4-2020T16:10,904
5-4-2020T16:15,914
5-4-2020T16:20,922
5-4-2020T16:25,920
5-4-2020T16:30,906
5-4-2020T16:35,907
5-4-2020T16:40,910
5-4-2020T16:45,900
5-4-2020T16:50,898
5-4-2020T16:55,887
5-4-2020T17:0,879
5-4-2020T17:5,886
5-4-2020T17:10,864
5-4-2020T17:15,862
5-4-2020T17:20,856
5-4-2020T17:25,867
5-4-2020T17:30,865
5-4-2020T17:35,869
5-4-2020T17:40,877
5-4-2020T17:45,865
5-4-2020T17:50,863
5-4-2020T17:55,854
5-4-2020T18:0,851
5-4-2020T18:5,858
5-4-2020T18:10,858
5-4-2020T18:15,849
5-4-2020T18:20,855
5-4-2020T18:25,848
5-4-2020T18:30,842
5-4-2020T18:35,835
5-4-2020T18:40,836
5-4-2020T18:45,848
5-4-2020T18:50,861
5-4-2020T18:55,858
5-4-2020T19:0,868
5-4-2020T19:5,868
5-4-2020T19:10,868
5-4-2020T19:15,860
5-4-2020T19:20,841
5-4-2020T19:25,848
5-4-2020T19:30,853
5-4-2020T19:35,852
5-4-2020T19:40,861
5-4-2020T19:45,877
5-4-2020T19:50,888
5-4-2020T19:55,875
5-4-2020T20:0,871
5-4-2020T20:5,870
5-4-2020T20:10,860
5-4-2020T20:15,852
5-4-2020T20:20,868
5-4-2020T20:25,855
5-4-2020T20:30,841
5-4-2020T20:35,832
5-4-2020T20:40,819
5-4-2020T20:45,798
5-4-2020T20:50,803
5-4-2020T20:55,808
5-4-2020T21:0,817
5-4-2020T21:5,814
5-4-2020T21:10,811
5-4-2020T21:15,800
5-4-2020T21:20,792
5-4-2020T21:25,790
5-4-2020T21:30,782
5-4-2020T21:35,758
5-4-2020T21:40,751
5-4-2020T21:45,775
5-4-2020T21:50,770
5-4-2020T21:55,759
5-4-2020T22:0,747
5-4-2020T22:5,738
5-4-2020T22:10,725
5-4-2020T22:15,729
5-4-2020T22:20,728
5-4-2020T22:25,705
5-4-2020T22:30,700
5-4-2020T22:35,693
5-4-2020T22:40,691
5-4-2020T22:45,676
5-4-2020T22:50,667
5-4-2020T22:55,646
5-4-2020T23:0,646
5-4-2020T23:5,650
5-4-2020T23:10,653
5-4-2020T23:15,639
5-4-2020T23:20,629
5-4-2020T23:25,635
5-4-2020T23:30,617
5-4-2020T23:35,608
5-4-2020T23:40,592
5-4-2020T23:45,578
5-4-2020T23:50,570
5-4-2020T23:55,560
