Time,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
1-6-2020T00:00,256.59,305.32,278.91,292.86,293.27,282.07,420.41
2-6-2020T00:00,236.97,289.94,275.37,274.56,275.79,266.89,409.72
3-6-2020T00:00,244.63,291.30,268.13,276.85,272.99,257.91,396.80
4-6-2020T00:00,260.54,318.09,283.32,296.67,291.60,280.72,452.60
5-6-2020T00:00,277.72,334.27,308.78,324.95,312.36,301.48,473.83
6-6-2020T00:00,340.00,396.69,364.13,399.38,383.84,375.83,583.59
7-6-2020T00:00,340.55,405.30,381.24,388.13,393.11,365.34,591.31
8-6-2020T00:00,270.31,329.12,285.23,307.25,304.40,294.48,476.43
9-6-2020T00:00,247.09,305.18,269.23,298.39,293.01,270.36,461.34
10-6-2020T00:00,253.05,316.34,283.39,304.71,295.11,280.60,485.45
11-6-2020T00:00,252.20,326.38,279.99,305.33,293.96,277.15,485.79
12-6-2020T00:00,263.83,312.98,274.20,300.76,286.57,267.98,472.89
13-6-2020T00:00,319.45,382.32,350.73,388.84,363.61,334.18,591.74
14-6-2020T00:00,331.94,384.32,361.89,388.76,355.65,351.58,580.30
