Time,Khyber
1-6-2020T00:00,292.86
2-6-2020T00:00,274.56
3-6-2020T00:00,276.85
4-6-2020T00:00,296.67
5-6-2020T00:00,324.95
6-6-2020T00:00,399.38
7-6-2020T00:00,388.13
8-6-2020T00:00,307.25
9-6-2020T00:00,298.39
10-6-2020T00:00,304.71
11-6-2020T00:00,305.33
12-6-2020T00:00,300.76
13-6-2020T00:00,388.84
14-6-2020T00:00,388.76
15-6-2020T00:00,299.66
16-6-2020T00:00,297.64
17-6-2020T00:00,281.89
18-6-2020T00:00,276.68
19-6-2020T00:00,302.51
20-6-2020T00:00,358.65
21-6-2020T00:00,362.09
22-6-2020T00:00,297.83
