Time,Cannith
1-6-2020T00:00,305.32
2-6-2020T00:00,289.94
3-6-2020T00:00,291.30
4-6-2020T00:00,318.09
5-6-2020T00:00,334.27
6-6-2020T00:00,396.69
7-6-2020T00:00,405.30
8-6-2020T00:00,329.12
9-6-2020T00:00,305.18
10-6-2020T00:00,316.34
11-6-2020T00:00,326.38
12-6-2020T00:00,312.98
13-6-2020T00:00,382.32
14-6-2020T00:00,384.32
15-6-2020T00:00,297.44
16-6-2020T00:00,303.69
17-6-2020T00:00,289.98
18-6-2020T00:00,309.52
19-6-2020T00:00,302.72
20-6-2020T00:00,356.93
21-6-2020T00:00,368.43
22-6-2020T00:00,309.03
