Time,Cannith,Orien,Thelanis
1-6-2020T00:00,305.32,293.27,420.41
2-6-2020T00:00,289.94,275.79,409.72
3-6-2020T00:00,291.30,272.99,396.80
4-6-2020T00:00,318.09,291.60,452.60
5-6-2020T00:00,334.27,312.36,473.83
6-6-2020T00:00,396.69,383.84,583.59
7-6-2020T00:00,405.30,393.11,591.31
8-6-2020T00:00,329.12,304.40,476.43
9-6-2020T00:00,305.18,293.01,461.34
10-6-2020T00:00,316.34,295.11,485.45
11-6-2020T00:00,326.38,293.96,485.79
12-6-2020T00:00,312.98,286.57,472.89
13-6-2020T00:00,382.32,363.61,591.74
14-6-2020T00:00,384.32,355.65,580.30
15-6-2020T00:00,297.44,286.93,452.93
16-6-2020T00:00,303.69,282.79,460.83
17-6-2020T00:00,289.98,273.87,448.77
18-6-2020T00:00,309.52,261.41,451.72
19-6-2020T00:00,302.72,287.12,469.64
20-6-2020T00:00,356.93,343.81,558.15
21-6-2020T00:00,368.43,343.59,560.91
22-6-2020T00:00,309.03,266.31,463.55
23-6-2020T00:00,288.64,248.93,432.48
24-6-2020T00:00,267.23,231.33,418.78
25-6-2020T00:00,245.91,216.78,394.61
26-6-2020T00:00,255.72,235.57,412.15
27-6-2020T00:00,303.35,281.73,478.51
28-6-2020T00:00,308.70,290.37,508.89
