Time,Cannith,Ghallanda,Khyber
9-6-2020T00:00,305.18,269.23,298.39
10-6-2020T00:00,316.34,283.39,304.71
11-6-2020T00:00,326.38,279.99,305.33
12-6-2020T00:00,312.98,274.20,300.76
13-6-2020T00:00,382.32,350.73,388.84
14-6-2020T00:00,384.32,361.89,388.76
15-6-2020T00:00,297.44,283.43,299.66
16-6-2020T00:00,303.69,286.53,297.64
17-6-2020T00:00,289.98,259.00,281.89
18-6-2020T00:00,309.52,276.48,276.68
19-6-2020T00:00,302.72,295.90,302.51
20-6-2020T00:00,356.93,326.72,358.65
21-6-2020T00:00,368.43,336.10,362.09
22-6-2020T00:00,309.03,275.66,297.83
23-6-2020T00:00,288.64,247.21,267.52
24-6-2020T00:00,267.23,232.76,244.97
25-6-2020T00:00,245.91,208.18,229.95
26-6-2020T00:00,255.72,226.92,249.24
27-6-2020T00:00,303.35,280.49,305.00
28-6-2020T00:00,308.70,287.22,312.76
29-6-2020T00:00,249.73,229.23,250.76
