Time,Ghallanda
27-6-2020T0:0,246
27-6-2020T0:5,242
27-6-2020T0:10,245
27-6-2020T0:15,244
27-6-2020T0:20,237
27-6-2020T0:25,240
27-6-2020T0:30,241
27-6-2020T0:35,241
27-6-2020T0:40,237
27-6-2020T0:45,243
27-6-2020T0:50,232
27-6-2020T0:55,226
27-6-2020T1:0,220
27-6-2020T1:5,225
27-6-2020T1:10,217
27-6-2020T1:15,215
27-6-2020T1:20,210
27-6-2020T1:25,207
27-6-2020T1:30,204
27-6-2020T1:35,195
27-6-2020T1:40,195
27-6-2020T1:45,193
27-6-2020T1:50,182
27-6-2020T1:55,172
27-6-2020T2:0,169
27-6-2020T2:5,156
27-6-2020T2:10,157
27-6-2020T2:15,152
27-6-2020T2:20,153
27-6-2020T2:25,159
27-6-2020T2:30,161
27-6-2020T2:35,168
27-6-2020T2:40,168
27-6-2020T2:45,168
27-6-2020T2:50,167
27-6-2020T2:55,162
27-6-2020T3:0,162
27-6-2020T3:5,166
27-6-2020T3:10,158
27-6-2020T3:15,159
27-6-2020T3:20,161
27-6-2020T3:25,153
27-6-2020T3:30,155
27-6-2020T3:35,156
27-6-2020T3:40,147
27-6-2020T3:45,152
27-6-2020T3:50,150
27-6-2020T3:55,161
27-6-2020T4:0,167
27-6-2020T4:5,170
27-6-2020T4:10,174
27-6-2020T4:15,175
27-6-2020T4:20,171
27-6-2020T4:25,168
27-6-2020T4:30,170
27-6-2020T4:35,170
27-6-2020T4:40,171
27-6-2020T4:45,172
27-6-2020T4:50,172
27-6-2020T4:55,173
27-6-2020T5:0,174
27-6-2020T5:5,172
27-6-2020T5:10,174
27-6-2020T5:15,171
27-6-2020T5:20,174
27-6-2020T5:25,174
27-6-2020T5:30,173
27-6-2020T5:35,175
27-6-2020T5:40,175
27-6-2020T5:45,172
27-6-2020T5:50,174
27-6-2020T5:55,173
27-6-2020T6:0,175
27-6-2020T6:5,182
27-6-2020T6:10,182
27-6-2020T6:15,184
27-6-2020T6:20,178
27-6-2020T6:25,183
27-6-2020T6:30,182
27-6-2020T6:35,184
27-6-2020T6:40,189
27-6-2020T6:45,192
27-6-2020T6:50,192
27-6-2020T6:55,190
27-6-2020T7:0,190
27-6-2020T7:5,197
27-6-2020T7:10,202
27-6-2020T7:15,206
27-6-2020T7:20,205
27-6-2020T7:25,204
27-6-2020T7:30,204
27-6-2020T7:35,201
27-6-2020T7:40,205
27-6-2020T7:45,205
27-6-2020T7:50,215
27-6-2020T7:55,218
27-6-2020T8:0,227
27-6-2020T8:5,238
27-6-2020T8:10,238
27-6-2020T8:15,242
27-6-2020T8:20,254
27-6-2020T8:25,259
27-6-2020T8:30,258
27-6-2020T8:35,256
27-6-2020T8:40,260
27-6-2020T8:45,264
27-6-2020T8:50,272
27-6-2020T8:55,273
27-6-2020T9:0,272
27-6-2020T9:5,274
27-6-2020T9:10,280
27-6-2020T9:15,280
27-6-2020T9:20,282
27-6-2020T9:25,292
27-6-2020T9:30,304
27-6-2020T9:35,311
27-6-2020T9:40,307
27-6-2020T9:45,308
27-6-2020T9:50,313
27-6-2020T9:55,315
27-6-2020T10:0,310
27-6-2020T10:5,304
27-6-2020T10:10,305
27-6-2020T10:15,312
27-6-2020T10:20,319
27-6-2020T10:25,320
27-6-2020T10:30,323
27-6-2020T10:35,324
27-6-2020T10:40,325
27-6-2020T10:45,319
27-6-2020T10:50,321
27-6-2020T10:55,323
27-6-2020T11:0,332
27-6-2020T11:5,338
27-6-2020T11:10,341
27-6-2020T11:15,341
27-6-2020T11:20,348
27-6-2020T11:25,350
27-6-2020T11:30,338
27-6-2020T11:35,335
27-6-2020T11:40,327
27-6-2020T11:45,322
27-6-2020T11:50,328
27-6-2020T11:55,327
27-6-2020T12:0,322
27-6-2020T12:5,317
27-6-2020T12:10,308
27-6-2020T12:15,315
27-6-2020T12:20,305
27-6-2020T12:25,310
27-6-2020T12:30,308
27-6-2020T12:35,304
27-6-2020T12:40,306
27-6-2020T12:45,306
27-6-2020T12:50,301
27-6-2020T12:55,299
27-6-2020T13:0,300
27-6-2020T13:5,300
27-6-2020T13:10,291
27-6-2020T13:15,300
27-6-2020T13:20,304
27-6-2020T13:25,317
27-6-2020T13:30,321
27-6-2020T13:35,324
27-6-2020T13:40,328
27-6-2020T13:45,329
27-6-2020T13:50,318
27-6-2020T13:55,322
27-6-2020T14:0,339
27-6-2020T14:5,344
27-6-2020T14:10,343
27-6-2020T14:15,354
27-6-2020T14:20,359
27-6-2020T14:25,364
27-6-2020T14:30,351
27-6-2020T14:35,354
27-6-2020T14:40,362
27-6-2020T14:45,366
27-6-2020T14:50,375
27-6-2020T14:55,378
27-6-2020T15:0,375
27-6-2020T15:5,368
27-6-2020T15:10,374
27-6-2020T15:15,381
27-6-2020T15:20,385
27-6-2020T15:25,384
27-6-2020T15:30,383
27-6-2020T15:35,394
27-6-2020T15:40,401
27-6-2020T15:45,397
27-6-2020T15:50,411
27-6-2020T15:55,403
27-6-2020T16:0,400
27-6-2020T16:5,398
27-6-2020T16:10,391
27-6-2020T16:15,383
27-6-2020T16:20,382
27-6-2020T16:25,384
27-6-2020T16:30,378
27-6-2020T16:35,379
27-6-2020T16:40,381
27-6-2020T16:45,385
27-6-2020T16:50,386
27-6-2020T16:55,376
27-6-2020T17:0,376
27-6-2020T17:5,368
27-6-2020T17:10,369
27-6-2020T17:15,362
27-6-2020T17:20,356
27-6-2020T17:25,354
27-6-2020T17:30,344
27-6-2020T17:35,340
27-6-2020T17:40,338
27-6-2020T17:45,333
27-6-2020T17:50,330
27-6-2020T17:55,327
27-6-2020T18:0,327
27-6-2020T18:5,325
27-6-2020T18:10,324
27-6-2020T18:15,324
27-6-2020T18:20,320
27-6-2020T18:25,325
27-6-2020T18:30,338
27-6-2020T18:35,335
27-6-2020T18:40,334
27-6-2020T18:45,347
27-6-2020T18:50,342
27-6-2020T18:55,340
27-6-2020T19:0,344
27-6-2020T19:5,344
27-6-2020T19:10,331
27-6-2020T19:15,338
27-6-2020T19:20,342
27-6-2020T19:25,336
27-6-2020T19:30,341
27-6-2020T19:35,343
27-6-2020T19:40,345
27-6-2020T19:45,342
27-6-2020T19:50,328
27-6-2020T19:55,326
27-6-2020T20:0,332
27-6-2020T20:5,339
27-6-2020T20:10,337
27-6-2020T20:15,337
27-6-2020T20:20,341
27-6-2020T20:25,339
27-6-2020T20:30,341
27-6-2020T20:35,335
27-6-2020T20:40,343
27-6-2020T20:45,331
27-6-2020T20:50,334
27-6-2020T20:55,331
27-6-2020T21:0,336
27-6-2020T21:5,350
27-6-2020T21:10,343
27-6-2020T21:15,343
27-6-2020T21:20,340
27-6-2020T21:25,337
27-6-2020T21:30,336
27-6-2020T21:35,341
27-6-2020T21:40,343
27-6-2020T21:45,337
27-6-2020T21:50,333
27-6-2020T21:55,329
27-6-2020T22:0,333
27-6-2020T22:5,327
27-6-2020T22:10,318
27-6-2020T22:15,326
27-6-2020T22:20,322
27-6-2020T22:25,317
27-6-2020T22:30,322
27-6-2020T22:35,325
27-6-2020T22:40,318
27-6-2020T22:45,306
27-6-2020T22:50,301
27-6-2020T22:55,301
27-6-2020T23:0,291
27-6-2020T23:5,282
27-6-2020T23:10,285
27-6-2020T23:15,268
27-6-2020T23:20,266
27-6-2020T23:25,270
27-6-2020T23:30,268
27-6-2020T23:35,261
27-6-2020T23:40,262
27-6-2020T23:45,269
27-6-2020T23:50,269
27-6-2020T23:55,265
