Time,Ghallanda,Thelanis
4-7-2020T0:0,274,524
4-7-2020T0:5,274,521
4-7-2020T0:10,272,512
4-7-2020T0:15,257,511
4-7-2020T0:20,257,499
4-7-2020T0:25,257,498
4-7-2020T0:30,258,490
4-7-2020T0:35,258,470
4-7-2020T0:40,245,470
4-7-2020T0:45,244,464
4-7-2020T0:50,240,463
4-7-2020T0:55,237,449
4-7-2020T1:0,232,439
4-7-2020T1:5,230,424
4-7-2020T1:10,236,397
4-7-2020T1:15,234,387
4-7-2020T1:20,230,378
4-7-2020T1:25,221,371
4-7-2020T1:30,218,366
4-7-2020T1:35,207,359
4-7-2020T1:40,197,344
4-7-2020T1:45,193,331
4-7-2020T1:50,195,322
4-7-2020T1:55,195,305
4-7-2020T2:0,198,303
4-7-2020T2:5,201,304
4-7-2020T2:10,197,296
4-7-2020T2:15,198,298
4-7-2020T2:20,191,300
4-7-2020T2:25,184,295
4-7-2020T2:30,184,293
4-7-2020T2:35,177,289
4-7-2020T2:40,180,280
4-7-2020T2:45,180,270
4-7-2020T2:50,180,276
4-7-2020T2:55,176,275
4-7-2020T3:0,181,273
4-7-2020T3:5,177,271
4-7-2020T3:10,172,264
4-7-2020T3:15,171,265
4-7-2020T3:20,160,265
4-7-2020T3:25,161,260
4-7-2020T3:30,167,254
4-7-2020T3:35,175,248
4-7-2020T3:40,174,244
4-7-2020T3:45,175,252
4-7-2020T3:50,183,251
4-7-2020T3:55,185,250
4-7-2020T4:0,188,255
4-7-2020T4:5,193,251
4-7-2020T4:10,191,252
4-7-2020T4:15,189,261
4-7-2020T4:20,189,259
4-7-2020T4:25,189,259
4-7-2020T4:30,192,269
4-7-2020T4:35,186,275
4-7-2020T4:40,183,273
4-7-2020T4:45,191,283
4-7-2020T4:50,191,285
4-7-2020T4:55,195,280
4-7-2020T5:0,199,286
4-7-2020T5:5,207,288
4-7-2020T5:10,208,282
4-7-2020T5:15,208,282
4-7-2020T5:20,206,285
4-7-2020T5:25,203,290
4-7-2020T5:30,200,289
4-7-2020T5:35,198,282
4-7-2020T5:40,198,277
4-7-2020T5:45,195,270
4-7-2020T5:50,200,271
4-7-2020T5:55,194,271
4-7-2020T6:0,194,283
4-7-2020T6:5,193,287
4-7-2020T6:10,189,295
4-7-2020T6:15,195,307
4-7-2020T6:20,197,302
4-7-2020T6:25,202,305
4-7-2020T6:30,194,329
4-7-2020T6:35,198,332
4-7-2020T6:40,203,336
4-7-2020T6:45,212,342
4-7-2020T6:50,215,329
4-7-2020T6:55,215,336
4-7-2020T7:0,217,348
4-7-2020T7:5,220,350
4-7-2020T7:10,229,346
4-7-2020T7:15,229,346
4-7-2020T7:20,235,364
4-7-2020T7:25,239,370
4-7-2020T7:30,243,373
4-7-2020T7:35,238,375
4-7-2020T7:40,244,384
4-7-2020T7:45,250,393
4-7-2020T7:50,245,401
4-7-2020T7:55,248,407
4-7-2020T8:0,248,407
4-7-2020T8:5,258,415
4-7-2020T8:10,262,416
4-7-2020T8:15,271,419
4-7-2020T8:20,273,427
4-7-2020T8:25,271,430
4-7-2020T8:30,269,438
4-7-2020T8:35,271,439
4-7-2020T8:40,257,448
4-7-2020T8:45,269,456
4-7-2020T8:50,279,458
4-7-2020T8:55,281,470
4-7-2020T9:0,280,470
4-7-2020T9:5,280,468
4-7-2020T9:10,281,471
4-7-2020T9:15,279,478
4-7-2020T9:20,275,467
4-7-2020T9:25,278,475
4-7-2020T9:30,284,470
4-7-2020T9:35,291,467
4-7-2020T9:40,289,478
4-7-2020T9:45,293,484
4-7-2020T9:50,297,495
4-7-2020T9:55,301,495
4-7-2020T10:0,305,492
4-7-2020T10:5,302,488
4-7-2020T10:10,301,501
4-7-2020T10:15,308,504
4-7-2020T10:20,312,498
4-7-2020T10:25,311,505
4-7-2020T10:30,321,514
4-7-2020T10:35,327,517
4-7-2020T10:40,324,522
4-7-2020T10:45,321,531
4-7-2020T10:50,326,536
4-7-2020T10:55,325,542
4-7-2020T11:0,328,537
4-7-2020T11:5,333,541
4-7-2020T11:10,340,542
4-7-2020T11:15,328,529
4-7-2020T11:20,331,514
4-7-2020T11:25,328,526
4-7-2020T11:30,323,530
4-7-2020T11:35,329,540
4-7-2020T11:40,332,554
4-7-2020T11:45,315,536
4-7-2020T11:50,313,539
4-7-2020T11:55,316,537
4-7-2020T12:0,315,547
4-7-2020T12:5,324,543
4-7-2020T12:10,327,546
4-7-2020T12:15,325,560
4-7-2020T12:20,324,566
4-7-2020T12:25,328,570
4-7-2020T12:30,325,567
4-7-2020T12:35,331,567
4-7-2020T12:40,334,563
4-7-2020T12:45,336,574
4-7-2020T12:50,337,576
4-7-2020T12:55,331,583
4-7-2020T13:0,333,591
4-7-2020T13:5,330,589
4-7-2020T13:10,341,585
4-7-2020T13:15,334,593
4-7-2020T13:20,334,595
4-7-2020T13:25,331,596
4-7-2020T13:30,327,597
4-7-2020T13:35,328,603
4-7-2020T13:40,326,610
4-7-2020T13:45,329,619
4-7-2020T13:50,328,631
4-7-2020T13:55,329,623
4-7-2020T14:0,335,626
4-7-2020T14:5,338,639
4-7-2020T14:10,341,642
4-7-2020T14:15,346,650
4-7-2020T14:20,351,648
4-7-2020T14:25,363,633
4-7-2020T14:30,360,642
4-7-2020T14:35,349,655
4-7-2020T14:40,352,662
4-7-2020T14:45,347,668
4-7-2020T14:50,344,680
4-7-2020T14:55,347,683
4-7-2020T15:0,348,686
4-7-2020T15:5,350,689
4-7-2020T15:10,354,707
4-7-2020T15:15,356,704
4-7-2020T15:20,351,698
4-7-2020T15:25,355,688
4-7-2020T15:30,356,686
4-7-2020T15:35,362,697
4-7-2020T15:40,363,699
4-7-2020T15:45,364,705
4-7-2020T15:50,372,700
4-7-2020T15:55,370,688
4-7-2020T16:0,374,678
4-7-2020T16:5,370,685
4-7-2020T16:10,370,676
4-7-2020T16:15,372,682
4-7-2020T16:20,357,680
4-7-2020T16:25,351,686
4-7-2020T16:30,341,670
4-7-2020T16:35,344,656
4-7-2020T16:40,346,650
4-7-2020T16:45,343,647
4-7-2020T16:50,340,643
4-7-2020T16:55,331,640
4-7-2020T17:0,327,635
4-7-2020T17:5,324,624
4-7-2020T17:10,320,621
4-7-2020T17:15,315,602
4-7-2020T17:20,317,603
4-7-2020T17:25,320,599
4-7-2020T17:30,319,593
4-7-2020T17:35,307,601
4-7-2020T17:40,309,586
4-7-2020T17:45,308,581
4-7-2020T17:50,302,574
4-7-2020T17:55,296,563
4-7-2020T18:0,301,562
4-7-2020T18:5,300,559
4-7-2020T18:10,299,572
4-7-2020T18:15,301,565
4-7-2020T18:20,294,563
4-7-2020T18:25,290,564
4-7-2020T18:30,280,550
4-7-2020T18:35,279,541
4-7-2020T18:40,271,543
4-7-2020T18:45,277,541
4-7-2020T18:50,268,551
4-7-2020T18:55,265,537
4-7-2020T19:0,269,542
4-7-2020T19:5,272,542
4-7-2020T19:10,266,547
4-7-2020T19:15,267,545
4-7-2020T19:20,270,551
4-7-2020T19:25,266,557
4-7-2020T19:30,267,541
4-7-2020T19:35,275,544
4-7-2020T19:40,278,541
4-7-2020T19:45,275,544
4-7-2020T19:50,283,545
4-7-2020T19:55,285,555
4-7-2020T20:0,289,549
4-7-2020T20:5,283,553
4-7-2020T20:10,288,555
4-7-2020T20:15,294,564
4-7-2020T20:20,293,565
4-7-2020T20:25,301,567
4-7-2020T20:30,306,577
4-7-2020T20:35,306,575
4-7-2020T20:40,310,568
4-7-2020T20:45,305,573
4-7-2020T20:50,301,573
4-7-2020T20:55,295,577
4-7-2020T21:0,299,577
4-7-2020T21:5,295,578
4-7-2020T21:10,294,567
4-7-2020T21:15,294,581
4-7-2020T21:20,292,582
4-7-2020T21:25,296,579
4-7-2020T21:30,290,598
4-7-2020T21:35,280,603
4-7-2020T21:40,271,592
4-7-2020T21:45,270,594
4-7-2020T21:50,276,604
4-7-2020T21:55,272,581
4-7-2020T22:0,270,578
4-7-2020T22:5,270,569
4-7-2020T22:10,263,564
4-7-2020T22:15,258,565
4-7-2020T22:20,260,566
4-7-2020T22:25,265,547
4-7-2020T22:30,263,552
4-7-2020T22:35,254,549
4-7-2020T22:40,261,543
4-7-2020T22:45,266,539
4-7-2020T22:50,260,542
4-7-2020T22:55,272,530
4-7-2020T23:0,272,527
4-7-2020T23:5,272,531
4-7-2020T23:10,268,529
4-7-2020T23:15,276,510
4-7-2020T23:20,266,508
4-7-2020T23:25,249,495
4-7-2020T23:30,254,503
4-7-2020T23:35,250,490
4-7-2020T23:40,248,474
4-7-2020T23:45,243,470
4-7-2020T23:50,244,471
4-7-2020T23:55,236,456
