Time,Players,LFMs
20-2-2020T00:00,169.07,8.71
21-2-2020T00:00,183.55,8.16
22-2-2020T00:00,237.82,11.48
23-2-2020T00:00,255.96,12.31
24-2-2020T00:00,183.72,10.27
25-2-2020T00:00,172.19,10.17
26-2-2020T00:00,170.92,8.86
27-2-2020T00:00,177.11,8.52
28-2-2020T00:00,193.87,9.15
29-2-2020T00:00,254.82,12.30
1-3-2020T00:00,262.28,11.68
2-3-2020T00:00,175.12,10.90
3-3-2020T00:00,176.69,9.43
4-3-2020T00:00,163.26,8.99
5-3-2020T00:00,168.56,9.24
6-3-2020T00:00,183.62,9.80
7-3-2020T00:00,228.95,12.10
8-3-2020T00:00,238.55,10.33
9-3-2020T00:00,167.21,8.99
10-3-2020T00:00,167.37,9.19
11-3-2020T00:00,153.14,7.95
12-3-2020T00:00,162.85,9.06
13-3-2020T00:00,182.08,9.56
14-3-2020T00:00,251.39,10.59
15-3-2020T00:00,250.93,12.11
16-3-2020T00:00,190.90,11.71
17-3-2020T00:00,189.43,10.42
18-3-2020T00:00,196.02,9.65
19-3-2020T00:00,219.90,11.45
20-3-2020T00:00,273.88,10.09
21-3-2020T00:00,345.30,12.79
22-3-2020T00:00,347.98,13.80
23-3-2020T00:00,275.23,10.76
24-3-2020T00:00,282.55,11.23
25-3-2020T00:00,266.38,11.18
26-3-2020T00:00,293.81,11.44
27-3-2020T00:00,322.83,12.54
28-3-2020T00:00,387.06,13.18
29-3-2020T00:00,385.55,13.66
30-3-2020T00:00,298.06,11.17
31-3-2020T00:00,287.38,10.17
1-4-2020T00:00,289.69,11.04
2-4-2020T00:00,287.20,12.52
3-4-2020T00:00,331.52,13.40
4-4-2020T00:00,404.41,15.22
5-4-2020T00:00,449.38,14.76
6-4-2020T00:00,364.36,12.83
7-4-2020T00:00,337.79,12.09
8-4-2020T00:00,320.50,13.81
9-4-2020T00:00,302.74,13.09
10-4-2020T00:00,354.44,14.22
11-4-2020T00:00,383.40,14.47
