Time,Players,LFMs
20-2-2020T0:00,105.00,9.00
20-2-2020T1:00,101.33,9.00
20-2-2020T2:00,99.58,7.75
20-2-2020T3:00,86.58,5.00
20-2-2020T4:00,80.92,2.25
20-2-2020T5:00,91.67,7.50
20-2-2020T6:00,107.00,8.75
20-2-2020T7:00,112.92,6.58
20-2-2020T8:00,112.33,6.67
20-2-2020T9:00,126.08,5.42
20-2-2020T10:00,137.75,9.83
20-2-2020T11:00,163.33,11.33
20-2-2020T12:00,173.42,13.67
20-2-2020T13:00,190.75,11.33
20-2-2020T14:00,223.33,8.42
20-2-2020T15:00,248.58,9.17
20-2-2020T16:00,248.42,9.75
20-2-2020T17:00,248.92,7.42
20-2-2020T18:00,239.25,10.42
20-2-2020T19:00,235.33,11.75
20-2-2020T20:00,247.67,9.92
20-2-2020T21:00,247.17,9.58
20-2-2020T22:00,233.17,8.33
20-2-2020T23:00,197.25,10.17
21-2-2020T0:00,159.33,8.83
21-2-2020T1:00,117.17,7.33
21-2-2020T2:00,102.50,4.42
21-2-2020T3:00,88.92,3.50
21-2-2020T4:00,89.17,3.50
21-2-2020T5:00,95.92,3.83
21-2-2020T6:00,95.92,7.00
21-2-2020T7:00,105.58,6.67
21-2-2020T8:00,118.67,6.58
21-2-2020T9:00,146.00,7.50
21-2-2020T10:00,160.17,7.00
21-2-2020T11:00,160.17,11.17
21-2-2020T12:00,170.33,9.58
21-2-2020T13:00,187.17,8.75
21-2-2020T14:00,209.75,12.50
21-2-2020T15:00,253.67,8.58
21-2-2020T16:00,278.75,12.92
21-2-2020T17:00,261.92,10.92
21-2-2020T18:00,240.75,9.50
21-2-2020T19:00,247.00,8.67
21-2-2020T20:00,275.00,10.42
21-2-2020T21:00,284.75,10.08
21-2-2020T22:00,295.50,8.42
21-2-2020T23:00,261.00,8.08
22-2-2020T0:00,214.00,9.83
22-2-2020T1:00,167.58,10.33
22-2-2020T2:00,146.42,8.83
22-2-2020T3:00,126.58,8.92
22-2-2020T4:00,125.00,7.58
22-2-2020T5:00,129.17,7.67
22-2-2020T6:00,141.33,7.25
22-2-2020T7:00,155.08,7.00
22-2-2020T8:00,201.08,9.00
22-2-2020T9:00,242.17,12.83
22-2-2020T10:00,254.50,13.42
22-2-2020T11:00,275.08,9.67
22-2-2020T12:00,273.08,10.00
22-2-2020T13:00,277.83,12.00
22-2-2020T14:00,297.17,15.17
22-2-2020T15:00,317.75,13.50
22-2-2020T16:00,319.42,16.50
22-2-2020T17:00,302.50,15.92
22-2-2020T18:00,270.42,15.58
22-2-2020T19:00,274.33,14.67
22-2-2020T20:00,314.33,13.92
22-2-2020T21:00,324.75,11.58
22-2-2020T22:00,296.00,13.50
22-2-2020T23:00,262.00,10.92
23-2-2020T0:00,242.67,8.75
23-2-2020T1:00,193.08,9.92
23-2-2020T2:00,155.00,7.17
23-2-2020T3:00,128.75,5.75
23-2-2020T4:00,119.92,5.42
23-2-2020T5:00,127.50,9.00
23-2-2020T6:00,157.67,11.00
23-2-2020T7:00,170.58,8.92
23-2-2020T8:00,200.50,10.00
23-2-2020T9:00,251.50,12.67
23-2-2020T10:00,268.08,15.08
23-2-2020T11:00,300.75,18.00
23-2-2020T12:00,335.75,16.17
23-2-2020T13:00,349.58,14.92
23-2-2020T14:00,356.08,16.42
23-2-2020T15:00,375.00,11.42
23-2-2020T16:00,387.42,11.58
23-2-2020T17:00,351.75,15.75
23-2-2020T18:00,310.33,15.17
23-2-2020T19:00,298.00,15.92
23-2-2020T20:00,314.42,17.92
23-2-2020T21:00,301.17,15.67
23-2-2020T22:00,252.50,13.33
23-2-2020T23:00,195.08,9.42
24-2-2020T0:00,176.58,8.25
24-2-2020T1:00,140.42,6.92
24-2-2020T2:00,108.17,5.92
24-2-2020T3:00,88.92,7.83
24-2-2020T4:00,89.92,8.42
24-2-2020T5:00,86.92,6.50
24-2-2020T6:00,88.50,5.83
24-2-2020T7:00,104.83,6.08
24-2-2020T8:00,102.17,5.75
24-2-2020T9:00,119.17,9.33
24-2-2020T10:00,129.50,8.00
24-2-2020T11:00,152.83,11.17
24-2-2020T12:00,192.00,13.17
24-2-2020T13:00,213.17,10.42
24-2-2020T14:00,234.08,12.00
24-2-2020T15:00,259.17,11.83
24-2-2020T16:00,277.58,13.75
24-2-2020T17:00,262.33,18.50
24-2-2020T18:00,266.17,14.00
24-2-2020T19:00,257.08,16.42
24-2-2020T20:00,287.00,12.42
24-2-2020T21:00,305.50,8.25
24-2-2020T22:00,260.83,14.42
24-2-2020T23:00,206.42,11.25
25-2-2020T0:00,156.83,8.83
25-2-2020T1:00,125.00,7.42
25-2-2020T2:00,90.00,8.08
25-2-2020T3:00,73.75,7.33
25-2-2020T4:00,76.00,4.42
25-2-2020T5:00,90.17,4.92
25-2-2020T6:00,85.58,6.42
25-2-2020T7:00,93.00,8.00
25-2-2020T8:00,112.58,8.17
25-2-2020T9:00,120.83,9.08
25-2-2020T10:00,129.58,9.25
25-2-2020T11:00,151.75,8.25
25-2-2020T12:00,171.83,10.50
25-2-2020T13:00,212.58,10.58
25-2-2020T14:00,232.08,14.58
25-2-2020T15:00,252.17,10.58
25-2-2020T16:00,253.75,9.75
25-2-2020T17:00,248.17,15.58
25-2-2020T18:00,217.92,19.33
25-2-2020T19:00,237.17,14.25
25-2-2020T20:00,269.58,10.42
25-2-2020T21:00,291.92,14.67
25-2-2020T22:00,244.67,11.92
25-2-2020T23:00,195.67,11.67
26-2-2020T0:00,145.92,10.58
26-2-2020T1:00,118.92,9.17
26-2-2020T2:00,95.50,7.25
26-2-2020T3:00,78.00,4.33
26-2-2020T4:00,80.17,6.83
26-2-2020T5:00,95.92,7.50
26-2-2020T6:00,104.33,9.17
26-2-2020T7:00,104.17,5.58
26-2-2020T8:00,99.67,5.58
26-2-2020T9:00,3.54,0.15
26-2-2020T10:00,0.00,0.00
26-2-2020T11:00,0.00,0.00
26-2-2020T12:00,184.00,11.08
26-2-2020T13:00,225.00,7.00
26-2-2020T14:00,250.83,8.00
26-2-2020T15:00,262.17,10.00
26-2-2020T16:00,244.83,9.67
26-2-2020T17:00,245.00,11.33
26-2-2020T18:00,217.67,9.92
26-2-2020T19:00,240.33,11.17
26-2-2020T20:00,273.67,14.75
26-2-2020T21:00,278.42,13.50
26-2-2020T22:00,235.50,12.83
26-2-2020T23:00,176.75,9.50
27-2-2020T0:00,137.33,7.67
