Time,Players,LFMs
05-06-2021T01:00,131.64,7
05-06-2021T02:00,113.25,5
05-06-2021T03:00,108.58,4.17
05-06-2021T04:00,100.33,6.58
05-06-2021T05:00,120.33,5.83
05-06-2021T06:00,136,4.42
05-06-2021T07:00,162.67,7.17
05-06-2021T08:00,185.08,8.17
05-06-2021T09:00,223.5,8.75
05-06-2021T10:00,238.75,12.75
05-06-2021T11:00,220.67,10.25
05-06-2021T12:00,217.42,10.5
05-06-2021T13:00,253.33,9
05-06-2021T14:00,277,11.92
05-06-2021T15:00,279.42,9.08
05-06-2021T16:00,274.33,8.5
05-06-2021T17:00,235.83,9.5
05-06-2021T18:00,232.42,8
05-06-2021T19:00,247.83,8.58
05-06-2021T20:00,254.17,12.58
05-06-2021T21:00,250.64,10.91
05-06-2021T22:00,252.58,10.58
05-06-2021T23:00,229.5,9.33
06-06-2021T00:00,188.17,7.58
06-06-2021T01:00,147.08,9.92
06-06-2021T02:00,124.75,6.42
06-06-2021T03:00,108.08,5.5
06-06-2021T04:00,116.92,9.08
06-06-2021T05:00,122.83,4.5
06-06-2021T06:00,133.17,4.5
06-06-2021T07:00,153.92,5.83
06-06-2021T08:00,195.67,5.75
06-06-2021T09:00,215.33,10.25
06-06-2021T10:00,251.17,13.17
06-06-2021T11:00,249.44,15.11
06-06-2021T12:00,239.5,10.5
06-06-2021T13:00,288.42,11.33
06-06-2021T14:00,305.17,10.5
06-06-2021T15:00,304.08,10.42
06-06-2021T16:00,276.08,9.08
06-06-2021T17:00,239.58,8.25
06-06-2021T18:00,227.08,10.58
06-06-2021T19:00,249.83,7.83
06-06-2021T20:00,250.75,8.67
06-06-2021T21:00,218,10.33
06-06-2021T22:00,187.58,9.25
06-06-2021T23:00,146.33,7.33
07-06-2021T00:00,97.33,5.67
07-06-2021T01:00,87.58,3.42
07-06-2021T02:00,85.92,2.5
07-06-2021T03:00,79.25,3
07-06-2021T04:00,82.42,5.75
07-06-2021T05:00,96.67,8.08
07-06-2021T06:00,112.67,7.75
07-06-2021T07:00,127,4.67
07-06-2021T08:00,146.67,5.67
07-06-2021T09:00,170.58,4.42
07-06-2021T10:00,193.17,4
07-06-2021T11:00,190.58,5.33
07-06-2021T12:00,182,4.42
07-06-2021T13:00,202.83,7.58
07-06-2021T14:00,221.17,8.17
07-06-2021T15:00,224.67,6
07-06-2021T16:00,208.58,10.17
07-06-2021T17:00,192.83,6.67
07-06-2021T18:00,207.33,7.17
07-06-2021T19:00,240.5,5.83
07-06-2021T20:00,265.75,6.75
07-06-2021T21:00,239.75,7.67
07-06-2021T22:00,167.42,8.17
07-06-2021T23:00,136.5,1.83
08-06-2021T00:00,109.75,4.83
08-06-2021T01:00,96.08,6.17
08-06-2021T02:00,87.42,6.25
08-06-2021T03:00,80.67,4.17
08-06-2021T04:00,84.17,4.58
08-06-2021T05:00,90.5,4.17
08-06-2021T06:00,106.67,4.42
08-06-2021T07:00,122.58,6
08-06-2021T08:00,132.67,5.25
08-06-2021T09:00,150.58,6.33
08-06-2021T10:00,159.42,5.25
08-06-2021T11:00,162.42,6.75
08-06-2021T12:00,175.58,8.67
08-06-2021T13:00,193.5,7.17
08-06-2021T14:00,232.67,7.58
08-06-2021T15:00,226.25,7.75
08-06-2021T16:00,196.25,5.83
08-06-2021T17:00,181.5,6.08
08-06-2021T18:00,197.42,7.67
08-06-2021T19:00,215.92,6.83
08-06-2021T20:00,223.67,8.17
08-06-2021T21:00,214.83,8.33
08-06-2021T22:00,188.33,8.92
08-06-2021T23:00,150.33,7.17
09-06-2021T00:00,108.67,6.5
09-06-2021T01:00,84,4.58
09-06-2021T02:00,64.92,2.92
09-06-2021T03:00,67.08,4.75
09-06-2021T04:00,76.08,3.58
09-06-2021T05:00,92.92,3.58
09-06-2021T06:00,107.75,5
09-06-2021T07:00,96.08,4.5
09-06-2021T08:00,30,1
09-06-2021T09:00,85.38,4.62
09-06-2021T10:00,145.17,9.33
09-06-2021T11:00,166.83,6.67
09-06-2021T12:00,170.75,8.25
09-06-2021T13:00,185.58,8.5
09-06-2021T14:00,214.67,7.75
09-06-2021T15:00,202.92,11.33
09-06-2021T16:00,199.92,6.42
09-06-2021T17:00,184.5,5.67
09-06-2021T18:00,189.92,7.67
09-06-2021T19:00,206,10.42
09-06-2021T20:00,229.75,11.17
09-06-2021T21:00,205.5,9
09-06-2021T22:00,162.25,5.08
09-06-2021T23:00,119.17,1.92
10-06-2021T00:00,91.67,2.5
10-06-2021T01:00,88.08,4.08
10-06-2021T10:00,84.83,6.83
10-06-2021T11:00,165.92,9
10-06-2021T12:00,169.5,8.17
10-06-2021T13:00,192.67,12
10-06-2021T14:00,214.42,12.5
10-06-2021T15:00,205.5,12.08
10-06-2021T16:00,193.08,6.83
10-06-2021T17:00,183.25,9.17
10-06-2021T18:00,191.33,7.25
10-06-2021T19:00,206.25,7.58
10-06-2021T20:00,243.67,8.33
10-06-2021T21:00,217,9
10-06-2021T22:00,163.17,8.08
10-06-2021T23:00,136.5,3.67
11-06-2021T00:00,102.83,6.17
11-06-2021T01:00,76.08,5.58
11-06-2021T02:00,60.17,5
11-06-2021T03:00,57.67,5.67
11-06-2021T04:00,69.5,3.58
11-06-2021T05:00,83.33,2.5
11-06-2021T06:00,113,5.17
11-06-2021T07:00,147.92,8.58
11-06-2021T08:00,143.08,9.5
11-06-2021T09:00,148.42,9
11-06-2021T10:00,151.5,10.67
11-06-2021T11:00,164.5,9.33
11-06-2021T12:00,179.33,9.33
11-06-2021T13:00,194.08,9.67
11-06-2021T14:00,213.42,11.08
11-06-2021T15:00,230.58,13.67
11-06-2021T16:00,246.92,13.75
11-06-2021T17:00,220.67,11.5
11-06-2021T18:00,229.42,7.92
11-06-2021T19:00,270,10
11-06-2021T20:00,296,11.58
11-06-2021T21:00,271.83,10.42
11-06-2021T22:00,234.25,6.33
11-06-2021T23:00,196.75,5.25
12-06-2021T00:00,149.17,5.83
