Time,Players,LFMs
23-02-2020T00:00,199.48,10.1
01-03-2020T00:00,189.95,10.06
08-03-2020T00:00,189.77,9.53
15-03-2020T00:00,244.39,11.11
22-03-2020T00:00,313.98,11.99
29-03-2020T00:00,328.69,12.43
05-04-2020T00:00,350.21,13.27
12-04-2020T00:00,330.61,13.09
19-04-2020T00:00,337.6,12.06
26-04-2020T00:00,345.36,12.43
03-05-2020T00:00,321.22,11.42
10-05-2020T00:00,316.94,11.61
17-05-2020T00:00,312.94,11.55
24-05-2020T00:00,303.5,11.23
31-05-2020T00:00,304.93,10.83
07-06-2020T00:00,297.94,10.69
14-06-2020T00:00,294,10.9
21-06-2020T00:00,249.41,9.53
28-06-2020T00:00,243.03,9.18
05-07-2020T00:00,230.33,9.06
12-07-2020T00:00,218.91,8.05
19-07-2020T00:00,227.22,8.66
26-07-2020T00:00,229.8,8.35
02-08-2020T00:00,187.48,7.21
09-08-2020T00:00,218.08,8.56
16-08-2020T00:00,216.25,8.46
23-08-2020T00:00,232.49,8.84
30-08-2020T00:00,218.18,8.84
06-09-2020T00:00,219.9,8.77
13-09-2020T00:00,214.61,7.94
20-09-2020T00:00,221.03,8.79
27-09-2020T00:00,220.87,8.76
04-10-2020T00:00,225.07,7.86
11-10-2020T00:00,241.38,9.08
18-10-2020T00:00,250.43,8.86
25-10-2020T00:00,259.01,9.36
01-11-2020T00:00,275.24,9.26
08-11-2020T00:00,277.94,9.68
15-11-2020T00:00,261.63,10.15
22-11-2020T00:00,271.31,9.42
29-11-2020T00:00,256.3,8.65
06-12-2020T00:00,254.54,9.46
13-12-2020T00:00,254.24,8.9
20-12-2020T00:00,257.03,8.84
27-12-2020T00:00,295.48,10.04
03-01-2021T00:00,262.42,9.17
10-01-2021T00:00,266.73,7.64
17-01-2021T00:00,266.69,8.48
24-01-2021T00:00,261.52,8.64
31-01-2021T00:00,257.47,7.85
07-02-2021T00:00,252.4,8.98
14-02-2021T00:00,252.05,9.29
21-02-2021T00:00,274.63,9
28-02-2021T00:00,280.2,10.25
07-03-2021T00:00,270.32,8.94
14-03-2021T00:00,259.78,8.98
21-03-2021T00:00,248.8,8.89
28-03-2021T00:00,198.33,7.49
04-04-2021T00:00,183.4,7.32
11-04-2021T00:00,179.6,6.79
18-04-2021T00:00,176.49,7.19
25-04-2021T00:00,196.21,7.64
02-05-2021T00:00,193.75,7.3
09-05-2021T00:00,184.93,7.35
16-05-2021T00:00,188.84,7.82
23-05-2021T00:00,175.82,7.06
