Time,Players,LFMs
11-06-2021T02:00,63,4
11-06-2021T02:05,64,4
11-06-2021T02:10,59,4
11-06-2021T02:15,61,4
11-06-2021T02:20,59,4
11-06-2021T02:25,64,4
11-06-2021T02:30,60,4
11-06-2021T02:35,60,5
11-06-2021T02:40,56,6
11-06-2021T02:45,60,5
11-06-2021T02:50,57,8
11-06-2021T02:55,59,8
11-06-2021T03:00,59,8
11-06-2021T03:05,54,6
11-06-2021T03:10,53,4
11-06-2021T03:15,56,6
11-06-2021T03:20,57,6
11-06-2021T03:25,57,7
11-06-2021T03:30,56,6
11-06-2021T03:35,57,6
11-06-2021T03:40,60,6
11-06-2021T03:45,58,5
11-06-2021T03:50,57,4
11-06-2021T03:55,68,4
11-06-2021T04:00,70,4
11-06-2021T04:05,64,5
11-06-2021T04:10,69,5
11-06-2021T04:15,61,4
11-06-2021T04:20,64,3
11-06-2021T04:25,65,3
11-06-2021T04:30,68,3
11-06-2021T04:35,68,3
11-06-2021T04:40,71,3
11-06-2021T04:45,76,3
11-06-2021T04:50,79,4
11-06-2021T04:55,79,3
11-06-2021T05:00,79,3
11-06-2021T05:05,81,2
11-06-2021T05:10,79,3
11-06-2021T05:15,77,2
11-06-2021T05:20,83,2
11-06-2021T05:25,81,4
11-06-2021T05:30,81,5
11-06-2021T05:35,85,3
11-06-2021T05:40,86,1
11-06-2021T05:45,87,1
11-06-2021T05:50,88,2
11-06-2021T05:55,93,2
11-06-2021T06:00,97,3
11-06-2021T06:05,99,3
11-06-2021T06:10,101,5
11-06-2021T06:15,103,4
11-06-2021T06:20,106,3
11-06-2021T06:25,105,4
11-06-2021T06:30,112,7
11-06-2021T06:35,116,8
11-06-2021T06:40,127,5
11-06-2021T06:45,128,5
11-06-2021T06:50,130,7
11-06-2021T06:55,132,8
11-06-2021T07:00,139,8
11-06-2021T07:05,147,7
11-06-2021T07:10,156,8
11-06-2021T07:15,150,9
11-06-2021T07:20,149,9
11-06-2021T07:25,146,9
11-06-2021T07:30,148,9
11-06-2021T07:35,146,7
11-06-2021T07:40,148,9
11-06-2021T07:45,147,9
11-06-2021T07:50,147,9
11-06-2021T07:55,152,10
11-06-2021T08:00,146,11
11-06-2021T08:05,146,12
11-06-2021T08:10,151,11
11-06-2021T08:15,150,8
11-06-2021T08:20,150,12
11-06-2021T08:25,141,12
11-06-2021T08:30,144,8
11-06-2021T08:35,140,9
11-06-2021T08:40,138,10
11-06-2021T08:45,142,7
11-06-2021T08:50,137,8
11-06-2021T08:55,132,6
11-06-2021T09:00,137,10
11-06-2021T09:05,143,11
11-06-2021T09:10,152,10
11-06-2021T09:15,146,11
11-06-2021T09:20,148,11
11-06-2021T09:25,146,10
11-06-2021T09:30,149,9
11-06-2021T09:35,151,6
11-06-2021T09:40,149,7
11-06-2021T09:45,147,6
11-06-2021T09:50,153,8
11-06-2021T09:55,160,9
11-06-2021T10:00,152,8
11-06-2021T10:05,151,11
11-06-2021T10:10,157,13
11-06-2021T10:15,154,10
11-06-2021T10:20,147,9
11-06-2021T10:25,143,7
11-06-2021T10:30,149,12
11-06-2021T10:35,150,13
11-06-2021T10:40,152,12
11-06-2021T10:45,153,12
11-06-2021T10:50,154,11
11-06-2021T10:55,156,10
11-06-2021T11:00,157,11
11-06-2021T11:05,156,12
11-06-2021T11:10,160,10
11-06-2021T11:15,162,8
11-06-2021T11:20,160,9
11-06-2021T11:25,165,8
11-06-2021T11:30,164,9
11-06-2021T11:35,164,10
11-06-2021T11:40,168,10
11-06-2021T11:45,172,8
11-06-2021T11:50,175,9
11-06-2021T11:55,171,8
11-06-2021T12:00,173,8
11-06-2021T12:05,168,10
11-06-2021T12:10,170,10
11-06-2021T12:15,171,10
11-06-2021T12:20,175,11
11-06-2021T12:25,181,10
11-06-2021T12:30,187,11
11-06-2021T12:35,185,11
11-06-2021T12:40,185,10
11-06-2021T12:45,182,9
11-06-2021T12:50,184,8
11-06-2021T12:55,191,4
11-06-2021T13:00,191,7
11-06-2021T13:05,193,10
11-06-2021T13:10,197,10
11-06-2021T13:15,199,8
11-06-2021T13:20,200,6
11-06-2021T13:25,192,8
11-06-2021T13:30,196,11
11-06-2021T13:35,188,10
