Time,Players,LFMs
3-4-2020T00:00,331.52,13.40
4-4-2020T00:00,404.41,15.22
5-4-2020T00:00,449.38,14.76
6-4-2020T00:00,364.36,12.83
7-4-2020T00:00,337.79,12.09
8-4-2020T00:00,320.50,13.81
9-4-2020T00:00,302.74,13.09
10-4-2020T00:00,354.44,14.22
11-4-2020T00:00,383.40,14.47
12-4-2020T00:00,385.02,12.84
13-4-2020T00:00,331.03,12.68
14-4-2020T00:00,306.02,12.25
15-4-2020T00:00,285.33,11.78
16-4-2020T00:00,302.26,12.82
17-4-2020T00:00,327.48,13.20
18-4-2020T00:00,380.85,15.44
19-4-2020T00:00,386.59,13.74
20-4-2020T00:00,310.72,12.80
21-4-2020T00:00,313.98,12.76
22-4-2020T00:00,312.56,12.49
23-4-2020T00:00,302.21,9.74
24-4-2020T00:00,323.48,9.62
25-4-2020T00:00,421.74,15.08
26-4-2020T00:00,439.70,12.97
27-4-2020T00:00,329.27,10.93
28-4-2020T00:00,332.54,11.88
29-4-2020T00:00,316.91,12.16
30-4-2020T00:00,321.55,12.94
1-5-2020T00:00,366.14,13.52
2-5-2020T00:00,388.03,13.74
3-5-2020T00:00,384.73,13.57
4-5-2020T00:00,306.62,11.02
5-5-2020T00:00,306.44,11.31
6-5-2020T00:00,290.75,11.97
7-5-2020T00:00,293.73,11.34
8-5-2020T00:00,323.18,10.30
9-5-2020T00:00,372.38,11.08
10-5-2020T00:00,362.78,13.09
11-5-2020T00:00,292.66,10.45
12-5-2020T00:00,294.16,12.26
13-5-2020T00:00,292.89,12.06
14-5-2020T00:00,279.35,11.12
15-5-2020T00:00,324.91,12.85
16-5-2020T00:00,364.85,10.93
17-5-2020T00:00,379.61,12.01
18-5-2020T00:00,308.95,11.49
19-5-2020T00:00,290.80,10.15
20-5-2020T00:00,276.95,10.82
21-5-2020T00:00,291.27,12.10
22-5-2020T00:00,325.23,11.72
23-5-2020T00:00,359.25,12.45
24-5-2020T00:00,358.22,12.17
25-5-2020T00:00,338.26,12.41
26-5-2020T00:00,276.19,10.08
27-5-2020T00:00,260.85,10.47
28-5-2020T00:00,278.51,10.63
29-5-2020T00:00,292.17,11.63
30-5-2020T00:00,328.31,11.97
31-5-2020T00:00,368.90,13.19
1-6-2020T00:00,278.91,10.70
