Time,Players,LFMs
31-10-2020T18:00,353.67,10.42
31-10-2020T19:00,345.67,9.83
31-10-2020T20:00,344.83,10.25
31-10-2020T21:00,323.67,7.75
31-10-2020T22:00,305.58,10.58
31-10-2020T23:00,270.58,8.42
1-11-2020T0:00,236.08,5.83
1-11-2020T1:00,206.00,6.50
1-11-2020T2:00,181.25,7.33
1-11-2020T3:00,151.67,7.75
1-11-2020T4:00,0.00,0.00
1-11-2020T5:00,186.67,7.17
1-11-2020T6:00,230.17,10.00
1-11-2020T7:00,270.83,9.58
1-11-2020T8:00,285.75,12.50
1-11-2020T9:00,323.92,15.17
1-11-2020T10:00,373.67,10.67
1-11-2020T11:00,406.67,14.50
1-11-2020T12:00,417.64,13.45
1-11-2020T13:00,424.30,11.40
1-11-2020T14:00,451.08,14.83
1-11-2020T15:00,463.67,10.00
1-11-2020T16:00,453.42,14.25
1-11-2020T17:00,438.25,14.17
1-11-2020T18:00,403.08,12.58
1-11-2020T19:00,378.92,11.42
1-11-2020T20:00,379.42,10.92
1-11-2020T21:00,352.58,11.25
1-11-2020T22:00,313.17,11.83
1-11-2020T23:00,264.33,12.58
2-11-2020T0:00,208.42,9.33
2-11-2020T1:00,178.08,5.75
2-11-2020T2:00,162.25,3.92
2-11-2020T3:00,137.75,5.58
2-11-2020T4:00,148.25,8.08
2-11-2020T5:00,161.67,7.92
2-11-2020T6:00,175.42,7.92
2-11-2020T7:00,193.17,8.50
2-11-2020T8:00,207.83,9.33
2-11-2020T9:00,217.75,10.08
2-11-2020T10:00,223.67,12.42
2-11-2020T11:00,246.25,11.50
2-11-2020T12:00,272.83,11.75
2-11-2020T13:00,283.50,7.92
2-11-2020T14:00,295.00,8.33
2-11-2020T15:00,330.50,12.00
2-11-2020T16:00,329.92,18.33
2-11-2020T17:00,311.00,14.25
2-11-2020T18:00,299.83,12.33
2-11-2020T19:00,345.75,11.33
2-11-2020T20:00,372.67,10.67
2-11-2020T21:00,332.58,9.42
2-11-2020T22:00,325.67,12.42
2-11-2020T23:00,281.50,10.75
3-11-2020T0:00,227.75,8.33
3-11-2020T1:00,200.67,6.42
3-11-2020T2:00,174.00,6.92
3-11-2020T3:00,167.08,6.67
3-11-2020T4:00,155.33,6.08
