Time,Players,LFMs
05-06-2021T01:00,107.91,8.82
05-06-2021T02:00,96.58,8.75
05-06-2021T03:00,79.08,4.25
05-06-2021T04:00,85.33,4.42
05-06-2021T05:00,86,5.83
05-06-2021T06:00,93.67,5
05-06-2021T07:00,117.67,5.58
05-06-2021T08:00,164.17,10
05-06-2021T09:00,193.75,14
05-06-2021T10:00,218.92,10.17
05-06-2021T11:00,215,8.92
05-06-2021T12:00,220.58,9.25
05-06-2021T13:00,244.5,9
05-06-2021T14:00,267.17,10.83
05-06-2021T15:00,262.25,10.5
05-06-2021T16:00,267.83,21
05-06-2021T17:00,268.83,14.25
05-06-2021T18:00,277.08,16.33
05-06-2021T19:00,280.25,16
05-06-2021T20:00,268.33,14.5
05-06-2021T21:00,264.64,13.09
05-06-2021T22:00,244.17,14.58
05-06-2021T23:00,199.92,12.92
06-06-2021T00:00,155.08,9.25
06-06-2021T01:00,127.25,4.5
06-06-2021T02:00,110.17,6.5
06-06-2021T03:00,85.42,6.83
06-06-2021T04:00,79.5,5.58
06-06-2021T05:00,90.5,4.5
06-06-2021T06:00,106.25,5
06-06-2021T07:00,128.42,4.75
06-06-2021T08:00,167,6
06-06-2021T09:00,189.08,6.25
06-06-2021T10:00,220.33,8.75
06-06-2021T11:00,236.22,10.78
06-06-2021T12:00,253.33,11.25
06-06-2021T13:00,281.58,12.08
06-06-2021T14:00,268.33,12.33
06-06-2021T15:00,287,15.75
06-06-2021T16:00,288.92,13.92
06-06-2021T17:00,251.33,14.25
06-06-2021T18:00,266.42,12.75
06-06-2021T19:00,259.92,14.58
06-06-2021T20:00,259.17,14.25
06-06-2021T21:00,247.08,12.58
06-06-2021T22:00,204.92,11.08
06-06-2021T23:00,172.5,11.42
07-06-2021T00:00,123.83,7.58
07-06-2021T01:00,87.33,5.75
07-06-2021T02:00,61.75,4
07-06-2021T03:00,53.67,3.58
07-06-2021T04:00,57.67,4.83
07-06-2021T05:00,72.17,4.33
07-06-2021T06:00,77.58,5
07-06-2021T07:00,88.92,4.25
07-06-2021T08:00,104.42,4.17
07-06-2021T09:00,122.92,7
07-06-2021T10:00,133.83,7.75
07-06-2021T11:00,138.83,7.58
07-06-2021T12:00,150.33,6
07-06-2021T13:00,190.42,9.67
07-06-2021T14:00,192.5,7.92
07-06-2021T15:00,197.25,8.33
07-06-2021T16:00,232,11.08
07-06-2021T17:00,214.75,15.5
07-06-2021T18:00,222.58,14.5
07-06-2021T19:00,226.17,14.83
07-06-2021T20:00,249.67,11.67
07-06-2021T21:00,243.33,10.58
07-06-2021T22:00,204.92,10.75
07-06-2021T23:00,163.17,12.92
08-06-2021T00:00,127.42,8.75
08-06-2021T01:00,101.67,6.92
08-06-2021T02:00,83.75,6.08
08-06-2021T03:00,69.08,6.58
08-06-2021T04:00,64.33,2.58
08-06-2021T05:00,71.75,2.33
08-06-2021T06:00,73.92,3.17
08-06-2021T07:00,81.17,4.17
08-06-2021T08:00,93.75,4.83
08-06-2021T09:00,100.67,3.83
08-06-2021T10:00,110.92,6.92
08-06-2021T11:00,121.25,9.17
08-06-2021T12:00,140.17,9.92
08-06-2021T13:00,164.08,8.67
08-06-2021T14:00,167,7.25
08-06-2021T15:00,170.08,11.75
08-06-2021T16:00,191.83,12.42
08-06-2021T17:00,183.67,10.67
08-06-2021T18:00,199.58,14.33
08-06-2021T19:00,221.92,12.5
08-06-2021T20:00,227.17,16.08
08-06-2021T21:00,208.92,9.08
08-06-2021T22:00,176.92,11
08-06-2021T23:00,143.75,8.92
09-06-2021T00:00,105.25,6.58
09-06-2021T01:00,79.83,5.58
09-06-2021T02:00,75.33,5.17
09-06-2021T03:00,69.42,4.58
09-06-2021T04:00,61.83,5.33
09-06-2021T05:00,60.5,5.08
09-06-2021T06:00,77.67,7.42
09-06-2021T07:00,82.67,5.92
09-06-2021T08:00,28,1
09-06-2021T09:00,85.8,10.2
09-06-2021T10:00,134.58,7.42
09-06-2021T11:00,156.33,10.67
09-06-2021T12:00,164.08,11.67
09-06-2021T13:00,176.83,11.58
09-06-2021T14:00,194.92,10.92
09-06-2021T15:00,224.75,12.25
09-06-2021T16:00,213.83,11.5
09-06-2021T17:00,197.25,8.83
09-06-2021T18:00,224.92,8.17
09-06-2021T19:00,227,11
09-06-2021T20:00,226.42,12.25
09-06-2021T21:00,214.33,11.83
09-06-2021T22:00,184.5,7.25
09-06-2021T23:00,149,7.42
10-06-2021T00:00,113.58,3.67
10-06-2021T01:00,74,5.67
10-06-2021T10:00,70.67,7
10-06-2021T11:00,167.67,8.67
10-06-2021T12:00,174.92,9.67
10-06-2021T13:00,173.33,9.5
10-06-2021T14:00,190.5,8.5
10-06-2021T15:00,221.75,11.92
10-06-2021T16:00,219.17,11
10-06-2021T17:00,198.42,9.83
10-06-2021T18:00,201.67,11.25
10-06-2021T19:00,227.33,13.75
10-06-2021T20:00,225.42,11.92
10-06-2021T21:00,220.5,9.58
10-06-2021T22:00,191.33,9.42
10-06-2021T23:00,154.42,7.58
11-06-2021T00:00,117,4.92
11-06-2021T01:00,77.58,6.42
11-06-2021T02:00,64.5,4.75
11-06-2021T03:00,60.33,2.92
11-06-2021T04:00,60.33,4.25
11-06-2021T05:00,57.42,3.58
11-06-2021T06:00,69.58,3.42
11-06-2021T07:00,83.5,3.83
11-06-2021T08:00,92.25,6.83
11-06-2021T09:00,120.17,7.42
11-06-2021T10:00,132.25,10
11-06-2021T11:00,139.17,7.58
11-06-2021T12:00,140.58,7.33
11-06-2021T13:00,157,6.33
11-06-2021T14:00,180.5,8.25
11-06-2021T15:00,193.42,8.42
11-06-2021T16:00,204.75,7
11-06-2021T17:00,202.25,7.33
11-06-2021T18:00,200,12
11-06-2021T19:00,211.92,10.08
11-06-2021T20:00,213.83,9.42
11-06-2021T21:00,214.75,9.25
11-06-2021T22:00,204.83,10.83
11-06-2021T23:00,174.42,6.42
12-06-2021T00:00,124.5,3.58
