Time,Players,LFMs
23-02-2020T00:00,0,0
01-03-2020T00:00,0,0
08-03-2020T00:00,0,0
15-03-2020T00:00,0,0
22-03-2020T00:00,0,0
29-03-2020T00:00,0,0
05-04-2020T00:00,0,0
12-04-2020T00:00,0,0
19-04-2020T00:00,0,0
26-04-2020T00:00,0,0
03-05-2020T00:00,0,0
10-05-2020T00:00,0,0
17-05-2020T00:00,0,0
24-05-2020T00:00,0,0
31-05-2020T00:00,0,0
07-06-2020T00:00,0,0
14-06-2020T00:00,0,0
21-06-2020T00:00,368,8.51
28-06-2020T00:00,501.52,17.39
05-07-2020T00:00,434.42,18.27
12-07-2020T00:00,336.4,15.41
19-07-2020T00:00,275.47,13.64
26-07-2020T00:00,289.35,14.68
02-08-2020T00:00,258.75,12.45
09-08-2020T00:00,204.2,10.17
16-08-2020T00:00,191.09,10.31
23-08-2020T00:00,172.39,9.22
30-08-2020T00:00,150.18,8.57
06-09-2020T00:00,134.21,7.51
13-09-2020T00:00,100.99,5.34
20-09-2020T00:00,24.93,0.93
27-09-2020T00:00,0,0
04-10-2020T00:00,0,0
11-10-2020T00:00,0,0
18-10-2020T00:00,0,0
25-10-2020T00:00,0,0
01-11-2020T00:00,0,0
08-11-2020T00:00,0,0
15-11-2020T00:00,0,0
22-11-2020T00:00,0,0
29-11-2020T00:00,0,0
06-12-2020T00:00,0,0
13-12-2020T00:00,0,0
20-12-2020T00:00,0,0
27-12-2020T00:00,0,0
03-01-2021T00:00,0,0
10-01-2021T00:00,0,0
17-01-2021T00:00,0,0
24-01-2021T00:00,0,0
31-01-2021T00:00,0,0
07-02-2021T00:00,0,0
14-02-2021T00:00,0,0
21-02-2021T00:00,0,0
28-02-2021T00:00,0,0
07-03-2021T00:00,0,0
14-03-2021T00:00,0,0
21-03-2021T00:00,0,0
28-03-2021T00:00,501.29,11.23
04-04-2021T00:00,643.97,19.56
11-04-2021T00:00,522.17,19.43
18-04-2021T00:00,410.11,16.49
25-04-2021T00:00,400.76,16.86
02-05-2021T00:00,353.8,16.57
09-05-2021T00:00,308.99,14.47
16-05-2021T00:00,267.62,13.43
23-05-2021T00:00,214.91,12.1
