Time,Players,LFMs
11-06-2021T02:00,71,6
11-06-2021T02:05,67,7
11-06-2021T02:10,69,6
11-06-2021T02:15,66,4
11-06-2021T02:20,66,4
11-06-2021T02:25,66,6
11-06-2021T02:30,65,4
11-06-2021T02:35,65,2
11-06-2021T02:40,62,5
11-06-2021T02:45,57,4
11-06-2021T02:50,59,4
11-06-2021T02:55,61,5
11-06-2021T03:00,58,4
11-06-2021T03:05,58,6
11-06-2021T03:10,57,4
11-06-2021T03:15,58,4
11-06-2021T03:20,58,3
11-06-2021T03:25,57,3
11-06-2021T03:30,62,1
11-06-2021T03:35,68,2
11-06-2021T03:40,64,2
11-06-2021T03:45,58,1
11-06-2021T03:50,62,2
11-06-2021T03:55,64,3
11-06-2021T04:00,63,3
11-06-2021T04:05,60,4
11-06-2021T04:10,57,4
11-06-2021T04:15,58,5
11-06-2021T04:20,60,5
11-06-2021T04:25,61,5
11-06-2021T04:30,62,5
11-06-2021T04:35,60,5
11-06-2021T04:40,62,4
11-06-2021T04:45,62,3
11-06-2021T04:50,59,3
11-06-2021T04:55,60,5
11-06-2021T05:00,58,4
11-06-2021T05:05,59,5
11-06-2021T05:10,61,5
11-06-2021T05:15,60,3
11-06-2021T05:20,57,3
11-06-2021T05:25,56,4
11-06-2021T05:30,54,5
11-06-2021T05:35,55,4
11-06-2021T05:40,53,3
11-06-2021T05:45,56,3
11-06-2021T05:50,60,3
11-06-2021T05:55,60,1
11-06-2021T06:00,66,1
11-06-2021T06:05,63,2
11-06-2021T06:10,65,3
11-06-2021T06:15,65,4
11-06-2021T06:20,69,5
11-06-2021T06:25,73,4
11-06-2021T06:30,71,3
11-06-2021T06:35,67,4
11-06-2021T06:40,74,2
11-06-2021T06:45,71,4
11-06-2021T06:50,74,4
11-06-2021T06:55,77,5
11-06-2021T07:00,84,4
11-06-2021T07:05,80,5
11-06-2021T07:10,81,4
11-06-2021T07:15,78,4
11-06-2021T07:20,80,3
11-06-2021T07:25,84,2
11-06-2021T07:30,87,4
11-06-2021T07:35,86,4
11-06-2021T07:40,86,3
11-06-2021T07:45,86,2
