Time,Players,LFMs
14-03-2021T00:00,0,0
15-03-2021T00:00,0,0
16-03-2021T00:00,0,0
17-03-2021T00:00,0,0
18-03-2021T00:00,0,0
19-03-2021T00:00,0,0
20-03-2021T00:00,0,0
21-03-2021T00:00,0,0
22-03-2021T00:00,0,0
23-03-2021T00:00,0,0
24-03-2021T00:00,0,0
25-03-2021T00:00,0,0
26-03-2021T00:00,0,0
27-03-2021T00:00,0,0
28-03-2021T00:00,0,0
29-03-2021T00:00,0,0
30-03-2021T00:00,0,0
31-03-2021T00:00,1107.92,14.5
01-04-2021T00:00,771.12,15.22
02-04-2021T00:00,842.78,19.27
03-04-2021T00:00,879.42,19.51
04-04-2021T00:00,838.05,22.32
05-04-2021T00:00,712.47,20.03
06-04-2021T00:00,627.76,17.33
07-04-2021T00:00,606.7,18.99
08-04-2021T00:00,616.34,18.47
09-04-2021T00:00,605.24,18.95
10-04-2021T00:00,707.7,22.85
11-04-2021T00:00,701.81,22.38
12-04-2021T00:00,545.39,18.68
13-04-2021T00:00,531.67,19.92
14-04-2021T00:00,509.4,19.26
15-04-2021T00:00,511.09,20.19
16-04-2021T00:00,479.04,18.81
17-04-2021T00:00,585.54,22.26
18-04-2021T00:00,606.18,21.28
19-04-2021T00:00,459.94,18
20-04-2021T00:00,440.75,18.47
21-04-2021T00:00,410.51,16.64
22-04-2021T00:00,528.1,22.59
23-04-2021T00:00,429.73,17.92
24-04-2021T00:00,504.09,19.92
25-04-2021T00:00,536.33,20.38
26-04-2021T00:00,402.42,15.15
27-04-2021T00:00,381.02,16.6
28-04-2021T00:00,379.91,16.91
29-04-2021T00:00,379.75,15.92
30-04-2021T00:00,381.1,15.78
01-05-2021T00:00,451.09,19.85
02-05-2021T00:00,460.73,19.1
03-05-2021T00:00,370.28,17.11
04-05-2021T00:00,366.27,17.02
05-05-2021T00:00,343.59,15.4
06-05-2021T00:00,328.28,14.75
07-05-2021T00:00,313.33,15.82
08-05-2021T00:00,392.68,17.68
09-05-2021T00:00,385.09,19.33
10-05-2021T00:00,315.76,13.42
11-05-2021T00:00,301.6,13.81
12-05-2021T00:00,297.48,14.79
13-05-2021T00:00,297.14,15.15
14-05-2021T00:00,293.42,13.5
15-05-2021T00:00,341.97,16
16-05-2021T00:00,359.89,16.82
17-05-2021T00:00,273.66,13.1
18-05-2021T00:00,264.11,14.12
19-05-2021T00:00,259.29,12.59
20-05-2021T00:00,244.56,13.07
21-05-2021T00:00,245.15,11.9
22-05-2021T00:00,295.95,14.55
23-05-2021T00:00,303.93,15.28
24-05-2021T00:00,238.29,11.9
25-05-2021T00:00,221.96,11.43
26-05-2021T00:00,240.63,12.58
27-05-2021T00:00,207.09,13.17
28-05-2021T00:00,204.19,12.69
29-05-2021T00:00,233.78,13.99
30-05-2021T00:00,232.98,12.82
31-05-2021T00:00,217.01,11.26
01-06-2021T00:00,175.46,9.63
02-06-2021T00:00,164.11,9.68
03-06-2021T00:00,158.46,9.67
04-06-2021T00:00,152.08,9.59
05-06-2021T00:00,189.47,10.3
06-06-2021T00:00,201.48,10.07
07-06-2021T00:00,152.76,8.45
08-06-2021T00:00,141.81,8.38
09-06-2021T00:00,147.41,8.91
10-06-2021T00:00,178.81,9.22
11-06-2021T00:00,140.48,7.28
