Time,Live,Hardcore
14-03-2021T00:00,2522.42,0
15-03-2021T00:00,1912.48,0
16-03-2021T00:00,1840.89,0
17-03-2021T00:00,1822.47,0
18-03-2021T00:00,1803.56,0
19-03-2021T00:00,1902.77,0
20-03-2021T00:00,2349.4,0
21-03-2021T00:00,2500.25,0
22-03-2021T00:00,1855.26,0
23-03-2021T00:00,1807.9,0
24-03-2021T00:00,1717.55,0
25-03-2021T00:00,1716.62,0
26-03-2021T00:00,1806.96,0
27-03-2021T00:00,2232.38,0
28-03-2021T00:00,2348.07,0
29-03-2021T00:00,1757.07,0
30-03-2021T00:00,1699.53,0
31-03-2021T00:00,1519.16,1107.92
01-04-2021T00:00,1347.49,771.12
02-04-2021T00:00,1484.82,842.78
03-04-2021T00:00,1672.8,879.42
04-04-2021T00:00,1711.48,838.05
05-04-2021T00:00,1438.59,712.47
06-04-2021T00:00,1298.61,627.76
07-04-2021T00:00,1278.48,606.7
08-04-2021T00:00,1274.33,616.34
09-04-2021T00:00,1360.85,605.24
10-04-2021T00:00,1710.2,707.7
11-04-2021T00:00,1837.05,701.81
12-04-2021T00:00,1325.39,545.39
13-04-2021T00:00,1281.41,531.67
14-04-2021T00:00,1304.14,509.4
15-04-2021T00:00,1287.69,511.09
16-04-2021T00:00,1386.21,479.04
17-04-2021T00:00,1690.36,585.54
18-04-2021T00:00,1766.6,606.18
19-04-2021T00:00,1309.09,459.94
20-04-2021T00:00,1277.24,440.75
21-04-2021T00:00,1310.69,410.51
22-04-2021T00:00,1893.54,528.1
23-04-2021T00:00,1536.69,429.73
24-04-2021T00:00,1823.21,504.09
25-04-2021T00:00,1959.22,536.33
26-04-2021T00:00,1430.95,402.42
27-04-2021T00:00,1375.64,381.02
28-04-2021T00:00,1332.37,379.91
29-04-2021T00:00,1376.49,379.75
30-04-2021T00:00,1420.87,381.1
01-05-2021T00:00,1741.41,451.09
02-05-2021T00:00,1851.82,460.73
03-05-2021T00:00,1467,370.28
04-05-2021T00:00,1396.62,366.27
05-05-2021T00:00,1352.32,343.59
06-05-2021T00:00,1351.18,328.28
07-05-2021T00:00,1376.51,313.33
08-05-2021T00:00,1723.83,392.68
09-05-2021T00:00,1766.36,385.09
10-05-2021T00:00,1355.53,315.76
11-05-2021T00:00,1328.26,301.6
12-05-2021T00:00,1339.49,297.48
13-05-2021T00:00,1360.99,297.14
14-05-2021T00:00,1375.7,293.42
15-05-2021T00:00,1674.65,341.97
16-05-2021T00:00,1761.31,359.89
17-05-2021T00:00,1365.09,273.66
18-05-2021T00:00,1327.3,264.11
19-05-2021T00:00,1302.43,259.29
20-05-2021T00:00,1288.87,244.56
21-05-2021T00:00,1375.01,245.15
22-05-2021T00:00,1706.97,295.95
23-05-2021T00:00,1785.3,303.93
24-05-2021T00:00,1429.63,238.29
25-05-2021T00:00,1314.46,221.96
26-05-2021T00:00,1369.95,240.63
27-05-2021T00:00,1314.58,207.09
28-05-2021T00:00,1423.55,204.19
29-05-2021T00:00,1713.58,233.78
30-05-2021T00:00,1766.04,232.98
31-05-2021T00:00,1668.77,217.01
01-06-2021T00:00,1352.43,175.46
02-06-2021T00:00,1309.87,164.11
03-06-2021T00:00,1353.56,158.46
04-06-2021T00:00,1354.6,152.08
05-06-2021T00:00,1675.24,189.47
06-06-2021T00:00,1766.23,201.48
07-06-2021T00:00,1340.1,152.76
08-06-2021T00:00,1315.36,141.81
09-06-2021T00:00,1252.61,147.41
10-06-2021T00:00,1486.33,178.81
11-06-2021T00:00,1342.31,140.48
