Time,Players,LFMs
16-9-2020T19:00,165.42,12.25
16-9-2020T20:00,171.67,11.42
16-9-2020T21:00,173.08,9.08
16-9-2020T22:00,155.00,6.58
16-9-2020T23:00,118.75,5.58
17-9-2020T0:00,86.00,6.83
17-9-2020T1:00,71.00,5.67
17-9-2020T2:00,58.33,2.25
17-9-2020T3:00,45.33,1.83
17-9-2020T4:00,33.33,1.92
17-9-2020T5:00,36.25,1.92
17-9-2020T6:00,47.00,0.92
17-9-2020T7:00,62.50,3.08
17-9-2020T8:00,74.75,4.92
17-9-2020T9:00,82.33,5.67
17-9-2020T10:00,76.58,8.33
17-9-2020T11:00,89.00,4.92
17-9-2020T12:00,108.50,5.75
17-9-2020T13:00,111.67,8.83
17-9-2020T14:00,134.67,9.75
17-9-2020T15:00,138.42,7.67
17-9-2020T16:00,102.00,6.08
17-9-2020T17:00,102.50,4.50
17-9-2020T18:00,112.17,6.92
17-9-2020T19:00,135.50,5.08
17-9-2020T20:00,144.92,5.67
17-9-2020T21:00,141.08,4.58
17-9-2020T22:00,110.75,4.42
17-9-2020T23:00,92.00,6.25
18-9-2020T0:00,63.33,3.75
18-9-2020T1:00,56.83,2.83
18-9-2020T2:00,52.42,3.58
18-9-2020T3:00,45.67,2.42
18-9-2020T4:00,41.08,0.83
18-9-2020T5:00,53.00,2.33
18-9-2020T6:00,72.42,0.92
18-9-2020T7:00,68.42,4.08
18-9-2020T8:00,74.67,4.67
18-9-2020T9:00,81.50,3.83
18-9-2020T10:00,82.67,3.17
18-9-2020T11:00,90.00,4.50
18-9-2020T12:00,94.67,6.42
18-9-2020T13:00,84.42,5.08
18-9-2020T14:00,89.67,6.58
18-9-2020T15:00,101.67,5.08
18-9-2020T16:00,110.92,7.17
18-9-2020T17:00,106.83,5.25
18-9-2020T18:00,116.25,4.75
18-9-2020T19:00,136.42,5.58
18-9-2020T20:00,131.75,8.33
18-9-2020T21:00,124.42,6.50
18-9-2020T22:00,127.25,5.58
18-9-2020T23:00,114.25,5.08
19-9-2020T0:00,87.00,2.42
19-9-2020T1:00,65.33,2.58
19-9-2020T2:00,62.50,1.42
19-9-2020T3:00,52.83,1.58
19-9-2020T4:00,49.00,1.83
19-9-2020T5:00,53.50,2.42
19-9-2020T6:00,53.25,2.75
19-9-2020T7:00,66.33,2.67
19-9-2020T8:00,78.67,3.00
19-9-2020T9:00,99.00,6.67
19-9-2020T10:00,101.67,5.00
19-9-2020T11:00,89.25,7.00
19-9-2020T12:00,99.17,6.33
19-9-2020T13:00,105.27,9.27
19-9-2020T14:00,117.25,6.75
19-9-2020T15:00,133.75,6.17
19-9-2020T16:00,135.17,5.42
19-9-2020T17:00,133.83,8.25
19-9-2020T18:00,132.08,6.25
19-9-2020T19:00,119.75,6.08
19-9-2020T20:00,131.08,5.33
19-9-2020T21:00,128.83,5.00
19-9-2020T22:00,128.92,5.92
19-9-2020T23:00,126.42,7.83
20-9-2020T0:00,98.83,4.92
20-9-2020T1:00,83.00,4.75
20-9-2020T2:00,65.00,3.58
20-9-2020T3:00,45.08,2.92
20-9-2020T4:00,39.83,1.75
20-9-2020T5:00,43.08,3.42
20-9-2020T6:00,53.00,4.58
20-9-2020T7:00,65.83,3.33
20-9-2020T8:00,77.42,3.25
20-9-2020T9:00,90.58,4.08
20-9-2020T10:00,117.67,3.17
20-9-2020T11:00,125.17,6.25
20-9-2020T12:00,112.33,6.25
20-9-2020T13:00,128.33,5.17
20-9-2020T14:00,122.25,7.42
20-9-2020T15:00,122.25,5.33
20-9-2020T16:00,118.58,6.08
20-9-2020T17:00,118.50,5.08
20-9-2020T18:00,140.42,7.33
20-9-2020T19:00,140.75,6.17
20-9-2020T20:00,137.08,6.75
20-9-2020T21:00,105.42,4.33
20-9-2020T22:00,84.83,4.17
20-9-2020T23:00,77.33,2.17
21-9-2020T0:00,64.75,1.08
21-9-2020T1:00,43.75,1.92
21-9-2020T2:00,29.58,0.92
21-9-2020T3:00,19.50,0.67
21-9-2020T4:00,18.50,1.00
21-9-2020T5:00,17.50,1.25
21-9-2020T6:00,28.75,2.08
21-9-2020T7:00,36.33,2.50
21-9-2020T8:00,50.75,2.75
21-9-2020T9:00,65.42,2.42
21-9-2020T10:00,72.58,4.33
21-9-2020T11:00,75.58,4.58
21-9-2020T12:00,85.42,7.83
21-9-2020T13:00,92.17,5.42
21-9-2020T14:00,95.50,2.75
21-9-2020T15:00,100.92,3.08
21-9-2020T16:00,112.58,2.58
21-9-2020T17:00,100.25,2.25
21-9-2020T18:00,106.50,2.83
21-9-2020T19:00,110.17,3.17
21-9-2020T20:00,112.08,4.25
21-9-2020T21:00,93.00,2.00
21-9-2020T22:00,87.50,2.17
21-9-2020T23:00,74.75,1.67
22-9-2020T0:00,61.00,0.17
22-9-2020T1:00,43.58,0.00
22-9-2020T2:00,33.17,0.00
22-9-2020T3:00,25.67,0.33
22-9-2020T4:00,23.92,0.33
22-9-2020T5:00,25.92,0.33
22-9-2020T6:00,28.83,0.08
22-9-2020T7:00,35.92,0.00
22-9-2020T8:00,52.42,2.08
22-9-2020T9:00,58.00,2.17
22-9-2020T10:00,54.67,3.33
22-9-2020T11:00,70.00,3.33
22-9-2020T12:00,76.50,1.42
22-9-2020T13:00,73.00,3.58
22-9-2020T14:00,71.17,4.17
22-9-2020T15:00,78.67,2.75
22-9-2020T16:00,80.75,2.75
22-9-2020T17:00,82.83,2.58
22-9-2020T18:00,88.42,3.17
22-9-2020T19:00,93.67,3.42
22-9-2020T20:00,84.67,2.92
22-9-2020T21:00,78.08,2.08
22-9-2020T22:00,71.83,2.33
22-9-2020T23:00,62.25,1.67
23-9-2020T0:00,55.58,2.00
23-9-2020T1:00,57.00,3.33
23-9-2020T2:00,58.08,0.58
23-9-2020T3:00,42.92,0.00
23-9-2020T4:00,31.92,0.25
