Time,Players,LFMs
23-2-2020T00:00,0.00,0.00
1-3-2020T00:00,0.00,0.00
8-3-2020T00:00,0.00,0.00
15-3-2020T00:00,0.00,0.00
22-3-2020T00:00,0.00,0.00
29-3-2020T00:00,0.00,0.00
5-4-2020T00:00,0.00,0.00
12-4-2020T00:00,0.00,0.00
19-4-2020T00:00,0.00,0.00
26-4-2020T00:00,0.00,0.00
3-5-2020T00:00,0.00,0.00
10-5-2020T00:00,0.00,0.00
17-5-2020T00:00,0.00,0.00
24-5-2020T00:00,0.00,0.00
31-5-2020T00:00,0.00,0.00
7-6-2020T00:00,0.00,0.00
14-6-2020T00:00,0.00,0.00
21-6-2020T00:00,299.10,6.71
28-6-2020T00:00,512.03,16.93
5-7-2020T00:00,439.69,18.39
12-7-2020T00:00,349.62,15.64
19-7-2020T00:00,278.26,13.96
26-7-2020T00:00,292.53,14.69
2-8-2020T00:00,263.53,12.64
9-8-2020T00:00,208.17,10.24
16-8-2020T00:00,194.74,10.42
23-8-2020T00:00,176.16,9.55
30-8-2020T00:00,149.97,8.51
6-9-2020T00:00,138.23,7.67
13-9-2020T00:00,105.76,5.66
