Time,Players,LFMs
22-9-2020T12:40,66,0
22-9-2020T12:45,68,2
22-9-2020T12:50,70,3
22-9-2020T12:55,75,2
22-9-2020T13:00,69,3
22-9-2020T13:05,69,2
22-9-2020T13:10,68,2
22-9-2020T13:15,68,2
22-9-2020T13:20,75,4
22-9-2020T13:25,73,5
22-9-2020T13:30,78,5
22-9-2020T13:35,74,4
22-9-2020T13:40,74,4
22-9-2020T13:45,76,4
22-9-2020T13:50,76,4
22-9-2020T13:55,76,4
22-9-2020T14:00,70,4
22-9-2020T14:05,68,4
22-9-2020T14:10,70,4
22-9-2020T14:15,68,4
22-9-2020T14:20,73,3
22-9-2020T14:25,72,1
22-9-2020T14:30,68,2
22-9-2020T14:35,69,5
22-9-2020T14:40,70,5
22-9-2020T14:45,71,6
22-9-2020T14:50,78,6
22-9-2020T14:55,77,6
22-9-2020T15:00,81,5
22-9-2020T15:05,80,5
22-9-2020T15:10,81,5
22-9-2020T15:15,78,2
22-9-2020T15:20,75,3
22-9-2020T15:25,76,2
22-9-2020T15:30,79,2
22-9-2020T15:35,81,2
22-9-2020T15:40,81,2
22-9-2020T15:45,77,1
22-9-2020T15:50,78,2
22-9-2020T15:55,77,2
22-9-2020T16:00,74,2
22-9-2020T16:05,72,2
22-9-2020T16:10,75,3
22-9-2020T16:15,78,3
22-9-2020T16:20,77,3
22-9-2020T16:25,79,2
22-9-2020T16:30,83,3
22-9-2020T16:35,80,3
22-9-2020T16:40,85,3
22-9-2020T16:45,87,4
22-9-2020T16:50,89,3
22-9-2020T16:55,90,2
22-9-2020T17:00,88,2
22-9-2020T17:05,85,2
22-9-2020T17:10,80,2
22-9-2020T17:15,81,2
22-9-2020T17:20,81,2
22-9-2020T17:25,82,2
22-9-2020T17:30,87,3
22-9-2020T17:35,85,2
22-9-2020T17:40,78,4
22-9-2020T17:45,76,4
22-9-2020T17:50,83,3
22-9-2020T17:55,88,3
22-9-2020T18:00,94,3
22-9-2020T18:05,87,3
22-9-2020T18:10,82,3
22-9-2020T18:15,82,3
22-9-2020T18:20,81,3
22-9-2020T18:25,82,3
22-9-2020T18:30,86,3
22-9-2020T18:35,89,3
22-9-2020T18:40,92,3
22-9-2020T18:45,94,3
22-9-2020T18:50,99,3
22-9-2020T18:55,93,5
22-9-2020T19:00,93,4
22-9-2020T19:05,94,4
22-9-2020T19:10,96,4
22-9-2020T19:15,93,5
22-9-2020T19:20,91,4
22-9-2020T19:25,95,5
22-9-2020T19:30,93,2
22-9-2020T19:35,91,3
22-9-2020T19:40,96,3
22-9-2020T19:45,94,3
22-9-2020T19:50,97,2
22-9-2020T19:55,91,2
22-9-2020T20:00,94,2
22-9-2020T20:05,93,2
22-9-2020T20:10,86,2
22-9-2020T20:15,86,3
22-9-2020T20:20,85,3
22-9-2020T20:25,85,3
22-9-2020T20:30,84,2
22-9-2020T20:35,82,3
22-9-2020T20:40,81,4
22-9-2020T20:45,81,4
22-9-2020T20:50,82,4
22-9-2020T20:55,77,3
22-9-2020T21:00,75,2
22-9-2020T21:05,79,2
22-9-2020T21:10,81,2
22-9-2020T21:15,82,1
22-9-2020T21:20,80,2
22-9-2020T21:25,79,2
22-9-2020T21:30,79,2
22-9-2020T21:35,75,3
22-9-2020T21:40,73,3
22-9-2020T21:45,77,2
22-9-2020T21:50,76,2
22-9-2020T21:55,81,2
22-9-2020T22:00,77,2
22-9-2020T22:05,72,2
22-9-2020T22:10,75,1
22-9-2020T22:15,74,2
22-9-2020T22:20,74,2
22-9-2020T22:25,76,2
22-9-2020T22:30,70,3
22-9-2020T22:35,72,3
22-9-2020T22:40,71,3
22-9-2020T22:45,66,2
22-9-2020T22:50,67,3
22-9-2020T22:55,68,3
22-9-2020T23:00,67,2
22-9-2020T23:05,69,2
22-9-2020T23:10,64,2
22-9-2020T23:15,68,2
22-9-2020T23:20,61,2
22-9-2020T23:25,62,2
22-9-2020T23:30,60,3
22-9-2020T23:35,58,1
22-9-2020T23:40,59,1
22-9-2020T23:45,59,1
