Time,Players,LFMs
25-6-2020T00:00,536.43,11.42
26-6-2020T00:00,551.51,13.07
27-6-2020T00:00,624.02,15.40
28-6-2020T00:00,622.18,16.46
29-6-2020T00:00,503.65,14.41
30-6-2020T00:00,481.00,16.38
1-7-2020T00:00,490.60,17.42
2-7-2020T00:00,488.03,17.45
3-7-2020T00:00,520.15,17.81
4-7-2020T00:00,533.66,20.45
5-7-2020T00:00,536.15,19.58
6-7-2020T00:00,445.47,17.81
7-7-2020T00:00,422.49,18.24
8-7-2020T00:00,394.29,18.32
9-7-2020T00:00,404.79,18.52
10-7-2020T00:00,417.03,17.91
11-7-2020T00:00,470.66,19.00
12-7-2020T00:00,478.92,19.56
13-7-2020T00:00,393.09,17.27
14-7-2020T00:00,370.81,17.58
15-7-2020T00:00,300.72,14.54
16-7-2020T00:00,316.57,14.05
17-7-2020T00:00,315.85,14.90
18-7-2020T00:00,362.06,15.70
19-7-2020T00:00,354.87,16.59
20-7-2020T00:00,218.59,11.70
21-7-2020T00:00,241.80,12.31
22-7-2020T00:00,244.78,13.16
23-7-2020T00:00,251.17,12.88
24-7-2020T00:00,290.31,13.46
25-7-2020T00:00,344.79,17.51
26-7-2020T00:00,351.72,14.91
27-7-2020T00:00,285.36,15.78
28-7-2020T00:00,277.44,14.38
29-7-2020T00:00,257.54,14.08
30-7-2020T00:00,269.24,14.53
31-7-2020T00:00,278.04,11.94
1-8-2020T00:00,328.08,17.20
2-8-2020T00:00,325.86,15.54
3-8-2020T00:00,266.41,13.89
4-8-2020T00:00,283.92,13.63
5-8-2020T00:00,316.59,14.19
6-8-2020T00:00,260.14,11.86
7-8-2020T00:00,247.27,12.39
8-8-2020T00:00,292.32,13.70
9-8-2020T00:00,283.50,13.43
10-8-2020T00:00,224.98,11.06
11-8-2020T00:00,193.84,10.49
12-8-2020T00:00,202.29,10.09
13-8-2020T00:00,232.20,10.95
14-8-2020T00:00,214.16,11.50
15-8-2020T00:00,252.09,12.07
16-8-2020T00:00,246.20,12.86
17-8-2020T00:00,200.39,10.91
18-8-2020T00:00,199.08,10.93
19-8-2020T00:00,177.66,9.16
20-8-2020T00:00,181.44,10.14
21-8-2020T00:00,186.69,10.28
22-8-2020T00:00,220.31,11.09
23-8-2020T00:00,215.75,11.72
24-8-2020T00:00,170.44,10.16
25-8-2020T00:00,165.92,8.91
26-8-2020T00:00,158.47,7.74
27-8-2020T00:00,160.08,8.14
28-8-2020T00:00,163.70,9.10
29-8-2020T00:00,203.58,11.32
30-8-2020T00:00,180.67,8.89
31-8-2020T00:00,154.70,9.23
1-9-2020T00:00,140.29,8.30
2-9-2020T00:00,148.04,7.88
3-9-2020T00:00,142.75,8.88
4-9-2020T00:00,144.56,8.95
5-9-2020T00:00,170.00,9.19
6-9-2020T00:00,172.50,9.19
7-9-2020T00:00,167.85,8.50
8-9-2020T00:00,133.51,7.73
9-9-2020T00:00,144.97,7.26
10-9-2020T00:00,132.04,8.12
11-9-2020T00:00,117.75,7.77
12-9-2020T00:00,151.88,7.82
13-9-2020T00:00,137.11,7.23
14-9-2020T00:00,118.79,6.82
15-9-2020T00:00,109.78,6.01
16-9-2020T00:00,103.72,5.28
17-9-2020T00:00,91.52,5.16
18-9-2020T00:00,88.35,4.51
19-9-2020T00:00,97.91,4.91
20-9-2020T00:00,96.36,4.68
21-9-2020T00:00,70.58,2.73
22-9-2020T00:00,60.62,1.88
