Time,Players,LFMs
20-2-2020T00:00,152.93,6.60
21-2-2020T00:00,171.16,7.72
22-2-2020T00:00,219.48,9.06
23-2-2020T00:00,236.87,10.45
24-2-2020T00:00,170.74,8.35
25-2-2020T00:00,172.48,8.07
26-2-2020T00:00,164.63,6.56
27-2-2020T00:00,170.51,7.13
28-2-2020T00:00,176.97,7.74
29-2-2020T00:00,233.03,10.01
1-3-2020T00:00,251.33,10.68
2-3-2020T00:00,183.47,8.47
3-3-2020T00:00,169.26,7.95
4-3-2020T00:00,165.74,6.31
5-3-2020T00:00,170.45,6.23
6-3-2020T00:00,183.58,7.00
7-3-2020T00:00,232.47,9.12
8-3-2020T00:00,248.95,11.34
9-3-2020T00:00,168.18,8.76
10-3-2020T00:00,165.48,8.53
11-3-2020T00:00,157.12,6.91
12-3-2020T00:00,164.99,6.60
13-3-2020T00:00,187.53,8.03
14-3-2020T00:00,250.12,8.72
15-3-2020T00:00,267.16,9.67
16-3-2020T00:00,199.42,8.83
17-3-2020T00:00,203.25,8.75
18-3-2020T00:00,197.41,11.09
19-3-2020T00:00,236.91,9.23
20-3-2020T00:00,284.75,9.71
21-3-2020T00:00,344.44,10.63
22-3-2020T00:00,357.62,12.38
23-3-2020T00:00,291.30,12.92
24-3-2020T00:00,288.97,11.88
25-3-2020T00:00,287.91,10.37
26-3-2020T00:00,311.78,11.29
27-3-2020T00:00,348.13,11.43
28-3-2020T00:00,414.36,12.62
29-3-2020T00:00,400.02,13.34
30-3-2020T00:00,332.51,10.81
31-3-2020T00:00,316.73,9.72
1-4-2020T00:00,309.88,9.57
2-4-2020T00:00,317.36,9.45
3-4-2020T00:00,350.48,9.74
4-4-2020T00:00,430.39,12.61
5-4-2020T00:00,418.87,11.80
6-4-2020T00:00,329.13,9.18
7-4-2020T00:00,324.78,11.05
8-4-2020T00:00,321.86,9.35
9-4-2020T00:00,314.33,10.11
10-4-2020T00:00,362.95,11.43
11-4-2020T00:00,412.41,13.45
