Time,Players,LFMs
20-2-2020T0:00,116.00,6.00
20-2-2020T1:00,113.00,6.33
20-2-2020T2:00,98.92,4.42
20-2-2020T3:00,80.25,3.75
20-2-2020T4:00,75.42,4.17
20-2-2020T5:00,82.33,5.00
20-2-2020T6:00,72.58,4.75
20-2-2020T7:00,79.42,5.00
20-2-2020T8:00,95.50,5.83
20-2-2020T9:00,100.00,5.33
20-2-2020T10:00,106.75,6.17
20-2-2020T11:00,122.17,5.58
20-2-2020T12:00,143.83,5.92
20-2-2020T13:00,154.17,6.25
20-2-2020T14:00,161.17,5.33
20-2-2020T15:00,177.50,8.83
20-2-2020T16:00,197.42,6.58
20-2-2020T17:00,210.17,8.25
20-2-2020T18:00,208.67,7.42
20-2-2020T19:00,232.92,8.92
20-2-2020T20:00,269.17,6.75
20-2-2020T21:00,279.75,12.00
20-2-2020T22:00,278.08,10.58
20-2-2020T23:00,215.08,9.25
21-2-2020T0:00,151.92,8.25
21-2-2020T1:00,122.00,5.50
21-2-2020T2:00,95.17,5.17
21-2-2020T3:00,90.17,3.00
21-2-2020T4:00,85.33,3.17
21-2-2020T5:00,87.67,3.83
21-2-2020T6:00,76.83,4.42
21-2-2020T7:00,84.67,6.08
21-2-2020T8:00,99.83,7.33
21-2-2020T9:00,112.92,7.25
21-2-2020T10:00,116.00,7.75
21-2-2020T11:00,122.67,10.00
21-2-2020T12:00,144.25,9.25
21-2-2020T13:00,174.75,7.75
21-2-2020T14:00,187.50,8.75
21-2-2020T15:00,220.08,9.33
21-2-2020T16:00,233.50,9.25
21-2-2020T17:00,238.25,12.08
21-2-2020T18:00,250.92,9.00
21-2-2020T19:00,288.83,11.00
21-2-2020T20:00,300.08,11.42
21-2-2020T21:00,299.92,9.17
21-2-2020T22:00,285.08,10.00
21-2-2020T23:00,239.42,6.50
22-2-2020T0:00,201.42,8.00
22-2-2020T1:00,161.25,4.42
22-2-2020T2:00,132.08,6.67
22-2-2020T3:00,119.50,5.50
22-2-2020T4:00,111.17,2.67
22-2-2020T5:00,109.25,3.75
22-2-2020T6:00,99.25,3.75
22-2-2020T7:00,113.67,6.17
22-2-2020T8:00,141.83,8.42
22-2-2020T9:00,179.17,8.83
22-2-2020T10:00,205.42,10.42
22-2-2020T11:00,219.42,11.58
22-2-2020T12:00,233.50,12.17
22-2-2020T13:00,251.50,15.08
22-2-2020T14:00,285.25,12.75
22-2-2020T15:00,295.83,13.17
22-2-2020T16:00,288.00,12.83
22-2-2020T17:00,295.50,10.92
22-2-2020T18:00,287.08,8.50
22-2-2020T19:00,283.00,8.33
22-2-2020T20:00,301.75,9.42
22-2-2020T21:00,315.33,7.75
22-2-2020T22:00,331.92,12.58
22-2-2020T23:00,305.50,13.83
23-2-2020T0:00,240.67,7.00
23-2-2020T1:00,199.50,7.42
23-2-2020T2:00,158.42,6.92
23-2-2020T3:00,138.58,7.33
23-2-2020T4:00,121.50,6.17
23-2-2020T5:00,110.67,4.92
23-2-2020T6:00,115.92,7.58
23-2-2020T7:00,130.33,7.17
23-2-2020T8:00,151.08,9.00
23-2-2020T9:00,171.75,11.00
23-2-2020T10:00,221.83,11.83
23-2-2020T11:00,256.67,13.08
23-2-2020T12:00,261.92,15.42
23-2-2020T13:00,295.33,12.00
23-2-2020T14:00,319.92,13.75
23-2-2020T15:00,352.92,13.00
23-2-2020T16:00,343.25,13.17
23-2-2020T17:00,327.92,12.33
23-2-2020T18:00,320.83,15.00
23-2-2020T19:00,330.25,12.17
23-2-2020T20:00,313.42,7.92
23-2-2020T21:00,299.58,11.83
23-2-2020T22:00,271.42,12.08
23-2-2020T23:00,231.33,12.67
24-2-2020T0:00,185.58,7.50
24-2-2020T1:00,158.42,6.67
24-2-2020T2:00,113.25,6.58
24-2-2020T3:00,98.08,5.50
24-2-2020T4:00,93.25,6.33
24-2-2020T5:00,94.17,4.92
24-2-2020T6:00,73.67,3.92
