Time,Players,LFMs
05-06-2021T01:00,162.55,6.55
05-06-2021T02:00,128.42,3.42
05-06-2021T03:00,108.33,3.75
05-06-2021T04:00,98.17,2.83
05-06-2021T05:00,93.83,5.33
05-06-2021T06:00,117.92,7.08
05-06-2021T07:00,143.08,3.25
05-06-2021T08:00,180.83,5.5
05-06-2021T09:00,200.75,7.08
05-06-2021T10:00,225.75,7.33
05-06-2021T11:00,236,7.58
05-06-2021T12:00,249,9.33
05-06-2021T13:00,262.42,12
05-06-2021T14:00,290.42,10.67
05-06-2021T15:00,275.17,8.83
05-06-2021T16:00,270.17,10.42
05-06-2021T17:00,253.75,7.08
05-06-2021T18:00,272.5,7.67
05-06-2021T19:00,301.92,10.5
05-06-2021T20:00,336.5,12.83
05-06-2021T21:00,347.91,11.91
05-06-2021T22:00,321.17,8.08
05-06-2021T23:00,260.17,9.25
06-06-2021T00:00,207.42,5.92
06-06-2021T01:00,156.92,4.33
06-06-2021T02:00,126.42,1.67
06-06-2021T03:00,104,3.25
06-06-2021T04:00,97.08,5.67
06-06-2021T05:00,99.42,5.67
06-06-2021T06:00,117.25,5
06-06-2021T07:00,150.17,8.83
06-06-2021T08:00,169.58,8.75
06-06-2021T09:00,201.25,6.25
06-06-2021T10:00,244.67,8.83
06-06-2021T11:00,284.56,9.67
06-06-2021T12:00,301,6.42
06-06-2021T13:00,303.83,7.58
06-06-2021T14:00,317.83,12.33
06-06-2021T15:00,349.92,12.42
06-06-2021T16:00,330.42,13.42
06-06-2021T17:00,334.42,11.42
06-06-2021T18:00,330.42,12.17
06-06-2021T19:00,325.83,11.67
06-06-2021T20:00,330.17,8.42
06-06-2021T21:00,304.92,10
06-06-2021T22:00,273.17,10.5
06-06-2021T23:00,218.42,6.42
07-06-2021T00:00,155.75,6.25
07-06-2021T01:00,113,5.83
07-06-2021T02:00,81.75,3.92
07-06-2021T03:00,74.08,3.75
07-06-2021T04:00,70.5,4.83
07-06-2021T05:00,77.5,4.5
07-06-2021T06:00,80.92,4.25
07-06-2021T07:00,103.58,4.25
07-06-2021T08:00,115.92,5.25
07-06-2021T09:00,136,4.58
07-06-2021T10:00,142.08,4.33
07-06-2021T11:00,153.42,5.75
07-06-2021T12:00,153,5.92
07-06-2021T13:00,181.08,4.42
07-06-2021T14:00,218.17,5.08
07-06-2021T15:00,211.92,6.67
07-06-2021T16:00,220.5,6.92
07-06-2021T17:00,239.83,5.17
07-06-2021T18:00,273.17,9.75
07-06-2021T19:00,296.92,11.5
07-06-2021T20:00,309.58,10.17
07-06-2021T21:00,288.92,9.25
07-06-2021T22:00,244.33,10.17
07-06-2021T23:00,191.42,8.67
08-06-2021T00:00,130.5,4.92
08-06-2021T01:00,91.17,2.83
