Time,Players,LFMs
23-02-2020T00:00,188.58,8.28
01-03-2020T00:00,192.24,7.92
08-03-2020T00:00,192.25,8.2
15-03-2020T00:00,252.61,9.84
22-03-2020T00:00,331.42,11.8
29-03-2020T00:00,348.74,10.55
05-04-2020T00:00,352.17,10.81
12-04-2020T00:00,352.4,11.74
19-04-2020T00:00,353.05,10.57
26-04-2020T00:00,359.55,11.28
03-05-2020T00:00,327.75,10.77
10-05-2020T00:00,330.01,9.72
17-05-2020T00:00,332.2,10.21
24-05-2020T00:00,333.32,10.18
31-05-2020T00:00,318.65,9.29
07-06-2020T00:00,322.79,9.71
14-06-2020T00:00,310.59,9.65
21-06-2020T00:00,271.24,9
28-06-2020T00:00,246.59,8.42
05-07-2020T00:00,240.3,7.86
12-07-2020T00:00,221.78,6.89
19-07-2020T00:00,229.08,7.83
26-07-2020T00:00,243.94,8.17
02-08-2020T00:00,180.04,6.32
09-08-2020T00:00,231.77,8.22
16-08-2020T00:00,221.4,7.17
23-08-2020T00:00,243.95,7.81
30-08-2020T00:00,232.47,7.7
06-09-2020T00:00,236.39,7.48
13-09-2020T00:00,226.22,7.23
20-09-2020T00:00,225.86,6.75
27-09-2020T00:00,224.12,7.6
04-10-2020T00:00,245.09,7.91
11-10-2020T00:00,265.78,7.5
18-10-2020T00:00,265.21,7.51
25-10-2020T00:00,262.28,7.22
01-11-2020T00:00,267.8,7.41
08-11-2020T00:00,269.55,7.99
15-11-2020T00:00,247.8,7.79
22-11-2020T00:00,261.79,8.6
29-11-2020T00:00,250.95,8.43
06-12-2020T00:00,250.22,8.33
13-12-2020T00:00,239.2,8.44
20-12-2020T00:00,256.74,8.84
27-12-2020T00:00,290.5,9.22
03-01-2021T00:00,249.76,8.5
10-01-2021T00:00,249.94,7.32
17-01-2021T00:00,255.69,7.37
24-01-2021T00:00,253.98,8.52
31-01-2021T00:00,249.9,8.72
07-02-2021T00:00,247.42,8.54
14-02-2021T00:00,264.1,9.09
21-02-2021T00:00,272.57,9.09
28-02-2021T00:00,281.28,9.18
07-03-2021T00:00,270.06,9.16
14-03-2021T00:00,269.13,8.52
21-03-2021T00:00,251.04,7.94
28-03-2021T00:00,201.88,7.01
04-04-2021T00:00,183.82,5.82
11-04-2021T00:00,179.88,6.52
18-04-2021T00:00,176.64,6.17
25-04-2021T00:00,184.6,6.51
02-05-2021T00:00,187.52,6.98
09-05-2021T00:00,183.5,6.59
16-05-2021T00:00,183.28,6.48
23-05-2021T00:00,186.59,6.99
