Time,Players,LFMs
11-06-2021T02:00,121,3
11-06-2021T02:05,118,3
11-06-2021T02:10,119,2
11-06-2021T02:15,118,4
11-06-2021T02:20,110,5
11-06-2021T02:25,110,4
11-06-2021T02:30,111,4
11-06-2021T02:35,103,5
11-06-2021T02:40,107,6
11-06-2021T02:45,110,6
11-06-2021T02:50,105,7
11-06-2021T02:55,103,6
11-06-2021T03:00,106,5
11-06-2021T03:05,108,4
11-06-2021T03:10,112,4
11-06-2021T03:15,113,4
11-06-2021T03:20,112,4
11-06-2021T03:25,113,3
11-06-2021T03:30,113,2
11-06-2021T03:35,112,3
11-06-2021T03:40,105,4
11-06-2021T03:45,103,5
11-06-2021T03:50,100,5
11-06-2021T03:55,101,4
11-06-2021T04:00,96,5
11-06-2021T04:05,91,5
11-06-2021T04:10,91,5
11-06-2021T04:15,88,7
11-06-2021T04:20,86,7
11-06-2021T04:25,78,6
11-06-2021T04:30,80,6
11-06-2021T04:35,83,6
11-06-2021T04:40,83,6
11-06-2021T04:45,85,6
11-06-2021T04:50,85,6
11-06-2021T04:55,86,7
11-06-2021T05:00,86,5
11-06-2021T05:05,88,5
11-06-2021T05:10,83,5
11-06-2021T05:15,80,4
11-06-2021T05:20,84,4
11-06-2021T05:25,85,4
11-06-2021T05:30,82,4
11-06-2021T05:35,79,4
11-06-2021T05:40,79,6
11-06-2021T05:45,79,5
11-06-2021T05:50,80,5
11-06-2021T05:55,81,5
11-06-2021T06:00,78,4
11-06-2021T06:05,81,5
11-06-2021T06:10,84,5
11-06-2021T06:15,89,5
11-06-2021T06:20,91,5
11-06-2021T06:25,93,5
11-06-2021T06:30,95,4
11-06-2021T06:35,97,4
11-06-2021T06:40,103,5
11-06-2021T06:45,103,5
11-06-2021T06:50,109,6
11-06-2021T06:55,112,6
11-06-2021T07:00,114,6
11-06-2021T07:05,118,5
11-06-2021T07:10,124,4
11-06-2021T07:15,129,3
11-06-2021T07:20,121,3
11-06-2021T07:25,122,3
11-06-2021T07:30,125,6
11-06-2021T07:35,123,5
11-06-2021T07:40,125,4
11-06-2021T07:45,133,4
11-06-2021T07:50,132,3
11-06-2021T07:55,143,7
11-06-2021T08:00,140,5
11-06-2021T08:05,141,5
11-06-2021T08:10,144,8
11-06-2021T08:15,145,7
11-06-2021T08:20,148,9
11-06-2021T08:25,147,7
11-06-2021T08:30,150,11
11-06-2021T08:35,159,11
11-06-2021T08:40,157,9
11-06-2021T08:45,158,8
11-06-2021T08:50,160,10
11-06-2021T08:55,155,7
11-06-2021T09:00,156,6
11-06-2021T09:05,155,5
11-06-2021T09:10,159,3
11-06-2021T09:15,152,3
11-06-2021T09:20,153,4
11-06-2021T09:25,158,4
11-06-2021T09:30,159,3
11-06-2021T09:35,156,4
11-06-2021T09:40,163,5
11-06-2021T09:45,168,3
11-06-2021T09:50,172,1
11-06-2021T09:55,172,3
11-06-2021T10:00,166,2
11-06-2021T10:05,166,2
11-06-2021T10:10,164,2
11-06-2021T10:15,166,2
11-06-2021T10:20,165,3
11-06-2021T10:25,168,4
11-06-2021T10:30,181,5
11-06-2021T10:35,177,5
11-06-2021T10:40,166,5
11-06-2021T10:45,171,6
11-06-2021T10:50,173,7
11-06-2021T10:55,174,7
11-06-2021T11:00,176,4
11-06-2021T11:05,173,4
11-06-2021T11:10,173,8
11-06-2021T11:15,171,6
11-06-2021T11:20,169,6
11-06-2021T11:25,158,5
11-06-2021T11:30,155,7
11-06-2021T11:35,159,6
11-06-2021T11:40,166,6
11-06-2021T11:45,163,7
11-06-2021T11:50,164,5
11-06-2021T11:55,165,5
11-06-2021T12:00,165,4
11-06-2021T12:05,160,4
11-06-2021T12:10,162,5
11-06-2021T12:15,169,3
11-06-2021T12:20,174,4
11-06-2021T12:25,169,4
11-06-2021T12:30,174,5
11-06-2021T12:35,176,5
11-06-2021T12:40,178,7
11-06-2021T12:45,178,6
11-06-2021T12:50,177,3
11-06-2021T12:55,177,8
11-06-2021T13:00,174,5
11-06-2021T13:05,178,7
11-06-2021T13:10,185,7
11-06-2021T13:15,190,9
11-06-2021T13:20,189,8
11-06-2021T13:25,193,6
11-06-2021T13:30,195,5
11-06-2021T13:35,199,2
11-06-2021T13:40,208,5
11-06-2021T13:45,206,6
11-06-2021T13:50,208,5
11-06-2021T13:55,211,6
11-06-2021T14:00,202,8
11-06-2021T14:05,211,5
11-06-2021T14:10,215,9
11-06-2021T14:15,212,8
11-06-2021T14:20,209,8
11-06-2021T14:25,205,10
11-06-2021T14:30,212,9
11-06-2021T14:35,209,9
11-06-2021T14:40,215,8
11-06-2021T14:45,216,10
11-06-2021T14:50,210,7
11-06-2021T14:55,206,10
11-06-2021T15:00,215,9
11-06-2021T15:05,232,12
11-06-2021T15:10,229,11
11-06-2021T15:15,236,7
11-06-2021T15:20,244,7
11-06-2021T15:25,243,9
