Time,Players,LFMs
3-4-2020T14:00,459.75,12.42
3-4-2020T15:00,480.17,11.50
3-4-2020T16:00,483.92,8.42
3-4-2020T17:00,502.42,13.75
3-4-2020T18:00,520.25,14.33
3-4-2020T19:00,549.67,17.92
3-4-2020T20:00,587.42,12.67
3-4-2020T21:00,597.17,18.17
3-4-2020T22:00,526.83,12.42
3-4-2020T23:00,440.08,9.67
4-4-2020T0:00,364.17,9.33
4-4-2020T1:00,305.17,8.83
4-4-2020T2:00,222.67,12.67
4-4-2020T3:00,203.42,8.67
4-4-2020T4:00,192.00,7.42
4-4-2020T5:00,177.50,5.50
4-4-2020T6:00,181.25,7.00
4-4-2020T7:00,230.75,7.25
4-4-2020T8:00,291.33,11.92
4-4-2020T9:00,361.58,10.33
4-4-2020T10:00,430.83,13.75
4-4-2020T11:00,492.58,13.00
4-4-2020T12:00,516.33,14.17
4-4-2020T13:00,554.17,21.00
4-4-2020T14:00,588.17,18.33
4-4-2020T15:00,589.50,13.00
4-4-2020T16:00,595.00,12.92
4-4-2020T17:00,573.25,16.33
4-4-2020T18:00,596.83,13.42
4-4-2020T19:00,608.33,16.83
4-4-2020T20:00,623.83,18.92
4-4-2020T21:00,602.25,15.50
4-4-2020T22:00,567.75,11.92
4-4-2020T23:00,460.58,14.75
5-4-2020T0:00,369.42,10.17
5-4-2020T1:00,289.58,10.17
5-4-2020T2:00,212.42,8.83
5-4-2020T3:00,188.25,5.67
5-4-2020T4:00,167.67,4.67
5-4-2020T5:00,157.08,5.67
5-4-2020T6:00,185.08,5.50
5-4-2020T7:00,241.50,6.75
5-4-2020T8:00,304.67,5.75
5-4-2020T9:00,364.33,7.33
5-4-2020T10:00,421.33,14.33
5-4-2020T11:00,471.92,19.42
5-4-2020T12:00,528.08,13.25
5-4-2020T13:00,563.08,17.92
5-4-2020T14:00,622.58,18.17
5-4-2020T15:00,660.67,18.17
5-4-2020T16:00,635.50,14.50
5-4-2020T17:00,589.92,17.92
5-4-2020T18:00,573.75,20.33
5-4-2020T19:00,566.00,20.50
5-4-2020T20:00,574.25,12.83
5-4-2020T21:00,532.58,9.75
5-4-2020T22:00,470.50,9.25
5-4-2020T23:00,362.75,6.25
6-4-2020T0:00,280.33,5.83
6-4-2020T1:00,225.42,9.08
6-4-2020T2:00,195.75,8.25
6-4-2020T3:00,161.50,7.25
6-4-2020T4:00,150.17,6.92
6-4-2020T5:00,153.58,4.50
6-4-2020T6:00,159.92,2.67
6-4-2020T7:00,154.83,4.08
6-4-2020T8:00,183.08,6.67
6-4-2020T9:00,215.25,10.00
6-4-2020T10:00,251.08,8.33
6-4-2020T11:00,298.83,9.08
6-4-2020T12:00,330.75,13.08
6-4-2020T13:00,369.75,10.33
6-4-2020T14:00,426.50,9.67
6-4-2020T15:00,474.08,11.75
6-4-2020T16:00,471.92,9.58
6-4-2020T17:00,465.92,10.67
6-4-2020T18:00,493.25,11.75
6-4-2020T19:00,544.00,12.83
6-4-2020T20:00,561.25,13.42
6-4-2020T21:00,539.92,12.33
6-4-2020T22:00,440.67,12.08
6-4-2020T23:00,351.25,10.08
7-4-2020T0:00,287.25,8.25
7-4-2020T1:00,204.50,8.83
7-4-2020T2:00,162.42,8.42
7-4-2020T3:00,135.33,7.67
7-4-2020T4:00,137.50,7.00
7-4-2020T5:00,134.75,6.50
7-4-2020T6:00,139.33,5.42
7-4-2020T7:00,183.67,6.25
7-4-2020T8:00,220.75,9.33
7-4-2020T9:00,241.83,9.08
7-4-2020T10:00,292.08,9.92
7-4-2020T11:00,310.92,12.17
7-4-2020T12:00,335.17,12.58
7-4-2020T13:00,390.42,15.08
7-4-2020T14:00,423.08,14.25
7-4-2020T15:00,452.25,17.00
7-4-2020T16:00,465.50,14.33
7-4-2020T17:00,457.50,14.08
7-4-2020T18:00,452.17,11.92
7-4-2020T19:00,501.17,14.17
7-4-2020T20:00,561.50,15.67
7-4-2020T21:00,525.08,16.67
7-4-2020T22:00,427.83,12.83
7-4-2020T23:00,352.67,7.67
8-4-2020T0:00,264.33,8.58
8-4-2020T1:00,198.50,6.17
8-4-2020T2:00,175.25,6.58
8-4-2020T3:00,148.75,6.92
8-4-2020T4:00,133.33,5.75
8-4-2020T5:00,135.00,2.83
8-4-2020T6:00,148.42,5.58
8-4-2020T7:00,192.67,5.83
8-4-2020T8:00,229.08,6.92
8-4-2020T9:00,251.33,5.17
8-4-2020T10:00,285.67,6.67
8-4-2020T11:00,304.33,9.17
8-4-2020T12:00,337.83,13.50
8-4-2020T13:00,363.75,11.67
8-4-2020T14:00,398.83,11.17
8-4-2020T15:00,424.00,13.92
8-4-2020T16:00,441.42,14.58
8-4-2020T17:00,456.83,12.67
8-4-2020T18:00,481.58,12.25
8-4-2020T19:00,527.42,17.17
8-4-2020T20:00,534.92,12.58
8-4-2020T21:00,514.17,10.83
8-4-2020T22:00,430.00,7.92
8-4-2020T23:00,347.25,9.92
9-4-2020T0:00,274.25,6.75
9-4-2020T1:00,228.92,3.67
9-4-2020T2:00,190.58,5.75
9-4-2020T3:00,174.00,7.17
9-4-2020T4:00,171.08,5.83
9-4-2020T5:00,172.08,6.50
9-4-2020T6:00,178.75,5.42
9-4-2020T7:00,173.00,6.00
