Time,Players,LFMs
14-03-2021T00:00,352.41,10.73
15-03-2021T00:00,262.52,7.93
16-03-2021T00:00,244.44,7.83
17-03-2021T00:00,238.03,8.94
18-03-2021T00:00,238.88,8.46
19-03-2021T00:00,251.06,8.32
20-03-2021T00:00,304.52,8.96
21-03-2021T00:00,343.22,9.33
22-03-2021T00:00,240.65,7.89
23-03-2021T00:00,236.47,7.16
24-03-2021T00:00,230.34,7.8
25-03-2021T00:00,220.74,7.78
26-03-2021T00:00,229.41,7.94
27-03-2021T00:00,289.25,8.79
28-03-2021T00:00,321.19,8.58
29-03-2021T00:00,233.48,7.31
30-03-2021T00:00,215.07,8.23
31-03-2021T00:00,186.86,6.6
01-04-2021T00:00,171.41,5.83
02-04-2021T00:00,188.11,7.3
03-04-2021T00:00,217.64,7.63
04-04-2021T00:00,231.99,7.26
05-04-2021T00:00,187.67,6.11
06-04-2021T00:00,162.84,5.64
07-04-2021T00:00,160.09,4.89
08-04-2021T00:00,166.84,5.96
09-04-2021T00:00,170.63,5.44
10-04-2021T00:00,218.15,6.18
11-04-2021T00:00,239.37,7.24
12-04-2021T00:00,166.35,5.75
13-04-2021T00:00,157.16,6.1
14-04-2021T00:00,159.21,5.47
15-04-2021T00:00,164.99,6.68
16-04-2021T00:00,183.12,7.03
17-04-2021T00:00,218.9,7.74
18-04-2021T00:00,227.01,7.47
19-04-2021T00:00,163.17,6.14
20-04-2021T00:00,158.89,5.74
21-04-2021T00:00,161.89,5.67
22-04-2021T00:00,230.16,7.93
23-04-2021T00:00,199.32,6.74
24-04-2021T00:00,244.89,8.66
25-04-2021T00:00,263.3,8.72
26-04-2021T00:00,184.94,6.89
27-04-2021T00:00,160.78,6.19
28-04-2021T00:00,161.17,6.6
29-04-2021T00:00,164.5,5.6
30-04-2021T00:00,173.27,5.54
01-05-2021T00:00,224.81,7.94
02-05-2021T00:00,235.59,7.21
03-05-2021T00:00,178.6,6.28
04-05-2021T00:00,170.64,6.41
05-05-2021T00:00,158.66,6.91
06-05-2021T00:00,174.2,6.64
07-05-2021T00:00,177.34,6.61
08-05-2021T00:00,226.26,7.95
09-05-2021T00:00,236.3,8.45
10-05-2021T00:00,170.91,6.2
11-05-2021T00:00,172.86,7.11
12-05-2021T00:00,168.21,6.24
13-05-2021T00:00,171.66,6.48
14-05-2021T00:00,176.63,6.18
15-05-2021T00:00,217.98,6.5
16-05-2021T00:00,231.28,8.33
17-05-2021T00:00,170.85,5.35
18-05-2021T00:00,156.75,5.99
19-05-2021T00:00,165.59,6.29
20-05-2021T00:00,159.58,5.7
21-05-2021T00:00,173.07,6.25
22-05-2021T00:00,228.76,8.27
23-05-2021T00:00,236.76,7.84
24-05-2021T00:00,182.56,6.67
25-05-2021T00:00,156.03,6.16
26-05-2021T00:00,184.62,6.58
27-05-2021T00:00,174.78,7.22
28-05-2021T00:00,198.93,7.54
29-05-2021T00:00,231.33,8.19
30-05-2021T00:00,233.6,8.52
31-05-2021T00:00,219.86,7.4
01-06-2021T00:00,174.35,5.78
02-06-2021T00:00,160,5.39
03-06-2021T00:00,167.62,5.02
04-06-2021T00:00,174.94,6.57
05-06-2021T00:00,215.42,7.11
06-06-2021T00:00,240.6,8.4
07-06-2021T00:00,177.28,6.18
08-06-2021T00:00,173.75,6.69
09-06-2021T00:00,159.6,6.43
10-06-2021T00:00,210.13,6.96
11-06-2021T00:00,188.27,6.93
