Players,LFMs
078,004
082,004
078,005
079,005
074,004
074,004
076,004
069,003
070,003
068,003
070,003
069,003
067,003
070,003
070,004
072,005
069,005
070,005
068,005
071,006
073,005
067,005
061,006
068,006
065,006
065,007
070,006
072,006
070,005
068,005
070,006
070,006
075,006
081,005
074,005
076,005
072,004
074,005
074,006
072,005
077,004
076,003
076,005
073,005
080,006
082,008
083,008
086,007
092,007
082,006
076,005
073,005
070,005
076,005
078,006
080,006
076,005
076,006
075,007
075,007
076,006
079,007
079,007
081,005
086,005
087,006
088,007
088,006
092,007
088,006
090,005
086,004
088,005
085,006
079,006
076,005
075,005
068,004
061,002
047,002
036,001
019,000
000,000
000,000
000,000
000,000
000,000
000,000
000,000
000,000
000,000
000,000
000,000
059,001
069,002
073,003
077,003
085,003
094,002
096,003
100,004
100,005
109,004
110,003
119,003
124,004
131,004
129,005
134,004
137,004
135,004
145,006
144,007
141,007
143,008
150,010
156,010
154,011
162,013
164,012
161,011
166,010
167,010
172,009
175,008
177,005
176,006
178,008
171,007
172,005
176,008
166,009
164,007
174,007
172,005
173,005
180,007
190,007
190,007
187,007
185,006
190,006
198,009
198,007
201,011
199,009
202,010
201,010
203,009
205,008
203,010
191,010
201,010
199,009
201,010
206,011
200,012
198,012
200,012
199,011
209,013
213,014
219,013
214,012
217,011
218,010
218,007
212,009
209,005
204,006
207,006
206,008
197,009
185,008
196,008
184,007
192,008
190,009
187,008
194,007
186,005
185,005
183,004
191,005
190,006
187,007
193,007
200,007
198,004
197,007
197,008
202,007
195,006
200,006
198,005
200,004
201,004
207,005
207,005
209,003
215,003
216,004
214,003
225,005
224,005
228,006
231,004
231,005
245,004
249,007
247,007
244,006
250,006
249,008
263,007
270,006
279,006
275,005
273,008
276,008
269,009
272,008
265,007
273,008
277,009
272,011
283,014
281,013
282,014
281,014
282,009
289,009
285,010
291,008
286,006
275,006
276,006
270,007
272,009
266,007
261,008
267,009
259,014
257,015
264,014
257,012
252,010
240,009
235,009
227,009
221,009
217,010
215,011
209,008
212,006
204,006
207,006
207,006
195,007
192,007
192,007
187,005
182,007
179,006
177,004
173,005
175,004
000,000
164,004
164,005
164,005
160,003
152,004
145,004
146,005
142,006
139,005
131,005
128,005
122,006
109,006
105,006
105,005
102,005
096,004
093,001
092,002
088,001
089,001
