Day,Month,Year,Players,LFMs
20,1,2020,178.7014,7.0313
21,1,2020,159.3507,6.9722
22,1,2020,156.0152,6.75
23,1,2020,156.1910,6.9514
24,1,2020,166.2361,6.7813
25,1,2020,221.0486,7.8576
26,1,2020,230.1111,8.2396
27,1,2020,157.9653,8.5000
28,1,2020,150.0729,6.2951
29,1,2020,148.2390,6.4422
30,1,2020,138.5938,6.0069
31,1,2020,159.7049,5.7014
1,2,2020,235.8264,9.7813
2,2,2020,224.9688,8.2813
3,2,2020,161.9965,7.0660
4,2,2020,151.3841,7.1626
5,2,2020,156.3309,6.7390
6,2,2020,158.3844,6.3265
7,2,2020,176.8611,6.8507
8,2,2020,249.6007,9.3681
9,2,2020,262.9826,8.1076
10,2,2020,173.5533,6.4983
11,2,2020,163.3345,7.0732
12,2,2020,181.6772,5.7323
13,2,2020,188.8793,8.5000
14,2,2020,190.3460,9.2872
15,2,2020,275.3924,10.8368
16,2,2020,287.4653,11.6736
17,2,2020,221.5868,9.4271
18,2,2020,185.7986,8.2674
